basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	coordinateUncertaintyInMeters	dateIdentified	day	eventDate	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	language	locality	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	specificEpithet	startDayOfYear	taxonRemarks	waterBody	year	date_start	date_mid	date_end	date_year	coordinatePrecision	recordedBy
HumanObservation	23964	SOMBASE Pycnogonids	-64.9732971191	-63.7700004578	BAS	120.0	75.0	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	00f3984c-eb46-41dd-916d-74c8332234b2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	97.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	[]	198	1088	-0.64	33.17																														
HumanObservation	23952	SOMBASE Pycnogonids	-54.6500015259	-63.8333015442	BAS	137.0	135.0	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	0150483b-4419-4353-b0c9-35873066f84f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	136.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	[]	116	7629	6.71	33.98																														
HumanObservation	23911	SOMBASE Pycnogonids	-72.0966033936	172.253295898	BAS	392.0	392.0	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	020eea88-f0cd-44fb-bae0-bb3e1f208bd1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	392.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	[]	369	39870	-1.65	34.09																														
HumanObservation	23960	SOMBASE Pycnogonids	-64.7949981689	-64.1176986694	BAS	100.0	100.0	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	0279d348-a151-4d01-bcc8-3a3852ed837a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	100.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	[]	157	1150	-0.55	33.16																														
HumanObservation	23941	SOMBASE Pycnogonids	-72.0832977295	172.133300781	BAS	352.0	348.0	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	04454908-bb4a-4e72-a2d3-fc3eff436038	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	350.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	[]	358	35513	-1.65	34.12																														
HumanObservation	TAN0402/107 Rhynchothorax australis	MBIS BioRoss	-71.277167	170.602167	NIWA	400.0	400.0	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	054b731d-e816-40ab-b5ae-876f8e0cf944	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	400.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	['DEPTH_EXCEEDS_BATH']	266	10993	-1.66	34.07	Rhynchothorax australis  (MBIS BioRoss 1981)	30	2005-06-20	18	2004-02-18T09:40+12	TAN0402/107	POINT (170.602167 -71.277167)	WGS84	Johanna Nielsen	1	en	Ross 1	2013-11-03	2	1981	GearType= Van Veen Grab	present	Van Veen grab	Hodgson, 1907	australis	49	Rhynchothorax australis	Southern Ocean	2004	1077062400000.0	1077062400000.0	1077062400000.0	2004.0		
HumanObservation	SAMC-MBR-013522	MBR	-46.7249984741	38.0167007446	SAMC	70.7136	68.2752	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	076d363b-b4e1-4cc3-bf5b-1b790d5869ea	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	69.4944	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	[]	247	7245	5.72	33.82				25	1985-04-25T12:00:00Z	MAD 18 UU 2			Arnaud			Marion & Prince Edward Islands; 46 43.5' S 38 01' E		4		Gear:Bottom Dredge;Preparation:alch								1985	483235200000.0	483235200000.0	483235200000.0	1985.0	100.0	UCT Marion Island Survey
HumanObservation	33993	SOMBASE Pycnogonids	-46.7165985107	37.9500007629	BAS	775.0	0.0	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	093b597c-494b-4bcb-8eb2-db93c718cf14	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	387.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	['DEPTH_EXCEEDS_BATH']	176	5017	5.71	33.82																														
HumanObservation	23961	SOMBASE Pycnogonids	-64.0365982056	-64.12159729	BAS	90.0	60.0	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	0b130ed2-542d-4b65-95b4-a9bead0e5d24	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	75.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	[]	479	32236	-0.45	33.38																														
HumanObservation	34938	SOMBASE Pycnogonids	-65.8000030518	89.8165969849	BAS	393.0	393.0	Rhynchothorax australis	urn:lsid:marinespecies.org:taxname:173268	0e577cef-8e06-448e-a96e-c6164813bc39	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	393.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax australis	2	1065	1274	1302	1358	379601	379612	22618	134596	173268	173268	Rhynchothorax australis	[]	769	102763	-1.63	33.84																														
