basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintSRS	genus	identifiedBy	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	recordedBy	samplingProtocol	scientificName	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	institutionCode
HumanObservation	22795	Pycnogonida	bio_dba	50.0	https://marineinfo.org/id/dataset/490	Bigood	1	-2.0	117.0	1980-10-01T00:00:00+00:00	Rock sledge_1980101_DR/D-292_NA	00:00:00+00:00	Phoxichilidiidae	DR/D-292	EPSG:4326	Anoplodactylus	STOCK Jan	Animalia	en	Nord du detroit de macassar	46	46	2022-01-18 09:29:51	10	Ifremer_bio_dba_22795	present	Pantopoda	Arthropoda	LAUNAY J.	Rock sledge	Anoplodactylus versluysi	urn:lsid:marinespecies.org:taxname:239694	versluysi	1980	265f7c8e-d76a-4882-8dd3-ca0940a04b6e	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	46.0	339206400000.0	339206400000.0	339206400000.0	1980.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus versluysi	1	2	1065	1274	1302	1358	379601	379610	14469	134592	239694	239694	Anoplodactylus versluysi	[]	57	49580	29.08	32.4			
Occurrence	38242	Pycnogonida	NewCaledonia		https://marineinfo.org/id/dataset/3128			12.5200004577637	120.650001525879				Phoxichilidiidae			Anoplodactylus		Animalia		Musorstom 3, DR117	97	92	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:38242:0xF80B900001000000	present	Pantopoda	Arthropoda			Anoplodactylus versluysi	urn:lsid:marinespecies.org:taxname:239694			e1efc40f-fbe3-457e-adf7-26c2a4864686	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	94.5					False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus versluysi	1	2	1065	1274	1302	1358	379601	379610	14469	134592	239694	239694	Anoplodactylus versluysi	[]	174	26723	28.91	32.26	Stock JH (1991). Musorstom 8(151): 213-228.	Philippines	IRD-MNHN
Occurrence	38243	Pycnogonida	NewCaledonia		https://marineinfo.org/id/dataset/3128			12.1300001144409	121.279998779297				Phoxichilidiidae			Anoplodactylus		Animalia		Musorstom 3, CP121	84	73	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:38243:0xD12B900001000000	present	Pantopoda	Arthropoda			Anoplodactylus versluysi	urn:lsid:marinespecies.org:taxname:239694			f32506f6-c777-4715-b6ba-4346bf235034	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	78.5					False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus versluysi	1	2	1065	1274	1302	1358	379601	379610	14469	134592	239694	239694	Anoplodactylus versluysi	[]	117	7974	28.38	32.16	Stock JH (1991). Musorstom 8(151): 213-228.	Philippines	IRD-MNHN
