basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	maximumDepthInMeters	preparations	sex	stateProvince	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon brevis</i> Nakamura & Child, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240190	sm_id_1954	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	10	42.87	145.1	1983-07-10	Nymphonidae	Nymphon	WoRMS Editorial Board	Animalia	Pacific Ocean	102	2007-06-20 15:52:33	7	WoRMS Editorial Board:WoRMS type localities:sm_id_1954	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1954	Nymphon brevis	Nakamura & Child, 1991	urn:lsid:marinespecies.org:taxname:240190	brevis	holotype	1983	41a1ec4f-3b51-4dac-9354-7d4d12ee4eae	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	102	426643200000	426643200000	426643200000	1983	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevis	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	240190	240190	Nymphon brevis	[]	104	15530	8.21	32.27										
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234484.186238	Pycnogonida	Invertebrate Zoology: Crustacea		10	42.8733291626	145.10333252	1983-07-10T12:00:00Z	Nymphonidae	Nymphon	USNM	Animalia	Hokkaido Island, SE Of Akkeshi Bay	102		7			Pantopoda	Arthropoda		Nymphon brevis	Nakamura & Child	urn:lsid:marinespecies.org:taxname:240190		Holotype	1983	52d6f5b1-7afb-4cac-930a-bc5ecd1195f5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	102	426643200000	426643200000	426643200000	1983	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon brevis		2	1065	1274	1302	1358	379601	379609	1566	134591	240190	240190	Nymphon brevis	[]	104	15311	8.21	32.27	National Museum of Natural History, Smithsonian Institution	Japan	observedindividualcount=1;	Bowman, Thomas E.	1.0	102.0	Alcohol (Ethanol)	female	Hokkaido	North Pacific Ocean
