basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	individualCount	license	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	waterBody	identifiedBy	typeStatus	eventID	habitat	identificationRemarks	identificationVerificationStatus	occurrenceRemarks	verbatimIdentification	eventDate	eventRemarks	date_start	date_mid	date_end	date_year
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	21686	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-25.3899993896484	159.779998779297	IRD-MNHN	Musorstom 5, CP267	285.0	285.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21686:0x9C85170001000400	present	Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	061d8223-9bce-4e80-9ff5-5260845f3d16	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	285.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes	['DEPTH_EXCEEDS_BATH']	185.82	437935	23.43	35.64																										
PreservedSpecimen		2008-20639	IU			-23.155834	159.513336	MNHN	Ride de Lord Howe: Banc Argo			2015-06-19T21:23Z	462401305		Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	0a528c4c-7343-4a51-a7b6-dd0ee3143944	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes Stock, J.H., 1991	['NO_DEPTH']	321.83	188977	24.27	35.5	NC	MUSORSTOM 5/CP293	POINT  (159.513336 -23.155834)	WGS84	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20639	Stock, 1991	filipes	SPECIES	Pacific Ocean														
Occurrence			NewCaledonia		https://marineinfo.org/id/dataset/3128	-24.7700004577637	159.669998168945	IRD-MNHN	Lord Howe, Mt. Capel (Musorstom 5, CP275)	285.0	285.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0x418D170001000300	present	Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	13583443-3cd3-423c-b8b1-33f473ca52c4	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	285.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes	[]	313.45	368586	23.59	35.62																										
Occurrence	Stock JH (1991). Musorstom 8(151): 125-212.	161	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-24.1399993896484	159.619995117188	IRD-MNHN	Musorstom 5, CP279	270.0	260.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:161:0xF52A900001000100	present	Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	14329167-8db8-4d18-a903-9ff435660ccf	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	265.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes	[]	334.5	298423	23.83	35.57																										
PreservedSpecimen		2007-4590	IU			-24.745001	159.653336	MNHN	Ride de Lord Howe: Banc Capel			2015-10-17T16:09Z	440007205		Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	1994d7fe-d0e3-4d20-b685-d0c09e393a85	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes Stock, J.H., 1991	['NO_DEPTH']	276.83	365758	23.64	35.61	NC	MUSORSTOM 5/CP268	POINT  (159.653336 -24.745001)	WGS84	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4590	Stock, 1991	filipes	SPECIES	Pacific Ocean	Stock	HOLOTYPE												
Occurrence			NewCaledonia		https://marineinfo.org/id/dataset/3128	-25.3899993896484	159.779998779297	IRD-MNHN	Lord Howe, Mt. Capel (Musorstom 5, CP267)	285.0	285.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0x146A170001000000	present	Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	1a8a5154-8c6f-4f37-957e-9b0528d76e6f	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	285.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes	['DEPTH_EXCEEDS_BATH']	185.82	437935	23.43	35.64																										
HumanObservation		54633	SeamountsOnline			-22.23	159.4	SCSD	Nova Bank	320.0	320.0		SeamountsOnline_urn:lsid:marinespecies.org:taxname:239805_54633	present	Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	1cf6789e-775a-4dee-b2b0-9662d1bf8f03	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	320.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes	[]	382.57	87506	24.67	35.43		Station CP 310						Chauvin, C. and B. Richer de Forges 2004 UR 148 Database (Lord Howe Ridge Seamounts) NA	Stock, 1991				NA		SCSD_SeamountsOnline_Nova_Bank_536374	benthic/near bottom	WoRMS Match Type: exact	Validated	NA | NA	Rhopalorhynchus filipes						
HumanObservation		54632	SeamountsOnline			-25.17	159.88	SCSD	Capel Bank	290.0	280.0		SeamountsOnline_urn:lsid:marinespecies.org:taxname:239805_54632	present	Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	1eceb9da-d7ee-459d-aec8-3afbbfe93c91	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	285.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes	['DEPTH_EXCEEDS_BATH']	112.9	414192	23.47	35.64		Station CP 254						Richer de Forges, B., P. Laboute, and J.L. Menou 1986 La Campagne Musorstom V Aux Iles Chesterfield Rapports Scientifiques et Techinques, Rep. 41, Institut Francais de Recherche Scientifique pour le Developpement en Cooperation	Stock, 1991				NA		SCSD_SeamountsOnline_Capel_Bank_534890	benthic/near bottom	WoRMS Match Type: exact	Validated	NA | NA	Rhopalorhynchus filipes	1986-10-07	Latitude has been updated 10-16-2008 according to updated electronic import from author.	529027200000.0	529027200000.0	529027200000.0	1986.0
PreservedSpecimen		2008-20601	IU			-24.776667	159.671661	MNHN	Ride de Lord Howe: Banc Capel			2015-10-17T16:39Z	442597013		Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	215485e8-8fbe-4bdb-99ae-157743ed2c38	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes		2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes Stock, J.H., 1991	['NO_DEPTH']	296.42	369332	23.59	35.62	NC	MUSORSTOM 5/CP275	POINT  (159.671661 -24.776667)	WGS84	1	CC_BY_4_0	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20601	Stock, 1991	filipes	SPECIES	Pacific Ocean	Bamber R.	TYPE												
HumanObservation		54631	SeamountsOnline			-24.78	159.62	SCSD	Capel Bank	270.0	250.0		SeamountsOnline_urn:lsid:marinespecies.org:taxname:239805_54631	present	Rhopalorhynchus filipes	urn:lsid:marinespecies.org:taxname:239805	27feab55-52b9-4844-8089-440aa74f4220	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	260.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Rhopalorhynchus	Rhopalorhynchus filipes	1.0	2	1065	1274	1302	1358	379601	379607	22617	379614	182869	239805	239805	Rhopalorhynchus filipes	['DEPTH_EXCEEDS_BATH']	130.35	369574	23.59	35.61		Station CP 269						Richer de Forges, B., P. Laboute, and J.L. Menou 1986 La Campagne Musorstom V Aux Iles Chesterfield Rapports Scientifiques et Techinques, Rep. 41, Institut Francais de Recherche Scientifique pour le Developpement en Cooperation	Stock, 1991				NA		SCSD_SeamountsOnline_Capel_Bank_534905	benthic/near bottom	WoRMS Match Type: exact	Validated	NA | NA	Rhopalorhynchus filipes	1986-10-09		529200000000.0	529200000000.0	529200000000.0	1986.0
