basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceRemarks	scientificName	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	identifiedBy	individualCount	preparations	recordedBy	scientificNameAuthorship	superdomain	superdomainid	coordinateUncertaintyInMeters	countryCode	datasetID	georeferenceProtocol	occurrenceID	occurrenceStatus	stateProvince
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	56010200030610W41201010102	BENTHIC HABITAT STUDY	United States	13	41.9000015259	-65.9499969482	observedweight=0;observedindividualcount=1;	1956-08-13T12:00:00Z	56010200030610	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum014	108.0	108.0	8	Gear Type: 1-METER SLED NET	Achelia scabra	urn:lsid:marinespecies.org:taxname:158475	North Atlantic Ocean	1956	04fa8a98-7a69-4044-aabf-18ed8bd98ec5	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	108.0	-422409600000	-422409600000	-422409600000	1956	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	[]	102	165487	10.96	32.07															
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1042008.836512	Invertebrate Zoology		8	42.016998291	-66.5329971313	observedindividualcount=1;	1963-08-08T05:00:00Z		USNM		86.0	86.0	8		Achelia scabra	urn:lsid:marinespecies.org:taxname:158475	North Atlantic Ocean	1963	15245218-9966-459d-bcac-28be7bc96a7b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	86.0	-202003200000	-202003200000	-202003200000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	[]	80	158341	10.65	32.15	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	1.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Wilson									
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	68040501350114W41201010102	BENTHIC HABITAT STUDY	United States	18	44.0999984741	-66.4329986572	observedweight=0.13;observedindividualcount=20;	1968-08-18T12:00:00Z	68040501350114	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum002	73.0	73.0	8	Gear Type: 1-METER NAT. DREDGE	Achelia scabra	urn:lsid:marinespecies.org:taxname:158475	North Atlantic Ocean	1968	17cc0a3f-56dc-4635-93d2-2994204129cd	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	73.0	-43286400000	-43286400000	-43286400000	1968	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	[]	82	12501	8.75	31.14															
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1030766.825270	Invertebrate Zoology		13	41.9000015259	-65.9499969482	observedindividualcount=1;	1956-08-13T07:00:00Z		USNM		108.0	108.0	8		Achelia scabra	urn:lsid:marinespecies.org:taxname:158475	North Atlantic Ocean	1956	18560d0a-4038-4017-9b4d-9f55f5ddd4e7	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	108.0	-422409600000	-422409600000	-422409600000	1956	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	[]	102	165487	10.96	32.07	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	1.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Wilson									
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1065382.859886	Invertebrate Zoology		18	44.0999984741	-66.4329986572	observedindividualcount=2;	1968-08-18T03:00:00Z		USNM		73.0	73.0	8		Achelia scabra	urn:lsid:marinespecies.org:taxname:158475	North Atlantic Ocean	1968	216bb632-9dab-46be-bae1-e1e41cc86d55	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	73.0	-43286400000	-43286400000	-43286400000	1968	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	[]	82	12501	8.75	31.14	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	2.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Wilson									
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	56010200030109W41201010102	BENTHIC HABITAT STUDY	United States	13	41.9000015259	-65.9499969482	observedweight=0.03;observedindividualcount=1;	1956-08-13T12:00:00Z	56010200030109	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum014	108.0	108.0	8	Gear Type: DIGBY DRAG	Achelia scabra	urn:lsid:marinespecies.org:taxname:158475	North Atlantic Ocean	1956	21804340-cc0b-43dc-a5de-77739a43a822	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	108.0	-422409600000	-422409600000	-422409600000	1956	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	[]	102	165487	10.96	32.07															
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1030804.825308	Invertebrate Zoology		13	41.9000015259	-65.9499969482	observedindividualcount=1;	1956-08-13T08:00:00Z		USNM		108.0	108.0	8		Achelia scabra	urn:lsid:marinespecies.org:taxname:158475	North Atlantic Ocean	1956	26abe068-3376-46db-b58e-43c850946c11	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	108.0	-422409600000	-422409600000	-422409600000	1956	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	[]	102	165487	10.96	32.07	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	1.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Wilson									
HumanObservation		28900	OHH Monitoring and Assessment Program		9	32.4451904297	-80.7220687866	samplesize=0.0440 square meters;observedindividualcount=22.727;	2005-02-09T12:00:00Z	20055409	NOAA/HML				2		Achelia scabra	urn:lsid:marinespecies.org:taxname:158475		2005	3b2af87b-ad61-4fe3-92fd-a48c1333ddd7	b879bdf7-0eee-48a0-b3e4-2a04f30ae568	['310922b4-9d0c-4de1-92d7-9b442d34765b']		1107907200000	1107907200000	1107907200000	2005	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	['NO_DEPTH', 'ON_LAND']	-4	-15080					1.0		George Riekerk - SC Department of Natural Resources		Biota	1.0							
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	63030611300103W41201010102	CONTINENTAL MARGIN PROGRAM	United States	8	42.016998291	-66.5329971313	observedweight=0;samplesize=0.56 m^2;observedindividualcount=1;	1963-08-08T12:00:00Z	63030611300103	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum014	86.0	86.0	8	Gear Type: CAMPBELL GRAB	Achelia scabra	urn:lsid:marinespecies.org:taxname:158475	North Atlantic Ocean	1963	47907d23-6f2d-4836-b986-1f481ed2b6ce	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	86.0	-202003200000	-202003200000	-202003200000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	[]	80	158341	10.65	32.15															
HumanObservation		295	Robert Siegel Invertebrate Database	United States		43.62	-70.21		1981-04		SMCC	Fort Williams Cape Elizabeth, ME					Achelia scabra	urn:lsid:marinespecies.org:taxname:158475	North Atlantic Ocean		766e8b9c-06d7-4ac0-b917-36536276d657	1fcedb90-b2ea-4476-8faf-f2ff5964ac58	['b7c47783-a020-4173-b390-7b57c4fa1426']		354931200000	356140800000	357436800000	1981	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia scabra	2	1065	1274	1302	1358	379601	379608	1562	134568	158475	158475	Achelia scabra	['NO_DEPTH', 'ON_LAND']	-16	-39	10.41	30.55									50	US	SMCCInverts	Visual georeferencing using Google Earth	SMCC_1981-04_295	present	Maine
