basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	vernacularName	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	eventDate	date_start	date_mid	date_end	date_year	countryCode	day	fieldNumber	geodeticDatum	identifiedBy	individualCount	license	month	references	scientificNameAuthorship	waterBody	year
PreservedSpecimen	P.13690	Pycnogonida	co113	10000	Australia	-37.566	149.916	Pycnogonidae	POINT (149.91600 -37.56600)	Pycnogonum	AM	Animalia	west south west of Gabo Island	2017-03-02T11:16:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13690	present	Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310	Female	tuberculatum	species	Pycnogonid	1288a9d1-7b2d-4ce0-979f-28769d53e367	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum	['NO_DEPTH', 'ON_LAND']	-27.0	-58	17.29	35.57																		
PreservedSpecimen	P.13693	Pycnogonida	co113	10000		-35.75	150.5	Pycnogonidae	POINT (150.50000 -35.75000)	Pycnogonum	AM	Animalia	22.4km off Batemans Bay	2017-03-02T11:16:19	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13693	present	Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310	Female	tuberculatum	species	Pycnogonid	24c74bc9-fd88-4350-90dc-d9df5b7e9d89	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum	['NO_DEPTH']	136.0	18972	19.5	35.59	0.0896																	
PreservedSpecimen	E.5111	Pycnogonida	co113	100000	Australia	-39.933	148.333	Pycnogonidae	POINT (148.33300 -39.93300)	Pycnogonum	AM	Animalia	Bass Strait, east of Babel Island	2017-03-02T12:22:17	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:E.5111	present	Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310	Female	tuberculatum	species	Pycnogonid	79f8acc0-b760-4547-9977-308df6315186	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum	['NO_DEPTH']	9.0	181	15.5	35.55	0.8961	1914-03-28	-1759795200000.0	-1759795200000.0	-1759795200000.0	1914.0												
PreservedSpecimen	2013-18654	Pycnogonida	IU			-15.59025	166.985871	Pycnogonidae	POINT  (166.985871 -15.59025)	Pycnogonum	MNHN	Animalia	W Tangoa I.	2015-06-19T21:23Z	1065330773		Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310		tuberculatum	SPECIES		87c02f60-cc79-47d8-a147-15cc9112434d	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum Clark, W.C., 1963	['NO_DEPTH']	-5.0	10	28.09	34.56		2006-10-10T02:00Z	1160438400000.0	1160438400000.0	1160438400000.0	2006.0	VU	10	SANTO 2006/FB64	WGS84	Sabroux R.	1	CC_BY_4_0	10	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2013-18654	Clark, 1963	Pacific Ocean	2006
PreservedSpecimen	E.4649	Pycnogonida	co113	10000	Australia	-37.566	149.916	Pycnogonidae	POINT (149.91600 -37.56600)	Pycnogonum	AM	Animalia	off Gabo Island	2017-03-02T12:21:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:E.4649	present	Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310	Female	tuberculatum	species	Pycnogonid	891688ce-edae-4fa4-b044-48094146b273	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum	['NO_DEPTH', 'ON_LAND']	-27.0	-58	17.29	35.57	0.0896	1913-11-18	-1771027200000.0	-1771027200000.0	-1771027200000.0	1913.0												
PreservedSpecimen	P.71953	Pycnogonida	co113	100000	Australia	-14.666	145.466	Pycnogonidae	POINT (145.46600 -14.66600)	Pycnogonum	AM	Animalia	Lizard Island, North Point	2017-03-02T12:36:50	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.71953	present	Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310		tuberculatum	species	Pycnogonid	ae404ff4-1197-4584-8e2c-a9b0d9f9e92a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum	['NO_DEPTH', 'ON_LAND']	-268.11	-809	26.52	34.91	0.8961	1982-01-11	379555200000.0	379555200000.0	379555200000.0	1982.0												
PreservedSpecimen	P.13692	Pycnogonida	co113	10000	Australia	-39.95	148.333	Pycnogonidae	POINT (148.33300 -39.95000)	Pycnogonum	AM	Animalia	40 km east of Babel Island, Bass Strait	2017-03-02T11:16:19	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13692	present	Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310	Female	tuberculatum	species	Pycnogonid	af6062c4-f1c7-4c35-8cd2-59b4c67028ff	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum	['NO_DEPTH', 'ON_LAND']	-57.0	-696	15.5	35.55		1914-03-28	-1759795200000.0	-1759795200000.0	-1759795200000.0	1914.0												
PreservedSpecimen	J48814	Pycnogonida	co119	1000	Australia	-42.5667	148.1	Pycnogonidae	POINT (148.10000 -42.56670)	Pycnogonum	NMV	Animalia	Maria Island 2 km E of Cape Boulanger	2017-02-10T11:36:11	J48814	present	Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310		tuberculatum	species	Pycnogonid	e1d5eb67-2a5c-4883-bcd6-caca35eeb3de	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum	['NO_DEPTH']	6.0	1796	14.6	35.28		1985-04-23	483062400000.0	483062400000.0	483062400000.0	1985.0												
PreservedSpecimen	P.7579	Pycnogonida	co113	10000		-34.066	151.333	Pycnogonidae	POINT (151.33300 -34.06600)	Pycnogonum	AM	Animalia	offshore between Botany and Wattamolla	2017-03-02T13:04:30	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.7579	present	Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310	Female	tuberculatum	species	Pycnogonid	ebe2fa9f-e829-444c-b8ce-090992d81323	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum	['NO_DEPTH']	130.0	10432	20.48	35.54	0.0896	1924-10-19	-1426464000000.0	-1426464000000.0	-1426464000000.0	1924.0												
PreservedSpecimen	P.13691	Pycnogonida	co113	10000	Australia	-37.566	149.916	Pycnogonidae	POINT (149.91600 -37.56600)	Pycnogonum	AM	Animalia	west south west of Gabo Island	2017-03-02T11:16:18	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13691	present	Arthropoda	Pycnogonum tuberculatum	urn:lsid:marinespecies.org:taxname:240310	Female	tuberculatum	species	Pycnogonid	ef636500-6ef9-4eac-b44b-3dd3865cab05	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonum tuberculatum	2	1065	1274	1302	1358	379601	379611	1567	134595	240310	240310	Pycnogonum tuberculatum	['NO_DEPTH', 'ON_LAND']	-27.0	-58	17.29	35.57																		
