associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	verbatimDepth	depth	superdomain	superdomainid	datasetID	modified	occurrenceID	occurrenceStatus	datasetName	materialSampleID	ownerInstitutionCode	samplingProtocol	taxonRank	taxonRemarks	type	lifeStage	stateProvince
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	173676.130432	Invertebrate Zoology: Crustacea	Dominican Republic	22	19.8766708374	-71.6549987793	observedindividualcount=1;	1969-02-22T12:00:00Z	Child, C. Allan	1.0	USNM	Playa De Monte Cristi, 1 mile From Town	2	Alcohol (Ethanol)	M. Jones	Anoplodactylus batangensis	(Helfer)	urn:lsid:marinespecies.org:taxname:239543	female	North Atlantic Ocean	1969	0a8b4e95-e9fa-49bc-9e2f-64a3b29bdb4a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-27043200000.0	-27043200000.0	-27043200000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus batangensis	['NO_DEPTH']	-2	34	27.66	35.77																					
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-041_E2	B89PII			18.3952617645	-94.021156311			Child, C. A.		HRI	SSW  Gulf of Mexico				Anoplodactylus batangensis	Helfer,	urn:lsid:marinespecies.org:taxname:239543		Gulf of Mexico		157a5d36-0e83-4597-b01a-f79cc71f3bb5	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus batangensis	[]	76	15565	26.98	35.02	612870.0	40.0	0.0	Database description and disclaimer at: http://gulfbase.org/	0-40	20.0	Biota	1.0													
	Occurrence	Crosnier A (2003).	48295	NewCaledonia	Nouvelle Caledonie		-20.7800006866455	167.130004882812					IRD-MNHN	Lifou 2000, 1418				Anoplodactylus batangensis		urn:lsid:marinespecies.org:taxname:239543				255457f2-e9c9-4d17-9b08-c8b5d3644918	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus batangensis	['ON_LAND']	-33	-90	25.79	35.06		5.0	1.0			3.0	Biota	1.0	https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48295:0xB20B900001000500	present									
	MaterialSample						25.7694	-80.1739		1995-04-05		1		Biscayne Bay				Anoplodactylus batangensis		urn:lsid:marinespecies.org:taxname:239543				27801915-b437-4c46-a941-351450fdcdc4	43b58971-4fda-4210-a6ef-654fe0ce226d	['b7c47783-a020-4173-b390-7b57c4fa1426']	797040000000.0	797040000000.0	797040000000.0	1995.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus batangensis	[]	-4	312	27.05	36.03		2.3	2.3			2.3			NOAA NBI		NOAA:NCCOS:NBI:BB95_036_1:16142	present	NOAA National Benthic Inventory	BB95_036_1:16142	NOAA	Young-modified Van Veen grab sampler, 0.04 sq m	Species	Originally identified as 'Anoplodactylus batangensis'	Dataset		
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228578.180740	Invertebrate Zoology: Crustacea	Philippines	26	9.3277797699	123.31388855	observedindividualcount=7;	1978-06-26T12:00:00Z	Child, C. Allan	7.0	USNM	Negros Island, Bantayan, Silliman University Lab Beach	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Anoplodactylus batangensis	(Helfer)	urn:lsid:marinespecies.org:taxname:239543		North Pacific Ocean	1978	2dd009b0-5a89-4e9d-9994-b0e79d150416	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	267667200000.0	267667200000.0	267667200000.0	1978.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus batangensis	[]	-2	336	28.45	32.75		2.0	2.0			2.0														juvenile	Negros Oriental
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-041_E1	B89PII			18.211057663	-94.1317977905			Child, C. A.		HRI	SSW  Gulf of Mexico				Anoplodactylus batangensis	Helfer,	urn:lsid:marinespecies.org:taxname:239543		Gulf of Mexico		30021551-83d3-4467-8952-f95c85f76b6b	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus batangensis	['ON_LAND']	-7	-240	26.97	34.87	542540.0	40.0	0.0	Database description and disclaimer at: http://gulfbase.org/	0-40	20.0	Biota	1.0													
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	284330.227744	Invertebrate Zoology: Crustacea	Tonga	17	-18.7419395447	-174.11000061	observedindividualcount=5;	1993-11-17T12:00:00Z	Child, C. Allan	5.0	USNM	Vava'u Group, Ovaka Island, NW Shore Of Island, Surge Channels Along Rocky Shore	11	Alcohol (Ethanol)	J. Williams	Anoplodactylus batangensis	(Helfer)	urn:lsid:marinespecies.org:taxname:239543	female; male;;	South Pacific Ocean	1993	405001a1-e4c2-4ff7-bde4-7b217a0b4a1b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	753494400000.0	753494400000.0	753494400000.0	1993.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus batangensis	[]	-12	161	27.03	35.14		11.0				11.0														; ovigerous; juvenile	
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-057_C1	B89PII			23.0251464844	-82.887260437			Child, C. A.		HRI	ESE  Gulf of Mexico				Anoplodactylus batangensis	Hedgpeth,	urn:lsid:marinespecies.org:taxname:379297		Gulf of Mexico		6220cb47-32c6-41a2-8061-c0c06618dc7d	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus stylirostris	[]	126	466	27.69	35.98	249350.0	20.0	0.0	Database description and disclaimer at: http://gulfbase.org/	0-20	10.0	Biota	1.0													
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-057_C2	B89PII			24.7805652618	-82.3406906128			Child, C. A.		HRI	ESE  Gulf of Mexico				Anoplodactylus batangensis	Hedgpeth,	urn:lsid:marinespecies.org:taxname:379297		Gulf of Mexico		70eb2f3c-3389-47d0-9849-c32517084259	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus stylirostris	[]	26	28843	26.37	36.14	195770.0	20.0	0.0	Database description and disclaimer at: http://gulfbase.org/	0-20	10.0	Biota	1.0													
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	125453.89760	Invertebrate Zoology: Crustacea	Brazil	24	-8.11699962616	-34.9500007629	observedindividualcount=2;	1967-03-24T12:00:00Z	Child, C. Allan	2.0	USNM	Recife, Praia De Pina, Bom Viagem	3	Alcohol (Ethanol)	D. Kirtley	Anoplodactylus batangensis	(Helfer)	urn:lsid:marinespecies.org:taxname:239543	female;;	South Atlantic Ocean	1967	7889252d-ce1f-45d1-9b91-616bc28b0807	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-87609600000.0	-87609600000.0	-87609600000.0	1967.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus batangensis	2	1065	1274	1302	1358	379601	379610	14469	134592	239543	239543	Anoplodactylus batangensis	['NO_DEPTH', 'ON_LAND']	-58	-4097																						; juvenile V	Pernambuco
