basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	individualCount	references	date_start	date_mid	date_end	date_year	superdomain	superdomainid
PreservedSpecimen	7590	Pycnogonida	NIWA	Oceania	500	Commonwealth of Australia	NIWA Invertebrate Collection	1998	20	-28.75	167.92	20/07/1975	Ammotheidae	POINT (167.92 -28.75)	Ammothea	WGS84	Child, C, A	NIWA Invertebrate Collection	Animalia	en	Anson Bay, Norfolk Island	I75	70.0	70	8/04/2022	7	60074bec-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Alcohol unknown = 1,  BB NIC Type Room	NZOI	Trawl, Agassiz medium	Ammothea acheliata	Child, 1998	urn:lsid:marinespecies.org:taxname:239582	acheliata	HOLOTYPE	1975	00fac50d-9a3b-48f9-a776-46ac91d744e1	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	70	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea acheliata	2	1065	1274	1302	1358	379601	379608	1562	134569	239582	239582	Ammothea acheliata	[]	101	27161	21.37	35.73										
HumanObservation	34058	Pycnogonida	SOMBASE Pycnogonids							-28.75	167.919998169		Ammotheidae		Ammothea			BAS	Animalia					70					Pantopoda	Arthropoda				Ammothea acheliata		urn:lsid:marinespecies.org:taxname:239582				2f548bb5-f4ad-4712-aa11-c2febdc8a87d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	70	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea acheliata	2	1065	1274	1302	1358	379601	379608	1562	134569	239582	239582	Ammothea acheliata	[]	101	27161	21.37	35.73										
PreservedSpecimen	sm_id_90220	Pycnogonida	WoRMS type localities						20	-28.75	167.9199981689	1975-07-20	Ammotheidae		Ammothea			WoRMS Editorial Board	Animalia					70	2020-11-16 11:12:20	7	WoRMS Editorial Board:WoRMS type localities:sm_id_90220	present	Pantopoda	Arthropoda				Ammothea acheliata	Child, 1998	urn:lsid:marinespecies.org:taxname:239582	acheliata	holotype	1975	90f65c96-c61d-4664-9ef2-e6d0aeba5734	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	70	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea acheliata	2	1065	1274	1302	1358	379601	379608	1562	134569	239582	239582	Ammothea acheliata	[]	101	27161	21.37	35.73	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea acheliata</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239582	https://marineinfo.org/id/dataset/5184	1.0	http://www.marinespecies.org/aphia.php?p=specdetails&id=90220	175046400000.0	175046400000.0	175046400000.0	1975.0	Biota	1.0
