basisOfRecord	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	institutionCode	locality	maximumDepthInMeters	month	occurrenceRemarks	scientificName	scientificNameAuthorship	waterBody	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	datasetID	datasetName	eventDate	eventID	eventTime	fieldNumber	footprintWKT	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	samplingProtocol	scientificNameID	date_start	date_mid	date_end	date_year	superdomain	superdomainid	coordinateUncertaintyInMeters	individualCount	recordedBy	references	samplingEffort
PreservedSpecimen	138	2009B2	26	79.4566650391	148.111663818	samplesize=0.25m2;observedindividualcount=8;	ArCOD	Lomonossov Ridge, Laptev Sea	224.0	7	globaluniqueidentifier: ArcOD:2009B2:138 collectingmethod: boxcore, 250 um mesh fieldstation: St007 platform: RV Polarstern,ARK XI/1	Nymphon macronyx	Sars, 1877	Arctic Ocean	1995	014fc497-3ee3-4dc2-8afd-db327f0822ca	51078b37-d4a9-4a1d-9c94-92ee60299a3d	['da50007b-7871-46cf-8530-441b5836d2c1']	224.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	187.0	301832	-1.35	29.78																									
Occurrence	039710356001025	IMRMarbunnBenthos	14	72.2465	15.944167		IMR	MAREANO Reference Station: 397	637.62	4		Nymphon macronyx	Sars, 1877		2009	02014e3e-8ea2-4ce0-9744-f7d6bb9109e1	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	636.89	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	635.8	245578	7.44	34.94	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	2009-04-14T11:01:00+00:00/2009-04-14T11:06:00+00:00	Cruise: 58GS-2009105 Sample: 356	11:01:00+00:00/11:06:00+00:00	catchId: 25	LINESTRING(15.944167 72.2465,15.939667 72.248)	636.16	2024-05-23 10:35:05	039710356001025	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	urn:lsid:marinespecies.org:taxname:134697	1239667200000.0	1239667200000.0	1239667200000.0	2009.0	Biota	1.0					
HumanObservation	UKOOA_LAG0720_2_134697	The Marine Biological Association of the United Kingdom	1	60.95798661	-2.927751064		Marine Biological Association of the UK (MBA)		639.0	4	Eventremarks: sediment samples were subsampled for particle size distribution, organic carbon, polychlorinated biphenyl (PCB) hydrocarbons and heavy / trace metals	Nymphon macronyx			2007	02d41746-669f-410c-b2cb-a37492142403	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	639.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	637.0	87160	10.16	35.33	North East Atlantic	https://marineinfo.org/id/dataset/5247		2007-04-01	UKOOA_LAG0720_2				639.0	2014-10-23 00:00:00	DASSH_UKOOA_LAG0720_2_134697	present	Sampling instrument: Box corer or TOOL0960: Hamon grab; Seive mesh size: 0.500mm	urn:lsid:marinespecies.org:taxname:134697	1175385600000.0	1175385600000.0	1175385600000.0	2007.0	Biota	1.0	5.0	3.0	Ralph Butcher; Sarah O'Flynn; Seran Davies; Mark Roberts	http://www.oilandgasuk.co.uk/knowledgecentre/uk_benthos_database.cfm	Unknown
HumanObservation	UKOOA_LAG0707_1_134697	The Marine Biological Association of the United Kingdom	1	60.97162227	-2.91065225		Marine Biological Association of the UK (MBA)		634.0	4	Eventremarks: sediment samples were subsampled for particle size distribution, organic carbon, polychlorinated biphenyl (PCB) hydrocarbons and heavy / trace metals	Nymphon macronyx			2007	05f1e617-46f8-4874-88bf-a6dda72c58cd	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	634.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	654.0	87275	10.21	35.33	North East Atlantic	https://marineinfo.org/id/dataset/5247		2007-04-01	UKOOA_LAG0707_1				634.0	2014-10-23 00:00:00	DASSH_UKOOA_LAG0707_1_134697	present	Sampling instrument: Box corer or TOOL0960: Hamon grab; Seive mesh size: 0.500mm	urn:lsid:marinespecies.org:taxname:134697	1175385600000.0	1175385600000.0	1175385600000.0	2007.0	Biota	1.0	5.0	11.0	Ralph Butcher; Sarah O'Flynn; Seran Davies; Mark Roberts	http://www.oilandgasuk.co.uk/knowledgecentre/uk_benthos_database.cfm	Unknown
Occurrence	147010529001021	IMRMarbunnBenthos	9	73.030667	34.789		IMR	MAREANO Reference Station: 1470	212.67	6		Nymphon macronyx	Sars, 1877		2015	0837c1ea-102c-4b3f-878f-1fac3851ec05	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	212.665	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	216.6	305171	4.64	34.99	Barents Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	2015-06-09T19:42:00+00:00/2015-06-09T19:47:00+00:00	Cruise: 58GS-2015109 Sample: 529	19:42:00+00:00/19:47:00+00:00	catchId: 21	LINESTRING(34.789 73.030667,34.782167 73.030833)	212.66	2024-05-23 10:35:05	147010529001021	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	urn:lsid:marinespecies.org:taxname:134697	1433808000000.0	1433808000000.0	1433808000000.0	2015.0	Biota	1.0					
Occurrence	134980395001016	IMRMarbunnBenthos	20	63.590667	5.573167		IMR	MAREANO Reference Station: 1349	768.2	6		Nymphon macronyx	Sars, 1877		2014	09d9e8d0-3493-4b01-9a80-c014ba900d92	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	768.04	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	728.0	90690	9.74	34.6	Norwegian Sea	https://marineinfo.org/id/dataset/4539	grab_2006-2022	2014-06-20T07:03:00+00:00/2014-06-20T07:15:00+00:00	Cruise: 58GS-2014208 Sample: 395	07:03:00+00:00/07:15:00+00:00	catchId: 16		767.88	2024-05-23 10:35:05	134980395001016	present	Large VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	urn:lsid:marinespecies.org:taxname:134697	1403222400000.0	1403222400000.0	1403222400000.0	2014.0	Biota	1.0					
Occurrence	248640055001000	IMRMarbunnBenthos	29	62.839055	2.318261		IMR	MAREANO Reference Station: 2486	779.0	4		Nymphon macronyx	Sars, 1877		2021	0abc7017-ebfe-4948-b45f-8655a80f41f7	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	779.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	780.8	159699	9.86	35.16	Norwegian Sea	https://marineinfo.org/id/dataset/4539	grab_2006-2022	2021-04-29T21:19:00+00:00	Cruise: 58GS-2021104 Sample: 55	21:19:00+00:00	catchId: 0		779.0	2024-05-23 10:35:05	248640055001000	present	Small VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	urn:lsid:marinespecies.org:taxname:134697	1619654400000.0	1619654400000.0	1619654400000.0	2021.0	Biota	1.0					
Occurrence	147480841001013	IMRMarbunnBenthos	10	73.046987	35.747782		IMR	MAREANO Reference Station: 1474	213.35	6		Nymphon macronyx	Sars, 1877		2015	0f2798a9-17f0-42e3-91bf-e63e49470fbc	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	213.215	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	219.6	325395	4.41	34.97	Barents Sea	https://marineinfo.org/id/dataset/4539	grab_2006-2022	2015-06-10T08:40:00+00:00/2015-06-10T08:52:00+00:00	Cruise: 58GS-2015109 Sample: 841	08:40:00+00:00/08:52:00+00:00	catchId: 13		213.08	2024-05-23 10:35:05	147480841001013	present	Large VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	urn:lsid:marinespecies.org:taxname:134697	1433894400000.0	1433894400000.0	1433894400000.0	2015.0	Biota	1.0					
Occurrence	094210450001026	IMRMarbunnBenthos	26	64.397787	5.571918		IMR	MAREANO Reference Station: 942	820.64	6		Nymphon macronyx	Sars, 1877		2013	110efc54-b231-4239-bc04-9cf6a95031c5	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	819.99	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	827.2	147267	9.72	34.81	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	2013-06-26T12:03:00+00:00/2013-06-26T12:08:00+00:00	Cruise: 58GS-2013205 Sample: 450	12:03:00+00:00/12:08:00+00:00	catchId: 26	LINESTRING(5.571918 64.397787,5.572677 64.395843)	819.34	2024-05-23 10:35:05	094210450001026	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	urn:lsid:marinespecies.org:taxname:134697	1372204800000.0	1372204800000.0	1372204800000.0	2013.0	Biota	1.0					
Occurrence	025910016013007	IMRMarbunnBenthos	22	69.188322	13.946852		IMR	MAREANO Reference Station: 259	2048.24	6		Nymphon macronyx	Sars, 1877		2008	1163f8e5-9d56-49e9-9164-7e93679f8a15	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2048.175	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macronyx	2	1065	1274	1302	1358	379601	379609	1566	134591	134697	134697	Nymphon macronyx	[]	2047.4	44444	8.28	34.85	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	2008-06-22T17:26:00+00:00/2008-06-22T17:31:00+00:00	Cruise: 58GS-2008104 Sample: 16	17:26:00+00:00/17:31:00+00:00	catchId: 7	LINESTRING(13.946852 69.188322,13.941667 69.189333)	2048.11	2024-05-23 10:35:05	025910016013007	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	urn:lsid:marinespecies.org:taxname:134697	1214092800000.0	1214092800000.0	1214092800000.0	2008.0	Biota	1.0					
