basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	footprintWKT	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_8992	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	58.55	-34.88	1982/1982	LINESTRING (-34.90083 58.56683, -34.86733 58.5515)	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Akademik Mstislav Keldysh”, St. 390-3	2951.0	2930	2016-03-24 10:26:12	Deepsea_Pycnogonida_8992	present	Bathypallenopsis calcanea	Stephensen, 1933	urn:lsid:marinespecies.org:taxname:239572	1982	737d8c46-cbb4-4307-9606-2abcfc465e2c	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2940.5	378691200000	394416000000	410140800000	1982	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis calcanea	1	2	1065	1274	1302	1358	379601	379609	236317	236477	239572	239572	Pallenopsis (Bathypallenopsis) calcanea	[]	2893	493437	7.73	34.87
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_8991	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	56.6	-11.5	1979/1999		P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Challenger”, St. ES 34		2515	2016-03-24 10:26:12	Deepsea_Pycnogonida_8991	present	Bathypallenopsis calcanea	Stephensen, 1933	urn:lsid:marinespecies.org:taxname:239572		dad06e12-afe0-4f65-9859-ba93ccbfbbdd	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2515.0	283996800000	615254400000	946598400000	1989	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis calcanea	1	2	1065	1274	1302	1358	379601	379609	236317	236477	239572	239572	Pallenopsis (Bathypallenopsis) calcanea	[]	2545	219270	11.86	35.41
