basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	subgenus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	subgenusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid
PreservedSpecimen	2007-4629	Pycnogonida	IU	NC	-23.090534	167.75592	Pycnogonidae	BIOCAL/DW51	POINT  (167.75592 -23.090534)	Pycnogonum	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-10-17T16:14Z	440001430	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4629	Pycnogonum (Nulloviger) lobipes	Stock, 1991	urn:lsid:marinespecies.org:taxname:266438	lobipes	SPECIES	HOLOTYPE	Pacific Ocean	55f87c9c-8841-444b-af19-71c6ebd60f92	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) lobipes	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239913	239913	Pycnogonum lobipes Stock, J.H., 1991	['NO_DEPTH']	688	41139	24.56	35.27									
Occurrence	21711	Pycnogonida	NewCaledonia		-23.0799999237061	167.740005493164	Pycnogonidae			Pycnogonum				IRD-MNHN	Animalia		Biocal, DW51	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21711:0x1A90170001000500	Pantopoda	Arthropoda			Pycnogonum (Nulloviger) lobipes		urn:lsid:marinespecies.org:taxname:266438					c6a9c61e-7962-49a9-9f33-681ad858f21b	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum (Nulloviger)	Pycnogonum (Nulloviger) lobipes	2	1065	1274	1302	1358	379601	379611	1567	134595	239387	239913	239913	Pycnogonum lobipes	[]	706	39361	24.51	35.26	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	700.0	680.0	present	690.0	Biota	1.0
