basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
HumanObservation	38206	SOMBASE Pycnogonids	-53.8683013916	-39.0666007996	BAS	220.0	170.0	Pallenopsis lattina	urn:lsid:marinespecies.org:taxname:239891	0062266f-c2df-4824-ace6-dfcab9658891	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	195.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis lattina	2	1065	1274	1302	1358	379601	379609	236317	134593	239891	239891	Pallenopsis lattina	[]	201	52126	1.77	33.74
HumanObservation	38223	SOMBASE Pycnogonids	-59.0999984741	-31.7833003998	BAS			Pallenopsis lattina	urn:lsid:marinespecies.org:taxname:239891	d623f8d2-8f3a-4b2b-8ad2-52ff357548da	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis lattina	2	1065	1274	1302	1358	379601	379609	236317	134593	239891	239891	Pallenopsis lattina	['NO_DEPTH']	3003	250809	-0.74	33.74
