basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	identificationQualifier	kingdom	language	modified	month	occurrenceID	occurrenceStatus	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss
HumanObservation	ROSCOFFINVOCC_0009326	Roscoff inventories: marine fauna and flora since 1800	https://marineinfo.org/id/dataset/5999	Roscoff inventories: marine fauna and flora since 1800	20	48.85010147	-3.899800062	2012-03-20	ROSCOFFINVEVT0009326	sample	EPSG:4326	Ammothella longioculata	Animalia	en	2019-08-28 14:11:55	3	ROSCOFFINVOCC_0009326	present	Ammothella longioculata	urn:lsid:marinespecies.org:taxname:134613	2012	cfc4d31e-8fe7-4430-ab8f-5ae9bca5b742	3d08e18e-6146-4e27-ab0e-03504a65cbd4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1332201600000	1332201600000	1332201600000	2012	False	False	True	False	Biota	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella longioculata	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134613	134613	Ammothella longioculata	True	['NO_DEPTH']	72	13337	13.01	35.05
HumanObservation	ROSCOFFINVOCC_0009374	Roscoff inventories: marine fauna and flora since 1800	https://marineinfo.org/id/dataset/5999	Roscoff inventories: marine fauna and flora since 1800	20	48.87039948	-3.899970055	2012-03-20	ROSCOFFINVEVT0009374	sample	EPSG:4326	Ammothella longioculata	Animalia	en	2019-08-28 14:11:55	3	ROSCOFFINVOCC_0009374	present	Ammothella longioculata	urn:lsid:marinespecies.org:taxname:134613	2012	d2ef9cbf-c2b0-499b-be4a-55abc68856df	3d08e18e-6146-4e27-ab0e-03504a65cbd4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1332201600000	1332201600000	1332201600000	2012	False	False	True	False	Biota	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothella	Ammothella longioculata	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134613	134613	Ammothella longioculata	True	['NO_DEPTH']	76	15217	13.01	35.05
