basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	individualCount	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	date_start	date_mid	date_end	date_year	coordinatePrecision
PreservedSpecimen	J12961	Pycnogonida	co119	1000	Australia	-38.27	145.3	Callipallenidae	POINT (145.30000 -38.27000)	Stylopallene	1	NMV	Animalia	Crawfish Rock	2017-02-10T11:39:41	J12961	present	1	individuals	Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Unknown	longicauda	species	027c01b3-74e8-41d6-b290-62888fbe2f4e	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	1	1335	15.7	35.71						
PreservedSpecimen	J12957	Pycnogonida	co119	1000	Australia	-38.27	145.3	Callipallenidae	POINT (145.30000 -38.27000)	Stylopallene	3	NMV	Animalia	Crawfish Rock, Western Port	2017-02-10T11:39:41	J12957	present	3	individuals	Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Unknown	longicauda	species	13dafb13-9e17-4d47-9420-45d8eecae493	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	1	1335	15.7	35.71	1973-11-17	122342400000.0	122342400000.0	122342400000.0	1973.0	
PreservedSpecimen	J12970	Pycnogonida	co119	1000	Australia	-38.27	145.3	Callipallenidae	POINT (145.30000 -38.27000)	Stylopallene	1	NMV	Animalia	Crawfish Rock	2017-02-10T11:39:43	J12970	present	1	individuals	Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Unknown	longicauda	species	1acc91c6-1920-4087-9c77-7ed29d2ff7ac	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	1	1335	15.7	35.71						
PreservedSpecimen	J12967	Pycnogonida	co119	1000	Australia	-38.27	145.3	Callipallenidae	POINT (145.30000 -38.27000)	Stylopallene	1	NMV	Animalia	Crawfish Rock	2017-02-10T11:39:42	J12967	present	1	individuals	Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Unknown	longicauda	species	1fb23507-9362-4720-a82b-3fb5f0e8fa55	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	1	1335	15.7	35.71						
PreservedSpecimen	J12962	Pycnogonida	co119	1000	Australia	-38.27	145.3	Callipallenidae	POINT (145.30000 -38.27000)	Stylopallene	1	NMV	Animalia	Crawfish Rock	2017-02-10T11:39:41	J12962	present	1	individuals	Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Unknown	longicauda	species	2d195037-f0c2-4b5b-85aa-64a606bc8609	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	1	1335	15.7	35.71						
PreservedSpecimen	J12954	Pycnogonida	co119	1000	Australia	-38.27	145.3	Callipallenidae	POINT (145.30000 -38.27000)	Stylopallene	1	NMV	Animalia	Crawfish Rock, Western Port	2017-02-10T11:39:40	J12954	present	1	individuals	Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Unknown	longicauda	species	4c735068-ba0e-4de7-a276-753eaa896bb2	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	1	1335	15.7	35.71	1973-12-23	125452800000.0	125452800000.0	125452800000.0	1973.0	
PreservedSpecimen	J12973	Pycnogonida	co119	1000	Australia	-38.27	145.3	Callipallenidae	POINT (145.30000 -38.27000)	Stylopallene	2	NMV	Animalia	Crawfish Rock	2017-02-10T11:39:43	J12973	present	2	individuals	Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Unknown	longicauda	species	4da84e49-d199-400f-80e2-02fad4dc6f2c	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	1	1335	15.7	35.71						
PreservedSpecimen	P.77581	Pycnogonida	co113	10000		-19.94249	117.88999	Callipallenidae	POINT (117.88999 -19.94249)	Stylopallene		AM	Animalia	North West Shelf	2017-03-02T12:58:24	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.77581	present			Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Female	longicauda	species	74d96c5e-f44f-40cc-8b68-0f1d9377cecb	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	43	53206	26.78	34.64	1983-10-26	435974400000.0	435974400000.0	435974400000.0	1983.0	0.0896
PreservedSpecimen	J12966	Pycnogonida	co119	1000	Australia	-38.27	145.3	Callipallenidae	POINT (145.30000 -38.27000)	Stylopallene	1	NMV	Animalia	Crawfish Rock	2017-02-10T11:39:42	J12966	present	1	individuals	Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Unknown	longicauda	species	7ca9b22e-7a9c-48a2-8d45-b32cb07e3132	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	1	1335	15.7	35.71						
PreservedSpecimen	J12972	Pycnogonida	co119	1000	Australia	-38.27	145.3	Callipallenidae	POINT (145.30000 -38.27000)	Stylopallene	1	NMV	Animalia	Crawfish Rock	2017-02-10T11:39:43	J12972	present	1	individuals	Arthropoda	Stylopallene longicauda	urn:lsid:marinespecies.org:taxname:240030	Unknown	longicauda	species	8a3e84ce-48f6-463e-9c45-859123b9832f	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Stylopallene longicauda	2	1065	1274	1302	1358	379601	379609	1564	236298	240030	240030	Stylopallene longicauda	['NO_DEPTH']	1	1335	15.7	35.71						
