basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	maximumDepthInMeters	minimumDepthInMeters	month	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionID	continent	country	county	dateIdentified	fieldNumber	habitat	higherClassification	higherGeography	identifiedBy	institutionID	language	license	locality	locationID	nomenclaturalCode	occurrenceID	occurrenceRemarks	preparations	recordedBy	scientificNameAuthorship	specificEpithet	startDayOfYear	stateProvince	taxonRank	type	typeStatus	verbatimEventDate	verbatimLatitude	verbatimLongitude	superdomain	superdomainid
HumanObservation	USEPA'S EMAP	18661	CAL03	22	33.8870010376	-120.010002136	2003-07-22T12:00:00Z	EMAP_NCA	56.0	56.0	7	Callipallene pacifica	urn:lsid:marinespecies.org:taxname:239404	2003	2635dea1-1057-4af1-a61f-127e1caf2ec5	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	56.0	1058832000000	1058832000000	1058832000000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene pacifica	2	1065	1274	1302	1358	379601	379609	1564	134581	239404	239404	Callipallene pacifica	[]	50	4724	15.04	33.44																																
HumanObservation	USEPA'S EMAP	22532	CAL03	24	33.5069999695	-117.760002136	2003-07-24T12:00:00Z	EMAP_NCA	23.0	23.0	7	Callipallene pacifica	urn:lsid:marinespecies.org:taxname:239404	2003	3e748a17-cf03-4656-b915-fb1235de7fe8	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	23.0	1059004800000	1059004800000	1059004800000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene pacifica	2	1065	1274	1302	1358	379601	379609	1564	134581	239404	239404	Callipallene pacifica	[]	40	699	17.49	33.44																																
HumanObservation	USEPA'S EMAP	9025	COL00	9	48.4799995422	-122.989997864	2000-08-09T12:00:00Z	EMAP_NCA		41.0	8	Callipallene pacifica	urn:lsid:marinespecies.org:taxname:239404	2000	5cbd7bbb-ab4d-494a-8f53-cce89e2f4767	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	41.0	965779200000	965779200000	965779200000	2000	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene pacifica	2	1065	1274	1302	1358	379601	379609	1564	134581	239404	239404	Callipallene pacifica	[]	39	757	9.64	25.34																																
HumanObservation	USEPA'S EMAP	18344	CAL03	22	33.875	-119.947998047	2003-07-22T12:00:00Z	EMAP_NCA	82.0	82.0	7	Callipallene pacifica	urn:lsid:marinespecies.org:taxname:239404	2003	6f923c24-29aa-4fb7-8f97-b6f4e215efad	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	82.0	1058832000000	1058832000000	1058832000000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene pacifica	2	1065	1274	1302	1358	379601	379609	1564	134581	239404	239404	Callipallene pacifica	[]	85	7695	15.19	33.44																																
PreservedSpecimen		18633	IZ	12	35.1333333333	-120.8666666667	1938-09-12	CAS		102.41	9	Callipallene pacifica		1938	8147ffe8-3cfc-4523-bbc8-52471647d820	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	102.41	-987897600000	-987897600000	-987897600000	1938	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene pacifica	2	1065	1274	1302	1358	379601	379609	1564	134581	239404	239404	Pallene pacifica	[]	111	6792	13.43	33.27	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Luis Obispo County	1939	039805	rock [?]	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Nymphonoidea, Pallenidae	North America, United States, California	Joel W. Hedgpeth	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	off Point San Luis	060b8e07-2598-11ed-aace-005056be1b7a	ICZN	urn:catalog:CAS:IZ:18633	Spec. notes: 1 female spec.; NOTES:formerly Ty80, SNHM 3211	Fluid-75% EtOH(1)	"R/V ""Zaca"""	Hedgpeth, 1939	pacifica	255	California	species	Physical Object	HOLOTYPE	12 Sep 1938	35° 8' N	120° 52' W	Biota	1.0
HumanObservation	USEPA'S EMAP	20203	CAL03	22	34.1049995422	-119.195999146	2003-07-22T12:00:00Z	EMAP_NCA	29.0	29.0	7	Callipallene pacifica	urn:lsid:marinespecies.org:taxname:239404	2003	b23dd8fa-d5bf-4014-af6c-7e4d75866fac	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	29.0	1058832000000	1058832000000	1058832000000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene pacifica	2	1065	1274	1302	1358	379601	379609	1564	134581	239404	239404	Callipallene pacifica	[]	28	3326	16.08	33.45																																
PreservedSpecimen		18634	IZ	12	35.1333333333	-120.8666666667	1938-09-12	CAS		102.41	9	Callipallene pacifica		1938	d4768520-70ea-44b2-820e-153bc8e91edb	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	102.41	-987897600000	-987897600000	-987897600000	1938	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene pacifica	2	1065	1274	1302	1358	379601	379609	1564	134581	239404	239404	Pallene pacifica	[]	111	6792	13.43	33.27	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Luis Obispo County	1939	039806	Rock (?)	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Nymphonoidea, Pallenidae	North America, United States, California	Joel W. Hedgpeth	http://grscicoll.org/institution/california-academy-sciences	en	https://creativecommons.org/publicdomain/zero/1.0/	off Point San Luis.	060b8e9f-2598-11ed-aace-005056be1b7a	ICZN	urn:catalog:CAS:IZ:18634	Spec. notes: 1 female spec.; NOTES:formerly Ty80, SNHM 3212	Fluid-75% EtOH(1)	"R/V ""Zaca"""	Hedgpeth, 1939	pacifica	255	California	species	Physical Object	PARATYPE	12 Sep 1938	35° 08' N	120° 52' W	Biota	1.0
HumanObservation	USEPA'S EMAP	26758	CAL03	5	33.1069984436	-117.357002258	2003-08-05T12:00:00Z	EMAP_NCA	74.0	74.0	8	Callipallene pacifica	urn:lsid:marinespecies.org:taxname:239404	2003	f4a4593f-c71d-4f3d-b73a-0fc86d397134	41a50544-957c-4193-8bbf-25a25f749e85	['310922b4-9d0c-4de1-92d7-9b442d34765b']	74.0	1060041600000	1060041600000	1060041600000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene pacifica	2	1065	1274	1302	1358	379601	379609	1564	134581	239404	239404	Callipallene pacifica	[]	60	3109	17.73	33.34																																
