associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	stateProvince
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	79959.272864	Invertebrate Zoology: Crustacea	Russia	24	46.7000007629	151.682998657	observedindividualcount=2;	1906-06-24T12:00:00Z	Hedgpeth, J. W.	2.0	USNM	; juvenile	Kuril Islands, Simushir Island, Cape Rollin	419.0	419.0	6	Alcohol (Ethanol)	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003	female;;	North Pacific Ocean	1906	08bc4f66-ae2f-429c-91bd-3a94b94fc6af	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	419.0	-2004652800000	-2004652800000	-2004652800000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	[]	1336	10246	4.65	32.66	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	76521.271027	Invertebrate Zoology: Crustacea	United States	20	53.5638885498	-167.780563354	observedindividualcount=1;	1890-08-20T12:00:00Z	Giltay, L.	1.0	USNM		N Of Unalaska Island			8	Alcohol (Ethanol)	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003		North Pacific Ocean	1890	2fcb8641-0f2b-4388-bb0c-adb49cf7653d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2504563200000	-2504563200000	-2504563200000	1890	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	['NO_DEPTH']	214	4959	5.51	32.47	Alaska
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	79960.272866	Invertebrate Zoology: Crustacea	Russia	28	48.375	145.725006104	observedindividualcount=1;	1906-09-28T12:00:00Z	Hedgpeth, J. W.	1.0	USNM		S Of Ostrov Sakhalin	805.0	805.0	9	Alcohol (Ethanol)	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003		North Pacific Ocean	1906	348d0870-0f34-45c4-a692-f4961809c588	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	805.0	-1996358400000	-1996358400000	-1996358400000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	['DEPTH_EXCEEDS_BATH']	511	78024	5.04	32.11	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234748.186468	Invertebrate Zoology: Crustacea	United States	20	51.7750015259	177.378326416	observedindividualcount=4;	1986-08-20T12:00:00Z	Child, C. Allan	4.0	USNM		Aleutian Islands	137.0	137.0	8	Alcohol (Ethanol)	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003		North Pacific Ocean	1986	358a372f-9a4a-4145-b684-3d95afb6e599	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	137.0	524880000000	524880000000	524880000000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	[]	131	4502	5.33	32.79	Alaska
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154786.118181	Invertebrate Zoology: Crustacea	United States	4	54.0	-162.0	observedindividualcount=1;	1963-06-04T12:00:00Z	Child, C. Allan	1.0	USNM		Off Sanka Bank			6	Alcohol (Ethanol)	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003	male	North Pacific Ocean	1963	3e260cc3-69cf-4c09-b7bb-40e203ea587c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-207619200000	-207619200000	-207619200000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	['NO_DEPTH']	1136	47877	6.53	32.18	Alaska
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	79961.272867	Invertebrate Zoology: Crustacea	Japan	19	34.25	138.0	observedindividualcount=1;	1906-10-19T12:00:00Z	Hedgpeth, J. W.	1.0	USNM		Honshu Island, Off Omai Saki Light	924.0	869.0	10	Alcohol (Ethanol); Slide	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003		North Pacific Ocean	1906	5f234bff-1e13-418f-81a9-439933742c4b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	896.5	-1994544000000	-1994544000000	-1994544000000	1906	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	[]	949	42746	20.89	34.21	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234745.186465	Invertebrate Zoology: Crustacea	United States	27	53.0283317566	173.183334351	observedindividualcount=1;	1986-08-27T12:00:00Z	Child, C. Allan	1.0	USNM		Aleutian Islands	137.0	137.0	8	Alcohol (Ethanol)	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003		North Pacific Ocean	1986	658fe9cc-83eb-4163-ac18-e40fcf0f8f74	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	137.0	525484800000	525484800000	525484800000	1986	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	[]	95	5729	5.7	32.9	Alaska
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	76523.271029	Invertebrate Zoology: Crustacea	United States	20	53.7277793884	-167.491668701	observedindividualcount=1;	1890-08-20T12:00:00Z	Giltay, L.	1.0	USNM		Off Of W Unalaska			8	Alcohol (Ethanol)	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003		North Pacific Ocean	1890	67684afc-dae4-48c2-bb2c-394551ba61a9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2504563200000	-2504563200000	-2504563200000	1890	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	['NO_DEPTH']	698	24877	5.47	32.5	Alaska
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234743.186463	Invertebrate Zoology: Crustacea	United States	6	52.0349998474	-176.376663208	observedindividualcount=3;	1983-08-06T12:00:00Z	Child, C. Allan	3.0	USNM		Aleutian Islands	249.0	249.0	8	Alcohol (Ethanol)	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003		North Pacific Ocean	1983	78446bb8-752d-4d3e-8a9e-1d4e2023fceb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	249.0	428976000000	428976000000	428976000000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	[]	565	11656	5.46	32.72	Alaska
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234744.186464	Invertebrate Zoology: Crustacea	United States	30	52.2983283997	-174.788330078	observedindividualcount=2;	1994-06-30T12:00:00Z	Child, C. Allan	2.0	USNM		Aleutian Islands		309.0	6	Alcohol (Ethanol)	Hedgpethia dofleini	(Loman)	urn:lsid:marinespecies.org:taxname:240003		North Pacific Ocean	1994	86879bf8-3ae7-4e75-8bc3-cc20c229729a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	309.0	772934400000	772934400000	772934400000	1994	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Hedgpethiinae	Hedgpethia	Hedgpethia dofleini	2	1065	1274	1302	1358	379601	379607	22617	379614	134587	240003	240003	Hedgpethia dofleini	[]	404	16560	5.51	32.7	Alaska
