basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	recordNumber	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	day	dynamicProperties	individualCount	locality	month	preparations	sex	waterBody	year	specificEpithet	eventID	occurrenceRemarks	datasetID	references	typeStatus	dateIdentified	sampleSizeUnit
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04855	Pycnogonida	MIIC	200	-34.2903	132.689	2015-12-10 00:00	Pallenopsidae	IN2015_C02-181	POINT (132.68900 -34.29030)	Bathypallenopsis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	350.4	350.4	2023-07-11T05:57:21	urn:csiro:MIIC:MIIC-04855	present	1	individuals	Arthropoda	IN2015_C02_181_135	Karen Gowlett-Holmes	Bathypallenopsis antipoda	(Clark, 1972)	urn:lsid:marinespecies.org:taxname:239495	species	21873958-9900-4877-9302-c46b5a91f4a9	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	350.4	1449705600000.0	1449705600000.0	1449705600000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Bathypallenopsis antipoda (Clark, 1972)	[]	292	146248	17.98	35.74																			
HumanObservation		34290	Pycnogonida	SOMBASE Pycnogonids		-49.3666992188	176.016601562		Pallenopsidae			Bathypallenopsis			BAS	Animalia	1280.0	1280.0						Arthropoda			Bathypallenopsis antipoda		urn:lsid:marinespecies.org:taxname:848866		41845c93-b8bf-412d-9c89-e15646045070	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1280.0					False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda		2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Pallenopsis antipoda	[]	1152	197838	8.23	34.25																			
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	222683.176650	Pycnogonida	Invertebrate Zoology: Crustacea		40.7000007629	-65.0049972534	1982-10-05T12:00:00Z	Pallenopsidae			Bathypallenopsis		Child, C. Allan	USNM	Animalia	1010.0							Arthropoda			Bathypallenopsis antipoda	Clark	urn:lsid:marinespecies.org:taxname:848866		4317856d-6250-4836-a118-2e623c5b77c4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1010.0	402624000000.0	402624000000.0	402624000000.0	1982.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda		2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Pallenopsis antipoda	[]	3951	303386	17.37	34.69	National Museum of Natural History, Smithsonian Institution	United States	5	observedindividualcount=1;	1.0	North American Slope	10	Alcohol (Ethanol)	female	North Atlantic Ocean	1982								
PreservedSpecimen		J61985	Pycnogonida	co119	1000	-45.2949	146.114	2009-01-11	Pallenopsidae		POINT (146.11400 -45.29490)	Bathypallenopsis			NMV	Animalia	2423.0	2423.0	2017-02-09T10:28:41	J61985	present	1	individuals	Arthropoda			Bathypallenopsis antipoda		urn:lsid:marinespecies.org:taxname:239495	Species	544b4a2e-0d22-45c0-8085-55d543abee68	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	2423.0	1231632000000.0	1231632000000.0	1231632000000.0	2009.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda		2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Bathypallenopsis antipoda	[]	2690	173323	12.69	34.99					1	Tasman Fracture Zone			Female			antipoda							
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04857	Pycnogonida	MIIC	200	-34.2903	132.689	2015-12-10 00:00	Pallenopsidae	IN2015_C02-181	POINT (132.68900 -34.29030)	Bathypallenopsis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	350.4	350.4	2023-07-11T05:57:21	urn:csiro:MIIC:MIIC-04857	present	1	individuals	Arthropoda	IN2015_C02_181_135	Karen Gowlett-Holmes	Bathypallenopsis antipoda	(Clark, 1972)	urn:lsid:marinespecies.org:taxname:239495	species	81bacf1e-4f92-45b2-88b8-b7b2eb50bc99	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	350.4	1449705600000.0	1449705600000.0	1449705600000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Bathypallenopsis antipoda (Clark, 1972)	[]	292	146248	17.98	35.74																			
HumanObservation			Pycnogonida	CMAR_SS200702	500	-44.24317	147.12194	2007-04-02T15:18:10Z	Pallenopsidae	SS200702:21	LINE (147.1188  -44.2407, 147.1251  -44.2457)	Bathypallenopsis			CSIRO, Australia	Animalia	1200.0	1200.0	2022-08-23T23:59:01	CC-SS200702-21-661158-33020016	present	1	individuals	Arthropoda			Bathypallenopsis antipoda	Clark, 1972	urn:lsid:marinespecies.org:taxname:239495		88196131-a4d9-4ba4-88d7-b499e0bd852b	723bda06-7421-4669-b25c-3f4f4b9bec78	['2a57cd59-6799-4579-955e-27c9af97aea4']	1200.0	1175472000000.0	1175472000000.0	1175472000000.0	2007.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda		2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Bathypallenopsis antipoda	[]	1144	44127	13.81	35.19		Australia			1	Survey area							SS200702:21	Occurrence Type: Catch composition Catch method: Catch					
HumanObservation			Pycnogonida	CMAR_SS199701	500	-44.39749	147.1625	1997-01-31T02:21:00Z	Pallenopsidae	SS199701:69	LINE (147.1467  -44.3967, 147.1783  -44.3983)	Bathypallenopsis			CSIRO, Australia	Animalia	1688.0	1262.0	2022-08-23T23:53:53	CC-SS199701-69-660874-33020016	present		individuals	Arthropoda			Bathypallenopsis antipoda	Clark, 1972	urn:lsid:marinespecies.org:taxname:239495		a530cc84-9dfb-415d-bf7c-baca1387af47	62658cbe-5420-4c6f-91cd-0acb6d8bc03a	['2a57cd59-6799-4579-955e-27c9af97aea4']	1475.0	854668800000.0	854668800000.0	854668800000.0	1997.0	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda		2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Bathypallenopsis antipoda	[]	1743	61538	13.7	35.16		Australia				Survey area							SS199701:69	Occurrence Type: Catch composition Catch method: Catch					
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Pallenopsis antipoda</i> Clark, 1971. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=848866	sm_id_89757	Pycnogonida	WoRMS type localities		-49.3667	176.2667	1965-01-28	Pallenopsidae			Bathypallenopsis			WoRMS Editorial Board	Animalia		1280.0	2020-11-16 11:12:20	WoRMS Editorial Board:WoRMS type localities:sm_id_89757	present			Arthropoda			Bathypallenopsis antipoda	Clark, 1971	urn:lsid:marinespecies.org:taxname:848866		baec1848-457f-4b4d-8dff-934cfea596bb	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1280.0	-155433600000.0	-155433600000.0	-155433600000.0	1965.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Pallenopsis antipoda	[]	1227	180083	8.16	34.24			28		1.0		1				1965	antipoda			https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=89757	holotype		
HumanObservation		IN2015_C02_181_129	Pycnogonida	GAB-RP	100	-34.2879	132.6935	2015-12-07T20:19:01Z	Pallenopsidae	IN2015_C02:181	LINE (132.6890  -34.2903, 132.6980  -34.2855)	Bathypallenopsis		D.A Staples	CSIRO	Animalia	350.0	216.0	2022-08-29T02:41:32	CS-IN2015_C02-181-2549423-33020016-52	present	1	individuals	Arthropoda			Bathypallenopsis antipoda	Clark, 1972	urn:lsid:marinespecies.org:taxname:239495		e68021dc-9052-4523-915d-80ddb1c9463a	27f7853d-48c4-4365-8b0b-158d8fffb7c7	['2a57cd59-6799-4579-955e-27c9af97aea4']	283.0	1449446400000.0	1449446400000.0	1449446400000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Bathypallenopsis antipoda	['DEPTH_EXCEEDS_BATH']	249	145788	17.98	35.74		Australia			1								IN2015_C02:181	Occurrence Type: Catch specimen				01/SEP/16	IN2015_C02
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04856	Pycnogonida	MIIC	200	-34.2903	132.689	2015-12-10 00:00	Pallenopsidae	IN2015_C02-181	POINT (132.68900 -34.29030)	Bathypallenopsis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	350.4	350.4	2023-07-11T05:57:21	urn:csiro:MIIC:MIIC-04856	present	1	individuals	Arthropoda	IN2015_C02_181_135	Karen Gowlett-Holmes	Bathypallenopsis antipoda	(Clark, 1972)	urn:lsid:marinespecies.org:taxname:239495	species	f18a4922-685e-4d03-abcd-124a6ca8275b	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	350.4	1449705600000.0	1449705600000.0	1449705600000.0	2015.0	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Bathypallenopsis antipoda	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	239495	239495	Bathypallenopsis antipoda (Clark, 1972)	[]	292	146248	17.98	35.74																			
