basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	day	locality	modified	month	occurrenceID	year	coordinateUncertaintyInMeters	countryCode	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	date_start	date_mid	date_end	date_year	superdomain	superdomainid	identificationRemarks	occurrenceRemarks	sex	associatedReferences	bibliographicCitation	country	dynamicProperties	individualCount	lifeStage	typeStatus	waterBody
HumanObservation	22942	SOMBASE Pycnogonids	-74.4682998657	-30.5282993317	BAS	513.0	513.0	Nymphon inornatum	urn:lsid:marinespecies.org:taxname:173431	0a18cebe-cc61-4df8-bfd9-b3fde4764f7c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	513.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon inornatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173431	173431	Nymphon inornatum	[]	638	141128	-1.75	34.01																																													
HumanObservation	2818	Weddell Sea macrozoobenthos EASIZ I	-71.525	-12.425	AWI	504.0	504.0	Nymphon inornatum	urn:lsid:marinespecies.org:taxname:173431	183cd904-f4ec-4186-9d83-675c0ffb1342	e1ca35fd-bbc4-4da9-a27c-fea1502a4a30	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	504.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon inornatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173431	173431	Nymphon inornatum	[]	512	4469	-1.76	33.77	IMIS:dasid:2432	28	Kapp Norvegia area	2010-05-11T18:09Z	2	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2818	1996																																						
HumanObservation	39378	SOMBASE Pycnogonids	-71.5	-12.4333000183	BAS	529.0	294.0	Nymphon inornatum	urn:lsid:marinespecies.org:taxname:173431	2d329e91-aa68-438b-b2d0-fec3b84c91bb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	411.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon inornatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173431	173431	Nymphon inornatum	[]	477	3552	-1.76	33.77																																													
PreservedSpecimen	JR15005_1508_06		-60.3241	-46.7694	BAS	826.0	722.0	Nymphon inornatum	urn:lsid:marinespecies.org:taxname:173431	61e33029-72c8-49ea-a375-0cbbff502ce6	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	774.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon inornatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173431	173431	Nymphon inornatum	[]	859	26187	-0.83	33.81		10			3	JR15005_1508_06	2016	280	AQ	2016-03-10	JR15005	JR15005_70	LINESTRING (-46.76898 -60.32156, -46.76986 -60.32657)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	Present	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Child, 1995	inornatum	species	PhysicalObject	10/3/2016	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	Biota	1.0											
HumanObservation	21480	SOMBASE Pycnogonids	-71.5250015259	-12.4250001907	BAS	504.0	504.0	Nymphon inornatum	urn:lsid:marinespecies.org:taxname:173431	8f73c520-f69b-467e-be84-edc69dad147a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	504.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon inornatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173431	173431	Nymphon inornatum	[]	528	4469	-1.76	33.77																																													
PreservedSpecimen	JR275_1230.9		-74.6746	-29.4295	BAS	604.49	586.74	Nymphon inornatum	urn:lsid:marinespecies.org:taxname:173431	9831b095-a5bb-4618-8b5d-2f6829d23867	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	595.615	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon inornatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173431	173431	Nymphon inornatum	[]	613	107357	-1.72	33.98		29			2	JR275_1230.9	2012	153	AQ	2012-02-29	JR275	JR275_85	LINESTRING (-29.42462 -74.67411, -29.43436 -74.67504)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Child, 1995	inornatum	species	PhysicalObject	29/02/2012	1330473600000.0	1330473600000.0	1330473600000.0	2012.0	Biota	1.0	fully glabrous trunk, no aux claws, cement glands low, setae get progressively shorter on 2nd tibia	Larvae present	Male								
PreservedSpecimen	234673.286932	Invertebrate Zoology: Crustacea	-74.4683303833	-30.5283298492	USNM			Nymphon inornatum	urn:lsid:marinespecies.org:taxname:173431	d51dec44-8bee-49d5-9b48-bfa23b5eae60	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon inornatum	2	1065	1274	1302	1358	379601	379609	1566	134591	173431	173431	Nymphon inornatum	['NO_DEPTH']	638	141128	-1.75	34.01		24	Coats Land, Halley Bay, NW Of		2		1969			1969-02-24T12:00:00Z					Child, C. Allan							Alcohol (Ethanol)		Child					-26870400000.0	-26870400000.0	-26870400000.0	1969.0					female	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	observedindividualcount=1;	1.0	juvenile	Holotype	Antarctic Ocean
