basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	day	dynamicProperties	eventDate	identifiedBy	individualCount	month	preparations	recordedBy	scientificNameAuthorship	sex	stateProvince	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
Occurrence	Stock JH (1991). Musorstom 8(151): 213-228.	38246	NewCaledonia	Philippines	https://marineinfo.org/id/dataset/3128	12.5200004577637	120.650001525879	IRD-MNHN	Musorstom 3, DR117	97	92	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:38246:0xE96D170001000000	present	Rhynchothorax orientalis	urn:lsid:marinespecies.org:taxname:240200	103da620-724f-47a3-bfa0-5dbb66754671	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	94.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax orientalis	1.0	2	1065	1274	1302	1358	379601	379612	22618	134596	240200	240200	Rhynchothorax orientalis	[]	174	26723	28.91	32.26																			
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228559.180720	Invertebrate Zoology: Crustacea	Philippines		9.08333015442	123.275001526	USNM	Negros Island, Apo Island, E Side	1	1				Rhynchothorax orientalis	urn:lsid:marinespecies.org:taxname:240200	e9e713b8-3fd7-4a18-99ab-d2957dc18422	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Rhynchothoracoidea	Rhynchothoracidae	Rhynchothorax	Rhynchothorax orientalis		2	1065	1274	1302	1358	379601	379612	22618	134596	240200	240200	Rhynchothorax orientalis	[]	125	182	28.4	32.66	National Museum of Natural History, Smithsonian Institution	23	observedindividualcount=1;	1978-06-23T12:00:00Z	Child, C. Allan	1.0	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Child	female	Negros Oriental	Holotype	North Pacific Ocean	1978	267408000000.0	267408000000.0	267408000000.0	1978.0
