basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	country	county	datasetName	endDayOfYear	license	startDayOfYear	stateProvince	taxonRank	vernacularName
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Tanystylum ulreungum</i> Kim, 1983. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239919	sm_id_1439	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	13	37.47	130.83	1982-10-13	Ammotheidae	Tanystylum	WoRMS Editorial Board	Animalia	Yellow Sea	2007-06-20 15:52:33	10	WoRMS Editorial Board:WoRMS type localities:sm_id_1439	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1439	Tanystylum ulreungum	Kim, 1983	urn:lsid:marinespecies.org:taxname:239919	ulreungum	holotype	1982	7c99de6f-607b-4b57-b86f-21bd2605167c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	403315200000	403315200000	403315200000	1982	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum ulreungum	1	2	1065	1274	1302	1358	379601	379608	1562	134577	239919	239919	Tanystylum ulreungum	['NO_DEPTH']	-41	1	17.25	33.5										
HumanObservation	Association for the Research of Littoral Organisms in Osaka Bay (2023) Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys carried out in the years 2016-2020. Shizenshi-Kenkyu, Occasional Papers from the Osaka Museum of Natural History, 4(6), 157-180. https://doi.org/10.20643/00001668	065018	Pycnogonida	rocky_macrobiota		7	34.323	135.116	2019-04-07	Ammotheidae	Tanystylum	OKKJP	Animalia	Tanagawa Tanigawa, Toyokunizaki	2024-07-18T15:51:54.456552804+09:00	4	OKKJP:rocky_macrobiota:065018	Present	Pantopoda	Arthropoda		Tanystylum ulreungum	Kim, 1983	urn:lsid:marinespecies.org:taxname:239919	ulreungum		2019	d5fde054-a500-46fc-aa0d-1b6a7ea8d1b0	b1a2d0ab-9b94-4a59-9371-432738a3cc36	['0d07a0ea-9c75-48e8-b3fd-c28d653f4270']	1554595200000	1554595200000	1554595200000	2019	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum ulreungum	1	2	1065	1274	1302	1358	379601	379608	1562	134577	239919	239919	Tanystylum ulreungum	['NO_DEPTH']	-12	31	19.81	33.09	100	Japan	Sennan-gun, Misaki-cho	Rocky shore macrobiota of southeastern Osaka Bay: Results of surveys	97	https://creativecommons.org/licenses/by/4.0/legalcode	97	Oosaka	species	フトウミグモ属（和名なし）
