associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	superdomain	superdomainid	occurrenceRemarks	recordedBy	continent	datasetName	eventID	eventTime	fieldNumber	footprintWKT	samplingProtocol
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	32125.252911	Invertebrate Zoology: Crustacea	United States	30	39.5499992371	-68.4458312988	observedindividualcount=1;	1883-07-30T12:00:00Z	Verrill, Addison E.	1.0	USNM	Off Nantucket Shoals	2844.0	2844.0	7	Alcohol (Ethanol)	Colossendeis angusta	Sars	urn:lsid:marinespecies.org:taxname:134659	Massachusetts	North Atlantic Ocean	1883	0389f915-40ee-4c42-b9b2-d342f802bac4	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2844.0	-2727302400000	-2727302400000	-2727302400000	1883	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	[]	2864.0	228836	18.38	35.28															
	HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9017	Deep-sea Fauna of European Seas: Pycnogonida			55.1	-11.36		1979/1999			P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Challenger” St. AT282		2760.0			Colossendeis angusta	Sars, 1877	urn:lsid:marinespecies.org:taxname:134659				04783308-04a5-427d-8808-2e89483bcab8	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2760.0	283996800000	615254400000	946598400000	1989	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	[]	2736.6	121853	12.11	35.42	https://marineinfo.org/id/dataset/5146	2016-03-24 10:26:12	Deepsea_Pycnogonida_9017	present	Biota	1.0									
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	10937.81346	Invertebrate Zoology: Crustacea		23	42.9749984741	-50.8330001831	observedindividualcount=1;	1885-06-23T12:00:00Z	Verrill, Addison E.	1.0	USNM	Off S Edge Of Grand Bank	327.0	327.0	6	Alcohol (Ethanol)	Colossendeis angusta	Sars	urn:lsid:marinespecies.org:taxname:134659		North Atlantic Ocean	1885	087614da-1e2a-4998-8c1d-c9282d2693fd	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	327.0	-2667340800000	-2667340800000	-2667340800000	1885	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	[]	266.0	445207	10.42	32.75															
	HumanObservation			2006B3		6	69.6169967651	34.1500015259		1899-7-6			ArcOD			2000.0	7		Colossendeis angusta	Sars, 1877	urn:lsid:marinespecies.org:taxname:134659			1899	1275557f-d4ec-4672-ae73-1e670517566b	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	2000.0	-2224454400000	-2224454400000	-2224454400000	1899	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	['DEPTH_EXCEEDS_BATH']	168.44	25499	5.85	34.25			1082	present			;;134659;Andrey Pervozvannyy	ENPIM							
	HumanObservation			2006B3		29	78.0999984741	74.3499984741		1934-7-29			ArcOD			3870.0	7		Colossendeis angusta	Sars, 1877	urn:lsid:marinespecies.org:taxname:134659			1934	14ed9b5a-d288-4ffe-9194-5bd764bbf5da	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	3870.0	-1118016000000	-1118016000000	-1118016000000	1934	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	['DEPTH_EXCEEDS_BATH']	377.0	162918	-0.46	34.0			9863	present			;;134659;Sedov	Vagin							
	HumanObservation			2006B3		22	70.5	33.516998291		1900-5-22			ArcOD			2410.0	5		Colossendeis angusta	Sars, 1877	urn:lsid:marinespecies.org:taxname:134659			1900	159d2490-8afc-4289-bfbb-f55d06944bc3	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	2410.0	-2196806400000	-2196806400000	-2196806400000	1900	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	['DEPTH_EXCEEDS_BATH']	249.2	81873	5.9	34.58			1608	present			;;134659;Andrey Pervozvannyy	Knipovich							
	HumanObservation			2006B3		11	81.3679962158	17.4599990845		1991-7-11			ArcOD		8570.0	8490.0	7		Colossendeis angusta	Sars, 1877	urn:lsid:marinespecies.org:taxname:134659			1991	15b4c477-7d72-48c3-afe1-820d8ca5afb4	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	8530.0	679190400000	679190400000	679190400000	1991	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	['DEPTH_EXCEEDS_BATH']	833.0	77608	-0.76	33.52			17246	present			;;134659;Polarstern	Neelov							
	Occurrence		024310013011019	IMRMarbunnBenthos		18	68.578333	13.719167		2008-06-18T08:55:00+00:00/2008-06-18T09:00:00+00:00			IMR	MAREANO Reference Station: 243	139.07	138.82	6		Colossendeis angusta	Sars, 1877	urn:lsid:marinespecies.org:taxname:134659			2008	175daea5-dabc-46d9-adf6-80abb90ec810	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	138.945	1213747200000	1213747200000	1213747200000	2008	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	[]	139.6	22608	7.85	34.23	https://marineinfo.org/id/dataset/4540	2024-05-23 10:35:05	024310013011019	present	Biota	1.0			Norwegian Sea	beamtrawl_2006-2022	Cruise: 58GS-2008104 Sample: 13	08:55:00+00:00/09:00:00+00:00	catchId: 19	LINESTRING(13.719167 68.578333,13.714333 68.5795)	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0
	HumanObservation			2006B3		10	69.5419998169	32.7999992371		1899-6-10			ArcOD		2780.0	2430.0	6		Colossendeis angusta	Sars, 1877	urn:lsid:marinespecies.org:taxname:134659			1899	197be389-d5f1-4338-b487-3a82105b8dab	a145f369-b272-46f7-86bc-08412b1ee927	['da50007b-7871-46cf-8530-441b5836d2c1']	2605.0	-2226700800000	-2226700800000	-2226700800000	1899	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	['DEPTH_EXCEEDS_BATH']	22.98	3018	5.66	33.77			940	present			;;134659;Andrey Pervozvannyy	ENPIM							
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	8552.275723	Invertebrate Zoology: Crustacea	United States	12	38.625	-73.1829986572	observedindividualcount=1;	1884-09-12T12:00:00Z	Verrill, Addison E.	1.0	USNM	Off Coast	444.0	444.0	9	Alcohol (Ethanol)	Colossendeis angusta	Sars	urn:lsid:marinespecies.org:taxname:134659	Delaware	North Atlantic Ocean	1884	19cd6086-4d63-4616-b9e6-a06e7c1939a5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	444.0	-2691878400000	-2691878400000	-2691878400000	1884	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis angusta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134659	134659	Colossendeis angusta	[]	421.0	133862	16.82	34.27															
