basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	sex	continent	datasetName	day	geodeticDatum	language	locationID	month	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	year	bibliographicCitation	datasetID	references	typeStatus	superdomain	superdomainid	maximumDepthInMeters	minimumDepthInMeters	depth
PreservedSpecimen	P.78389	Pycnogonida	co113	0.0896	10000	New Zealand	-52.566	169.183	1980-01-03	Ammotheidae	POINT (169.18300 -52.56600)	Ammothea	AM	Animalia	Campbell Island, Perseverance Harbour, caves east of Divers Point	2017-03-02T13:00:46	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78389	present	Arthropoda	Ammothea antipodensis	urn:lsid:marinespecies.org:taxname:239982	antipodensis	species	02100428-a51c-4308-aa61-86e3dba44a5b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	315705600000.0	315705600000.0	315705600000.0	1980.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea antipodensis	2	1065	1274	1302	1358	379601	379608	1562	134569	239982	239982	Ammothea antipodensis	['NO_DEPTH', 'ON_LAND']	-217	-1096	7.91	34.36																						
PreservedSpecimen	P.78395	Pycnogonida	co113	0.0896	10000	New Zealand	-52.533	169.2	1980-01-09	Ammotheidae	POINT (169.20000 -52.53300)	Ammothea	AM	Animalia	Campbell Island, Smoothwater Bay, cliffs on north-west side of Boulder Beach	2017-03-02T13:00:47	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78395	present	Arthropoda	Ammothea antipodensis	urn:lsid:marinespecies.org:taxname:239982	antipodensis	species	9306dc58-fbe3-4c7e-abc1-2e492997595b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	316224000000.0	316224000000.0	316224000000.0	1980.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea antipodensis	2	1065	1274	1302	1358	379601	379608	1562	134569	239982	239982	Ammothea antipodensis	['NO_DEPTH', 'ON_LAND']	-230	-1329	7.91	34.36	Male																					
PreservedSpecimen	4780	Pycnogonida	NIWA		500	New Zealand	-45.915	170.4933333	23/01/1968	Ammotheidae	POINT (170.4933333 -45.915)	Ammothea	NIWA Invertebrate Collection	Animalia	St Clair, Dunedin	8/04/2022	5c6df6a2-fa36-11e2-96b3-aa6f927c92a3	present	Arthropoda	Ammothea antipodensis	urn:lsid:marinespecies.org:taxname:239982	antipodensis		9f0bf2a9-6758-48ec-949a-09301c0d815f	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea antipodensis	2	1065	1274	1302	1358	379601	379608	1562	134569	239982	239982	Ammothea antipodensis	['NO_DEPTH']	-1	355	11.65	34.46	female	Oceania	NIWA Invertebrate Collection	23	WGS84	en	E973	1	Specimen(s), Unknown = 1	Barnard, Jerry, L	Shore collection	Clark, 1972	1968									
HumanObservation	36710	Pycnogonida	SOMBASE Pycnogonids				-51.0	166.0		Ammotheidae		Ammothea	BAS	Animalia					Arthropoda	Ammothea antipodensis	urn:lsid:marinespecies.org:taxname:239982			ae086271-20e3-4ec1-bbf6-3610713014ab	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea antipodensis	2	1065	1274	1302	1358	379601	379608	1562	134569	239982	239982	Ammothea antipodensis	['NO_DEPTH']	211	9377	9.08	34.43																						
PreservedSpecimen	P.43301	Pycnogonida	co113	0.0896	10000		-50.52499	166.24166	1973-02-14	Ammotheidae	POINT (166.24166 -50.52499)	Ammothea	AM	Animalia	Auckland Islands, Port Ross, Rose Island to Shoe Island	2017-03-02T16:13:40	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43301	present	Arthropoda	Ammothea antipodensis	urn:lsid:marinespecies.org:taxname:239982	antipodensis	species	d3276c41-4db0-440f-8dc3-0ecd19ee3d29	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	98496000000.0	98496000000.0	98496000000.0	1973.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea antipodensis	2	1065	1274	1302	1358	379601	379608	1562	134569	239982	239982	Ammothea antipodensis	['NO_DEPTH']	12	821	9.24	34.44	Female																					
PreservedSpecimen	sm_id_1500	Pycnogonida	WoRMS type localities				-49.75	178.75		Ammotheidae		Ammothea	WoRMS Editorial Board	Animalia	South Pacific	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1500	present	Arthropoda	Ammothea antipodensis	urn:lsid:marinespecies.org:taxname:239982	antipodensis		df6fac33-8672-46c8-bca2-afa93d4ebe65	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea antipodensis	2	1065	1274	1302	1358	379601	379608	1562	134569	239982	239982	Ammothea antipodensis	['NO_DEPTH']	264	3977	7.72	34.19												Clark, 1972		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea antipodensis</i> Clark, 1972. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239982	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=1500	holotype	Biota	1.0			
HumanObservation	34300	Pycnogonida	SOMBASE Pycnogonids				-49.6683006287	178.788299561		Ammotheidae		Ammothea	BAS	Animalia					Arthropoda	Ammothea antipodensis	urn:lsid:marinespecies.org:taxname:239982			f954186f-5c1d-4898-9688-b33dc3984351	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammothea antipodensis	2	1065	1274	1302	1358	379601	379608	1562	134569	239982	239982	Ammothea antipodensis	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-126	-392	7.75	34.2																				5.0	0.0	2.5
