basisOfRecord	catalogNumber	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	modified	month	occurrenceID	occurrenceStatus	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	identifiedBy	maximumDepthInMeters	minimumDepthInMeters	references	specificEpithet	typeStatus	depth
PreservedSpecimen	1627	Collection Pantopoda	https://marineinfo.org/id/dataset/2860	16	12.515	44.795	1987-03-16/1987-03-16	SMF	innerer Golf von Aden	2011-08-19 12:54:48	3	urn:catalog:SMF:Collection Pantopoda:1627	present	Nymphon adenense	urn:lsid:marinespecies.org:taxname:239610	1987	0ef3e41e-f625-49fe-bc20-f97a32b4da60	ad2b32e8-2494-40fc-bfcd-4850cc7a1f0d	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	542851200000.0	542851200000.0	542851200000.0	1987.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon adenense	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239610	239610	Nymphon adenense Mnller 1989	['NO_DEPTH']	71	23711	28.46	36.22							
PreservedSpecimen	1627	Pantopoda - SMF	https://marineinfo.org/id/dataset/961		12.515	44.795		SMF		2005-06-03 12:22:00		urn:catalog:SMF:Pantopoda - SMF:1627:0xA527350101000300	present	Nymphon adenense	urn:lsid:marinespecies.org:taxname:239610		ef93f310-1aba-47b5-85b8-c9a97c80eaf5	97bdf279-6f78-4ed7-ad9d-27a5886f8ff2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon adenense	1	2	1065	1274	1302	1358	379601	379609	1566	134591	239610	239610	Nymphon adenense	[]	71	23711	28.46	36.22	H.-G. Mnller	76.0	76.0	http://sesam.senckenberg.de/page/index.asp?objekt_id=44904&sprache_kurz=en	adenense	Paratypus	76.0
