basisOfRecord	bibliographicCitation	catalogNumber	class	coordinateUncertaintyInMeters	country	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	footprintWKT	genus	geodeticDatum	individualCount	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	institutionCode	eventRemarks	identifiedBy	sex	coordinatePrecision	taxonRank	continent	fieldNumber	locationID	preparations	recordedBy	associatedSequences	collectionID	datasetID	institutionID	island	locationRemarks	organismID	parentNameUsageID	recordNumber	taxonID	taxonomicStatus
HumanObservation	W. C. Clark (1977) Pycnogonida from the Snares Islands (note), New Zealand Journal of Marine and Freshwater Research, 11:1, 173-177	MBIS-urn:catalog:SWPRON:MBIS:3913  Ammothea magniceps	Pycnogonida	200	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	25	-48.0217	166.606	1975-01-25	1247	Ammotheidae	POINT (166.6060 -48.0217)	Ammothea	WGS84	5	Animalia	en	Senecio Pool, south side of Boat Harbour, Snares Island	1.0	0.0	2014-09-10	1	urn:catalog:SWPRON:MBIS:3913	Shore collection	present	Pantopoda	Arthropoda	Shore collection	Ammothea magniceps	Thompson, 1884	urn:lsid:marinespecies.org:taxname:239425	magniceps	25	Pacific Ocean	1975	19e35dd5-6e1c-41f2-9ce4-d33375213417	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.5	159840000000.0	159840000000.0	159840000000.0	1975.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-51	-206	11.58	34.71																							
HumanObservation		34065	Pycnogonida					-34.3899993896	172.863296509			Ammotheidae		Ammothea			Animalia			49.0	49.0						Pantopoda	Arthropoda		Ammothea magniceps		urn:lsid:marinespecies.org:taxname:239425					1be8bb3f-c0db-4888-8e39-f0b2e4ed649b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	49.0					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps		2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	[]	34	2779	17.67	35.47	SOMBASE Pycnogonids	BAS																					
HumanObservation	Clark, W.C. (1971) Pycnogonida from the Snares Islands, New Zealand Journal of Marine and Freshwater Research, 5:2, 329-341	MBIS-urn:catalog:SWPRON:MBIS:7579  Ammothea magniceps	Pycnogonida	500	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	5	-48.0231	166.6104	1961-02-05	2495	Ammotheidae	POINT (166.6104 -48.0231)	Ammothea	WGS84	1	Animalia	en	Snares Is.	1.0	0.0	2016-08-30	2	urn:catalog:SWPRON:MBIS:7579		present	Pantopoda	Arthropoda	Shore collection	Ammothea magniceps	Thompson, 1884	urn:lsid:marinespecies.org:taxname:239425	magniceps	36	Pacific Ocean	1961	228a2d62-6fbc-4966-8b10-d3521c724533	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.5	-280972800000.0	-280972800000.0	-280972800000.0	1961.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	[]	-4	69	11.58	34.71		CU	from Lessonia holdfast	W.C. Clark	f																		
PreservedSpecimen		P.44960	Pycnogonida	10000	New Zealand			-52.533	169.2	1980-01-10		Ammotheidae	POINT (169.20000 -52.53300)	Ammothea			Animalia		Campbell Island, Smoothwater Bay, boulder beach			2017-03-02T15:50:41		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44960		present	Pantopoda	Arthropoda		Ammothea magniceps		urn:lsid:marinespecies.org:taxname:239425	magniceps				2e7045a1-db05-4262-9650-c2bf56440257	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		316310400000.0	316310400000.0	316310400000.0	1980.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps		2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	['NO_DEPTH', 'ON_LAND']	-230	-1329	7.91	34.36	co113	AM			Female	0.0896	species																
HumanObservation	W. C. Clark (1977) Pycnogonida from the Snares Islands (note), New Zealand Journal of Marine and Freshwater Research, 11:1, 173-177	MBIS-urn:catalog:SWPRON:MBIS:3904  Ammothea magniceps	Pycnogonida	200	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	9	-48.0188	166.608	1975-02-09	1240	Ammotheidae	POINT (166.6080 -48.0188)	Ammothea	WGS84	3	Animalia	en	North side of Punui Bay, Snares Island	16.0	16.0	2014-09-10	2	urn:catalog:SWPRON:MBIS:3904	Scuba diving	present	Pantopoda	Arthropoda	Scuba diving	Ammothea magniceps	Thompson, 1884	urn:lsid:marinespecies.org:taxname:239425	magniceps	40	Pacific Ocean	1975	3c45cc7c-9615-47eb-a775-7ad2d039ba35	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	16.0	161136000000.0	161136000000.0	161136000000.0	1975.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	['DEPTH_EXCEEDS_BATH']	-51	83	11.58	34.71																							
PreservedSpecimen		4859	Pycnogonida	500	New Zealand	NIWA Invertebrate Collection	27	-34.39	172.8633	27/02/1997		Ammotheidae	POINT (172.8633 -34.39)	Ammothea	WGS84		Animalia	en		49.0	49.0	8/04/2022	2	5c5d7908-fa36-11e2-96b3-aa6f927c92a3		present	Pantopoda	Arthropoda		Ammothea magniceps	Thomson, 1884	urn:lsid:marinespecies.org:taxname:239425	magniceps			1997	4d8c147f-f8ab-4f86-9bf0-ace67e2f5f9c	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	49.0					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps		2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	[]	34	2779	17.67	35.47	NIWA	NIWA Invertebrate Collection			mixed			Oceania	BG9701/36	Z8641	Specimen(s), Unknown = 3	F/V Ben Gunn											
PreservedSpecimen		P.78462	Pycnogonida	10000	New Zealand			-52.533	169.2	1980-01-12		Ammotheidae	POINT (169.20000 -52.53300)	Ammothea			Animalia		Campbell Island, Smoothwater Bay, cliffs on north-west side of first bay north-west of Boulder Beach			2017-03-02T13:00:58		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.78462		present	Pantopoda	Arthropoda		Ammothea magniceps		urn:lsid:marinespecies.org:taxname:239425	magniceps				4e50766a-deb1-47f8-8ab9-69958f5fa606	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		316483200000.0	316483200000.0	316483200000.0	1980.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps		2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	['NO_DEPTH', 'ON_LAND']	-230	-1329	7.91	34.36	co113	AM				0.0896	species																
PreservedSpecimen		P.36561	Pycnogonida	1000	Australia			-37.10333	149.92832	1985-12-19		Ammotheidae	POINT (149.92832 -37.10333)	Ammothea			Animalia		Twofold Bay, Munganno Point			2017-03-02T17:18:23		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.36561		present	Pantopoda	Arthropoda		Ammothea magniceps		urn:lsid:marinespecies.org:taxname:239425	magniceps				4f643346-213d-4b71-931e-1e5eaaabf532	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		503798400000.0	503798400000.0	503798400000.0	1985.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps		2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	['NO_DEPTH', 'ON_LAND']	-12	-10	18.0	35.56	co113	AM			Male	0.009	species																
HumanObservation	Clark, W.C. (1971) Pycnogonida from the Snares Islands, New Zealand Journal of Marine and Freshwater Research, 5:2, 329-341	MBIS-urn:catalog:SWPRON:MBIS:7578  Ammothea magniceps	Pycnogonida	500	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	5	-48.0218	166.6127	1961-02-05	2494	Ammotheidae	POINT (166.6127 -48.0218)	Ammothea	WGS84	5	Animalia	en	Snares Is.	1.0	0.0	2016-08-30	2	urn:catalog:SWPRON:MBIS:7578	2 males, 1 female, 2 juveniles	present	Pantopoda	Arthropoda	Shore collection	Ammothea magniceps	Thompson, 1884	urn:lsid:marinespecies.org:taxname:239425	magniceps	36	Pacific Ocean	1961	5632bd41-0f98-44e3-8c25-e0dfedd7393c	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.5	-280972800000.0	-280972800000.0	-280972800000.0	1961.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	[]	-4	53	11.58	34.71		CU	rock pool in Durvillea zone	W.C. Clark																			
PreservedSpecimen		S09408	Pycnogonida			Ocean Genome Legacy Collection		-57.6769981384277	-26.423999786377	2002-04-15	CE01996	Ammotheidae		Ammothea			Animalia		Montagu Island		301.0			OGL_MSC_NortheasternUniversity_S09408		present	Pantopoda	Arthropoda	ND	Ammothea magniceps	Thompson, 1884	urn:lsid:marinespecies.org:taxname:239425	magniceps		Scotia Sea		57b4e86e-b828-4640-9160-483b65db8719	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	301.0	1018828800000.0	1018828800000.0	1018828800000.0	2002.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea magniceps		2	1065	1274	1302	1358	379601	379608	1562	134569	239425	239425	Ammothea magniceps	[]	469	10161	-0.82	33.64	OGL	OGL	Contact Person: Linse, Katrin	Katrin Linse			Species			CL01677		Katrin Linse	BOLD ID: 02-651-1	0f00dede-1a1f-49e5-ae69-2bc40db635c5	OGL_MSC_NortheasternUniversity	8c116cac-9394-4c4e-be14-06184bdc62bd	Scotia Island	FAO-48	S09408	134569	02-651-1	T02130	accepted
