basisOfRecord	bibliographicCitation	catalogNumber	class	coordinateUncertaintyInMeters	country	datasetName	decimalLatitude	decimalLongitude	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	waterBody	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	eventDate	month	startDayOfYear	year	date_start	date_mid	date_end	date_year	collectionCode	datasetID	references	typeStatus
HumanObservation	W.C. Clark (1976) The genus Rhynchothorax costa (Pycnogonida) in New Zealand waters, Journal of the Royal Society of New Zealand, 6:3, 287-296, DOI: 10.1080/03036758.1976.10421476	MBIS-urn:catalog:SWPRON:MBIS:6609 Munida Station 74/202 Rhynchothorax articulatus	Pycnogonida	100	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	-45.8667	171.0167	1936	Rhynchothoracidae	Munida Station 74/202	POINT (171.0167 -45.8667)	Rhynchothorax	WGS84	1	USNM	Animalia	en	27 km ESE of Taiaroa Head, Otago Peninsula, in Papanui Canyon	500.0	500	2015-10-15	urn:catalog:SWPRON:MBIS:6609	present	Pantopoda	Arthropoda	Rhynchothorax articulatus	Stock, 1968	urn:lsid:marinespecies.org:taxname:240243	m	articulatus	Pacific Ocean	2c344491-a77d-4e0c-a211-10577c16c2c6	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	500	False	False	True	False	Biota	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax articulatus	1	2	1065	1274	1302	1358	379601	379612	22618	134596	240243	240243	Rhynchothorax articulatus	['DEPTH_EXCEEDS_BATH']	287	20615	10.96	34.43													
HumanObservation	W.C. Clark (1976) The genus Rhynchothorax costa (Pycnogonida) in New Zealand waters, Journal of the Royal Society of New Zealand, 6:3, 287-296, DOI: 10.1080/03036758.1976.10421476	MBIS-urn:catalog:SWPRON:MBIS:6610 Munida Station 74/202 Rhynchothorax articulatus	Pycnogonida	100	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	-45.8667	171.0167	1937	Rhynchothoracidae	Munida Station 74/202	POINT (171.0167 -45.8667)	Rhynchothorax	WGS84	1	USNM	Animalia	en	27 km ESE of Taiaroa Head, Otago Peninsula, in Papanui Canyon	500.0	500	2015-10-15	urn:catalog:SWPRON:MBIS:6610	present	Pantopoda	Arthropoda	Rhynchothorax articulatus	Stock, 1968	urn:lsid:marinespecies.org:taxname:240243	f	articulatus	Pacific Ocean	31fe04ad-c0ac-4a82-9c6b-326df2726d4d	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	500	False	False	True	False	Biota	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax articulatus	1	2	1065	1274	1302	1358	379601	379612	22618	134596	240243	240243	Rhynchothorax articulatus	['DEPTH_EXCEEDS_BATH']	287	20615	10.96	34.43													
HumanObservation	W.C. Clark (1976) The genus Rhynchothorax costa (Pycnogonida) in New Zealand waters, Journal of the Royal Society of New Zealand, 6:3, 287-296, DOI: 10.1080/03036758.1976.10421476	MBIS-urn:catalog:SWPRON:MBIS:6608 NZOI Stn F915 Rhynchothorax articulatus	Pycnogonida	100	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand	-34.9783	174.3	1935	Rhynchothoracidae	NZOI Stn F915	POINT (174.3 -34.9783)	Rhynchothorax	WGS84	1	USNM	Animalia	en	about 24 km NNE of Bay of Islands	265.0	251	2015-10-15	urn:catalog:SWPRON:MBIS:6608	present	Pantopoda	Arthropoda	Rhynchothorax articulatus	Stock, 1968	urn:lsid:marinespecies.org:taxname:240243	m	articulatus	Pacific Ocean	481bc14d-aaa2-4045-a9be-b999661ca9ef	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	258	False	False	True	False	Biota	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax articulatus	1	2	1065	1274	1302	1358	379601	379612	22618	134596	240243	240243	Rhynchothorax articulatus	[]	228	20590	18.25	35.54	11	1968-10-11	10	285	1968	-38620800000.0	-38620800000.0	-38620800000.0	1968.0				
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Rhynchothorax articulatus</i> Stock, 1968. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240243	sm_id_1394	Pycnogonida				-40.73	174.57		Rhynchothoracidae			Rhynchothorax			WoRMS Editorial Board	Animalia		Cook Strait		146	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1394	present	Pantopoda	Arthropoda	Rhynchothorax articulatus	Stock, 1968	urn:lsid:marinespecies.org:taxname:240243		articulatus		7931e253-816b-41a8-b5d2-7bcef709ddee	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	146	False	False	True	False	Biota	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax articulatus	1	2	1065	1274	1302	1358	379601	379612	22618	134596	240243	240243	Rhynchothorax articulatus	[]	138	29920	14.84	35.11	21	1951-12-21	12		1951	-569030400000.0	-569030400000.0	-569030400000.0	1951.0	WoRMS type localities	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=1394	holotype
