basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	day	eventDate	fieldNumber	footprintWKT	geodeticDatum	individualCount	license	month	recordedBy	references	scientificNameAuthorship	specificEpithet	taxonRank	waterBody	year	date_start	date_mid	date_end	date_year
Occurrence	Crosnier A (2003).	48288	NewCaledonia	Salomon	https://marineinfo.org/id/dataset/3128	-10.1999998092651	161.320007324219	IRD-MNHN	Salomon 1, CP1831	325.0	135.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48288:0x0211900001000000	present	Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	11575965-c632-4abc-a1cb-c54ff94b9263	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	230.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus	['DEPTH_EXCEEDS_BATH']	94	911	29.28	34.39																				
Occurrence	Bamber RN (2004). Tropical Deep Sea Benthos 23(191): 73-83.	45366	NewCaledonia	Fidji	https://marineinfo.org/id/dataset/3128	-19.0400009155273	178.470001220703	IRD-MNHN	Bordau 1, CP1484	723.0	680.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:45366:0xF873170001000100	present	Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	2690a3b5-419a-4a73-ac73-c5345111d754	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	701.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus	['DEPTH_EXCEEDS_BATH']	31	1629	26.93	34.8																				
Occurrence	Crosnier A (2003).	48287	NewCaledonia	Salomon	https://marineinfo.org/id/dataset/3128	-9.35000038146973	160.389999389648	IRD-MNHN	Salomon 1, CP1800	359.0	357.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48287:0x2D79170001000500	present	Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	28a691b2-11a7-4fb1-88f7-293b889da6f6	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	358.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus	[]	293	7838	29.29	34.36																				
PreservedSpecimen		2008-20592	IU			-17.637501	168.56517	MNHN	E Efaté			2015-06-19T21:23Z	462402562		Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	293f6e98-0ebe-4d57-838b-98e5c7852d4e	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus		2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus Hoek, P.P.C., 1881	['NO_DEPTH']	166	3916	27.35	34.74	VU	28	1994-09-28T01:00Z	MUSORSTOM 8/DW1019	POINT  (168.56517 -17.637501)	WGS84	1	CC_BY_4_0	9	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20592	Hoek, 1881	orthorhynchus	SPECIES	Pacific Ocean	1994	780710400000.0	780710400000.0	780710400000.0	1994.0
PreservedSpecimen		2008-20593	IU			-9.356667	160.398331	MNHN	N Guadalcanal			2015-06-19T21:23Z	462401956		Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	2d810a86-bfde-4970-bdeb-d65f7886dedf	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus		2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus Hoek, P.P.C., 1881	['NO_DEPTH']	331	7401	29.29	34.36	SB	1	2001-10-01T02:00Z	SALOMON 1/CP1800	POINT  (160.398331 -9.356667)	WGS84	1	CC_BY_4_0	10	Bouchet, Dayrat, Warén & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20593	Hoek, 1881	orthorhynchus	SPECIES	Pacific Ocean	2001	1001894400000.0	1001894400000.0	1001894400000.0	2001.0
Occurrence	Bamber RN (2004). Tropical Deep Sea Benthos 23(191): 73-83.	45365	NewCaledonia	Fidji	https://marineinfo.org/id/dataset/3128	-16.75	179.979995727539	IRD-MNHN	Bordau 1, CP1448	500.0	410.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:45365:0x8589170001000300	present	Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	3989db34-3c9d-4842-a927-6861fda9830b	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	455.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus	['DEPTH_EXCEEDS_BATH']	80	2970	27.54	34.77																				
Occurrence	Stock JH (1997). Musorstom 18(176): 9-124.	21576	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-20.5599994659424	164.970001220703	IRD-MNHN	Bathus 4, CP946	430.0	386.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21576:0x9A24900001000500	present	Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	3f102d25-e716-4002-8879-ee6154f23ea2	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	408.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus	[]	422	7511	26.07	34.99																				
PreservedSpecimen		2008-20594	IU			-15.640166	167.05867	MNHN	S Santo			2015-06-19T21:23Z	462403496		Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	4062c74e-c28e-4aac-b214-17a9ac8dbd0f	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus		2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus Hoek, P.P.C., 1881	['NO_DEPTH']	131	3332	28.08	34.55	VU	11	1994-10-11T01:00Z	MUSORSTOM 8/CP1131	POINT  (167.05867 -15.640166)	WGS84	1	CC_BY_4_0	10	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20594	Hoek, 1881	orthorhynchus	SPECIES	Pacific Ocean	1994	781833600000.0	781833600000.0	781833600000.0	1994.0
PreservedSpecimen		2008-20597	IU			-20.932833	165.577835	MNHN	Côte est			2015-08-25T14:39Z	462402563		Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	73bb3d69-e24e-4abd-b811-57a938215e7a	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus		2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus Hoek, P.P.C., 1881	['NO_DEPTH']	311	9272	25.89	35.01	NC	18	1993-03-18T01:00Z	BATHUS 1/CP702	POINT  (165.577835 -20.932833)	WGS84	1	CC_BY_4_0	3	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20597	Hoek, 1881	orthorhynchus	SPECIES	Pacific Ocean	1993	732412800000.0	732412800000.0	732412800000.0	1993.0
Occurrence	Bamber RN (2004). Tropical Deep Sea Benthos 23(191): 73-83.	45368	NewCaledonia	Fidji	https://marineinfo.org/id/dataset/3128	-18.6599998474121	178.490005493164	IRD-MNHN	Bordau 1, CP1501	366.0	366.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:45368:0x497A170001000000	present	Ascorhynchus orthorhynchus	urn:lsid:marinespecies.org:taxname:240239	7ffdc384-0e91-4163-80a6-33dc78caafa3	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	366.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchidae	Ascorhynchus	Ascorhynchus orthorhynchus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	240239	240239	Ascorhynchus orthorhynchus	[]	429	4832	27.07	34.76																				
