basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identifiedBy	institutionCode	kingdom	language	locality	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	eventID	eventRemarks	fieldNumber	individualCount	sex	startDayOfYear	waterBody	date_start	date_mid	date_end	date_year	superdomain	superdomainid	occurrenceRemarks
PreservedSpecimen	74219	Pycnogonida	NIWA	Oceania	100	New Zealand	NIWA Invertebrate Collection	28/08/2012	15	-43.05616667	173.547	15/05/2011	Pallenopsidae	LINESTRING (173.547 -43.05616667, 173.5435 -43.0025)	Pallenopsis	WGS84	GPS	Neill, Kate	NIWA Invertebrate Collection	Animalia	en	North Canterbury	TAN1108/39	109.0	109.0	8/04/2022	5	609baf4e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 2	Oceans Survey 20/20 - Biogenic Habitats	Trawl, Beam	Pallenopsis obliqua	(Thomson, 1884)	urn:lsid:marinespecies.org:taxname:239988	obliqua	2011	02b768b3-e7bd-4503-8917-4cdd831c45a0	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	109.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	[]	108	26619	12.61	34.44															
HumanObservation	34161	Pycnogonida	SOMBASE Pycnogonids							-41.2383003235	174.486602783		Pallenopsidae		Pallenopsis				BAS	Animalia				192.0	192.0					Pantopoda	Arthropoda				Pallenopsis obliqua		urn:lsid:marinespecies.org:taxname:239988			03605ff1-9c9b-49ae-84a6-6fbe28c8dcb6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	192.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	[]	326	10576	14.13	34.99															
HumanObservation	34166	Pycnogonida	SOMBASE Pycnogonids							-29.5765991211	168.050003052		Pallenopsidae		Pallenopsis				BAS	Animalia				90.0	86.0					Pantopoda	Arthropoda				Pallenopsis obliqua		urn:lsid:marinespecies.org:taxname:239988			080c15b3-e108-4eb4-831b-b931bfaf22f1	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	88.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	[]	193	50262	21.03	35.73															
PreservedSpecimen	68547	Pycnogonida	NIWA	Oceania	100	New Zealand	NIWA Invertebrate Collection	2009	11	-49.67046	178.757151	11/03/2009	Pallenopsidae	POINT (178.757151 -49.67046)	Pallenopsis	WGS84	GPS	Ahyong, Shane	NIWA Invertebrate Collection	Animalia	en	Ord Lees Islet, Antipodes Islands	Z15524	20.0	15.0	8/04/2022	3	5d100a64-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	DOC	Diver with SCUBA	Pallenopsis obliqua	(Thomson, 1884)	urn:lsid:marinespecies.org:taxname:239988	obliqua	2009	0a842d11-b349-4113-9fe1-5f789176d74f	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	17.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	[]	-8	19	7.75	34.2															
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:7577 CUZ Stn 3 Pallenopsis obliqua	Pycnogonida			500	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand		29	-48.0218	166.6127	1961-01-29	Pallenopsidae	POINT (166.6127 -48.0218)	Pallenopsis	WGS84		W.C. Clark	CU	Animalia	en	Snares Is.		1.0	0.0	2016-08-30	1	urn:catalog:SWPRON:MBIS:7577	present	Pantopoda	Arthropoda			Shore collection	Pallenopsis obliqua	(Thomson, 1884)	urn:lsid:marinespecies.org:taxname:239988	obliqua	1961	19e82a48-dc87-4769-b7af-c037324b9902	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	[]	-4	53	11.58	34.71	Clark, W.C. (1971) Pycnogonida from the Snares Islands, New Zealand Journal of Marine and Freshwater Research, 5:2, 329-341	2493	rock pool in Durvillea zone	CUZ Stn 3	2	f	29	Pacific Ocean	-281577600000.0	-281577600000.0	-281577600000.0	1961.0	Biota	1.0	
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:3908  Pallenopsis obliqua	Pycnogonida			200	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand		11	-48.0405	166.6203	1975-02-11	Pallenopsidae	POINT (166.6203 -48.0405)	Pallenopsis	WGS84				Animalia	en	Divers Cove, Broughton Island, Snares Island		10.0	10.0	2014-09-10	2	urn:catalog:SWPRON:MBIS:3908	present	Pantopoda	Arthropoda			Scuba diving	Pallenopsis obliqua	(Thomson, 1884)	urn:lsid:marinespecies.org:taxname:239988	obliqua	1975	20fd1f1a-644a-4643-b272-23f84bdd175a	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	10.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	[]	-5	11	11.58	34.71	W. C. Clark (1977) Pycnogonida from the Snares Islands (note), New Zealand Journal of Marine and Freshwater Research, 11:1, 173-177	1243			1	f	42	Pacific Ocean	161308800000.0	161308800000.0	161308800000.0	1975.0	Biota	1.0	Scuba diving on bryozoa on rock wall
PreservedSpecimen	7461	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection		8	-50.4417	166.625	8/10/1959	Pallenopsidae	POINT (166.625 -50.4417)	Pallenopsis	WGS84			NIWA Invertebrate Collection	Animalia	en	Auckland Island shelf	B175	95.0	95.0	8/04/2022	10	5f5861f4-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Dredge, cone	Pallenopsis obliqua	(Thomson, 1884)	urn:lsid:marinespecies.org:taxname:239988	obliqua	1959	22d00527-f189-4f10-b1b7-ba1a0818de73	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	95.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	[]	79	22176	9.18	34.42						female									
PreservedSpecimen	7458	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection		3	-40.6417	174.0167	3/11/1978	Pallenopsidae	POINT (174.0167 -40.6417)	Pallenopsis	WGS84			NIWA Invertebrate Collection	Animalia	en		Q91	215.0		8/04/2022	11	5d77db30-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI	Dredge, rock	Pallenopsis obliqua	(Thomson, 1884)	urn:lsid:marinespecies.org:taxname:239988	obliqua	1978	26f9631e-2b84-485d-a86a-11a3e568e773	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	215.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	['DEPTH_EXCEEDS_BATH']	68	2629	14.79	35.06						male									
HumanObservation	24371	Pycnogonida	SOMBASE Pycnogonids							-49.6665992737	178.883300781		Pallenopsidae		Pallenopsis				BAS	Animalia				103.0	103.0					Pantopoda	Arthropoda				Pallenopsis obliqua		urn:lsid:marinespecies.org:taxname:239988			337ac497-a3e0-4c4f-8147-ffd77fd9f13d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	103.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	[]	157	4806	7.79	34.2															
HumanObservation	34197	Pycnogonida	SOMBASE Pycnogonids							-48.3333015442	166.083297729		Pallenopsidae		Pallenopsis				BAS	Animalia										Pantopoda	Arthropoda				Pallenopsis obliqua		urn:lsid:marinespecies.org:taxname:239988			35d79276-76cb-4b0f-9d65-fb7098ffe3a9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis obliqua	2	1065	1274	1302	1358	379601	379609	236317	134593	239988	239988	Pallenopsis obliqua	['NO_DEPTH']	2014	42552	11.45	34.67															
