basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	month	preparations	scientificNameAuthorship	sex	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	24300	SOMBASE Pycnogonids	-56.3499984741	158.466598511	BAS	1693	1574	Bathypallenopsis longiseta	urn:lsid:marinespecies.org:taxname:173078	491cbc4e-7c0e-4fb7-b8f4-3ba67481e137	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1633.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis longiseta	2	1065	1274	1302	1358	379601	379609	236317	236477	239917	239917	Pallenopsis longiseta	['DEPTH_EXCEEDS_BATH']	1493	176103	3.54	33.82																		
HumanObservation	24299	SOMBASE Pycnogonids	-56.4916000366	-28.0182991028	BAS	2402	2384	Bathypallenopsis longiseta	urn:lsid:marinespecies.org:taxname:173078	78b8bc53-93d3-4076-90d6-af1ebd122d55	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2393.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis longiseta	2	1065	1274	1302	1358	379601	379609	236317	236477	239917	239917	Pallenopsis longiseta	[]	2468	20128	-0.44	33.62																		
HumanObservation	24301	SOMBASE Pycnogonids	-60.0666007996	-35.9832992554	BAS	2068	1976	Bathypallenopsis longiseta	urn:lsid:marinespecies.org:taxname:173078	a84af888-7db6-4d9a-9e4b-03fbfc5dc399	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2022.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis longiseta	2	1065	1274	1302	1358	379601	379609	236317	236477	239917	239917	Pallenopsis longiseta	[]	2001	463403	-0.92	33.62																		
PreservedSpecimen	32154.252924	Invertebrate Zoology: Crustacea	6.28299999237	-82.0830001831	USNM	3058	3058	Bathypallenopsis longiseta	urn:lsid:marinespecies.org:taxname:173078	e9b582a9-28a9-4a9b-afd8-897d0342a47c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3058.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis longiseta	2	1065	1274	1302	1358	379601	379609	236317	236477	239917	239917	Pallenopsis longiseta	[]	2968	107016	28.11	31.97	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Panama	24	observedindividualcount=1;	1891-02-24T12:00:00Z	Stock, Jan H.	1.0	2	Alcohol (Ethanol)	Turpaeva	male	North Pacific Ocean	1891	-2488320000000.0	-2488320000000.0	-2488320000000.0	1891.0
