basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedSequences	collectionID	continent	country	countryCode	datasetID	datasetName	eventDate	eventID	eventRemarks	identifiedBy	institutionID	island	islandGroup	locality	locationID	occurrenceID	occurrenceStatus	organismID	parentNameUsageID	recordNumber	recordedBy	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonID	taxonRank	taxonomicStatus	waterBody	date_start	date_mid	date_end	date_year	associatedReferences	bibliographicCitation	day	dynamicProperties	individualCount	month	preparations	sex	year
HumanObservation	23815	SOMBASE Pycnogonids	-51.2832984924	73.0166015625	BAS	280.0	280	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	00b63e7f-41e1-4c0c-9e1d-118d4465edea	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	280.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	[]	280	183868	2.66	33.82																																										
PreservedSpecimen	S09445	OGL	-58.2669982910156	-24.8959999084473	OGL		2962	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	00d597eb-1a28-471a-8801-8622f54a412e	9d629feb-ba03-4a83-908c-794d94d30531	['b7c47783-a020-4173-b390-7b57c4fa1426']	2962.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	['DEPTH_EXCEEDS_BATH']	2539	82279	-0.72	33.65	BOLD ID: 02-353-2	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Antarctica	Antarctica	AQ	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	2002-03-21	CE01888	Contact Person: Linse, Katrin	Katrin Linse	8c116cac-9394-4c4e-be14-06184bdc62bd	Saunders Island	South Sandwich Islands	PS61-140-7	CL01680	OGL_MSC_NortheasternUniversity_S09445	present	S09445	134586	02-353-2	Katrin Linse	ND	Gordon, 1932	tortipalpis	T02257	Species	accepted	Scotia Sea	1016668800000.0	1016668800000.0	1016668800000.0	2002.0									
HumanObservation	23788	SOMBASE Pycnogonids	-63.4500007629	-62.6166000366	BAS	253.0	156	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	01bcea88-ab6d-4dcd-8456-39a3b00e4840	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	204.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	['DEPTH_EXCEEDS_BATH']	158	19971	-0.37	33.61																																										
HumanObservation	40011	SOMBASE Pycnogonids	-52.5	74.9000015259	BAS	230.0	230	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	026d8429-8bb7-41b0-ba44-4747b3150a53	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	230.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	[]	230	96231	2.15	33.79																																										
HumanObservation	40009	SOMBASE Pycnogonids	-52.7000007629	74.5333023071	BAS	200.0	200	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	02a43576-4459-4b61-b2b4-8fa5ad140878	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	200.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	[]	175	63003	2.19	33.79																																										
HumanObservation	37651	SOMBASE Pycnogonids	-65.5665969849	135.983306885	BAS	320.0	320	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	08fd5fe9-4c55-4200-bc0b-a1b235be578e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	320.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	[]	470	63251	-1.75	33.77																																										
HumanObservation	37627	SOMBASE Pycnogonids	-61.3065986633	-54.1916007996	BAS	275.0	180	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	0ad099e7-dacb-43d8-9dee-64812078b205	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	227.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	['DEPTH_EXCEEDS_BATH']	7	850	-0.67	34.05																																										
PreservedSpecimen	141993.285535	Invertebrate Zoology: Crustacea	-73.0920028687	174.033004761	USNM	343.0	339	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	0b4a83c4-1238-4de2-95ac-4b8f05eedd90	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	341.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	[]	338	133670	-1.54	34.14				Antarctica				1968-01-12T12:00:00Z			Hedgpeth, J. W.													Gordon					Antarctic Ocean	-62208000000.0	-62208000000.0	-62208000000.0	1968.0	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	12	observedindividualcount=1;	1.0	1	Alcohol (Ethanol)	male	1968
HumanObservation	23801	SOMBASE Pycnogonids	-73.3165969849	-174.883300781	BAS	2907.0	2897	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	0b81635d-9049-4186-9d98-7d6bae05452d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2902.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	[]	2961	480246	-1.68	34.0																																										
HumanObservation	40007	SOMBASE Pycnogonids	-52.7165985107	75.1333007812	BAS	380.0	380	Colossendeis tortipalpis	urn:lsid:marinespecies.org:taxname:173222	14ecaff7-cdb2-4478-b01b-586495103be5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	380.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis tortipalpis	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173222	173222	Colossendeis tortipalpis	[]	343	94698	2.07	33.79																																										
