basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	eventDate	footprintWKT	locality	modified	occurrenceID	occurrenceStatus	sex	specificEpithet	taxonRank	date_start	date_mid	date_end	date_year	associatedReferences	bibliographicCitation	country	day	dynamicProperties	identifiedBy	individualCount	month	preparations	scientificNameAuthorship	waterBody	year	datasetName	eventID	fieldNumber	geodeticDatum	language	occurrenceRemarks	samplingProtocol	startDayOfYear
HumanObservation	22111	SOMBASE Pycnogonids	-63.4000015259	-62.2332992554	BAS	95.0	91.0	Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	0c443a84-ae10-4986-9967-08707faf7e72	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	93.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	[]	79	4275	-0.38	33.7																																		
HumanObservation	22108	SOMBASE Pycnogonids	-76.0	-176.800003052	BAS	569.0	566.0	Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	0cf8e8be-0af7-47b3-80b1-dd40b8e67bde	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	567.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	[]	578	201259	-1.63	34.07																																		
PreservedSpecimen	P.11129	co113	-67.0	142.6	AM			Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	24f0e6fe-1cf1-4d2d-9d18-065d46c0b179	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	['NO_DEPTH']	49	2017	-1.67	33.96	10000	1912-09-03	POINT (142.60000 -67.00000)	Adelie Land, Commonwealth Bay	2017-03-02T11:18:51	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11129	present	Male	polaris	species	-1809129600000.0	-1809129600000.0	-1809129600000.0	1912.0																				
HumanObservation	34215	SOMBASE Pycnogonids	-66.5	139.0	BAS	250.0	0.0	Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	280efc3b-8df8-4cb5-a5c5-aab460b7cae3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	125.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	[]	283	7011	-1.68	33.95																																		
HumanObservation	22107	SOMBASE Pycnogonids	-73.9832992554	170.683303833	BAS	617.0	600.0	Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	4aa93fc9-381e-4deb-9747-afb53e94bdf9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	608.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	[]	635	46992	-1.64	34.08																																		
PreservedSpecimen	122317.284859	Invertebrate Zoology: Crustacea	-71.4583282471	169.925003052	USNM	439.0	439.0	Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	59e30d35-c110-48af-a0a4-ec04cf1cfd91	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	439.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	['DEPTH_EXCEEDS_BATH']	280	7038	-1.69	33.9		1959-01-23T12:00:00Z		Victoria Land, Cape Adare, Robertson Bay				male			-345254400000.0	-345254400000.0	-345254400000.0	1959.0	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	23	observedindividualcount=1;	Fry, W. G., Hedgpeth, J. W.	1.0	1	Alcohol (Ethanol)	Hodgson	Antarctic Ocean	1959								
HumanObservation	37614	SOMBASE Pycnogonids	-62.9132995605	-61.4966011047	BAS	115.0	115.0	Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	633f3d25-a376-4fc4-a094-d447f999589a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	115.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	[]	129	6726	-0.35	33.81																																		
HumanObservation	TN Stn. 220 Austroraptus polaris	MBIS Terra Nova Expedition	-71.3083	170.1	TN	92.0	82.0	Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	67917761-8b9a-43f1-9c2e-94d88de1a4e6	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	87.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	[]	82	3952	-1.68	34.01	500	1912-01-03	POINT (170.1000 -71.3083)	off Cape Adare, mouth of Robertson's Bay	2014-08-10	urn:NIWA:TerraNovaExp:445	present	young	polaris		-1830211200000.0	-1830211200000.0	-1830211200000.0	1912.0		Austroraptus polaris (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:445)		3	SurfaceTemperatureInC=-0.5		1	1		Hodgson, 1907	Southern Ocean	1912	British Antarctic (Terra Nova) Expedition Zoology	220	Stn. 220	WGS84	en	SurfaceTemperatureInC=-0.5. GearType=Agassiz trawl	GearType=Agassiz trawl	3
HumanObservation	34466	SOMBASE Pycnogonids	-71.2833023071	170.233306885	BAS	91.0	91.0	Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	6ba6ea42-a7e6-4719-af23-d6616d70b9d5	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	91.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	[]	61	752	-1.68	34.02																																		
HumanObservation	TN Stn. 220 Austroraptus polaris	MBIS Terra Nova Expedition	-71.3083	170.1	TN	92.0	82.0	Austroraptus polaris	urn:lsid:marinespecies.org:taxname:172965	8b1c04b0-5365-411f-a160-a507c35b7a08	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	87.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Austroraptus	Austroraptus polaris	2	1065	1274	1302	1358	379601	379608	1562	172959	172965	172965	Austroraptus polaris	[]	82	3952	-1.68	34.01	500	1912-01-03	POINT (170.1000 -71.3083)	off Cape Adare, mouth of Robertson's Bay	2014-08-10	urn:NIWA:TerraNovaExp:444	present	f	polaris		-1830211200000.0	-1830211200000.0	-1830211200000.0	1912.0		Austroraptus polaris (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:444)		3	SurfaceTemperatureInC=-0.5		1	1		Hodgson, 1907	Southern Ocean	1912	British Antarctic (Terra Nova) Expedition Zoology	220	Stn. 220	WGS84	en	SurfaceTemperatureInC=-0.5. GearType=Agassiz trawl	GearType=Agassiz trawl	3
