basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	individualCount	language	month	occurrenceRemarks	samplingProtocol	startDayOfYear	waterBody	year	date_start	date_mid	date_end	date_year
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea tetrapora</i> Gordon, 1932. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172944	sm_id_680	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-52.0	-62.67	Ammotheidae	Ammothea	WoRMS Editorial Board	Animalia	Atlantic Ocean	247	253	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_680	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=680	Ammothea tetrapora	Gordon, 1932	urn:lsid:marinespecies.org:taxname:172944	tetrapora	holotype	000d23f5-30b0-4a53-a990-8ce004dc1649	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	250.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea tetrapora	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	172944	172944	Ammothea tetrapora	['MIN_DEPTH_EXCEEDS_MAX']	228	92539	7.02	34.02																				
HumanObservation		34696	Pycnogonida	SOMBASE Pycnogonids		-52.0	-62.6666984558	Ammotheidae	Ammothea	BAS	Animalia		253	247				Pantopoda	Arthropoda		Ammothea tetrapora		urn:lsid:marinespecies.org:taxname:172944			272aa28d-f7cf-4fd0-acfa-999adf6cdd67	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea tetrapora		2	1065	1274	1302	1358	379601	379608	1562	134569	172944	172944	Ammothea tetrapora	[]	228	92317	7.02	34.02																				
HumanObservation		Stn WS 244 Ammothea tetrapora	Pycnogonida	Discovery Reports		-52.0	-62.6667	Ammotheidae	Ammothea	NIWA	Animalia		253	247	2019-03-15	5485	present	Pantopoda	Arthropoda		Ammothea tetrapora	Gordon, 1932	urn:lsid:marinespecies.org:taxname:172944	tetrapora		425ef07b-8c5e-433b-ba1f-d1fab80db7b8	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	250.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea tetrapora		2	1065	1274	1302	1358	379601	379608	1562	134569	172944	172944	Ammothea tetrapora	[]	228	92318	7.02	34.02	500	Discovery Expedition Biological Reports	18	1928-07-18	84	Stn WS 244	POINT (-62.6667 -52)	WGS84	2	en	7	Commercial otter trawl: Head rope 24.5m; mesh at cod-end 3.8cm	Commercial otter trawl: Head rope 24.5 m; mesh at cod-end 3.8cm	200	Atlantic Ocean	1928	-1308268800000.0	-1308268800000.0	-1308268800000.0	1928.0
HumanObservation		37420	Pycnogonida	SOMBASE Pycnogonids		-48.2332992554	-60.8166007996	Ammotheidae	Ammothea	BAS	Animalia		303	280				Pantopoda	Arthropoda		Ammothea tetrapora		urn:lsid:marinespecies.org:taxname:172944			68d6702f-64f3-4ab8-b274-335aa671167f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	291.5	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea tetrapora		2	1065	1274	1302	1358	379601	379608	1562	134569	172944	172944	Ammothea tetrapora	[]	301	309724	8.18	34.07																				
HumanObservation		Stn 51 Ammothea tetrapora	Pycnogonida	Discovery Reports		-51.1244	-58.8822	Ammotheidae	Ammothea	NIWA	Animalia	Off Eddystone Rock, East Falkland Islands. From 7 miles N 50° E to 7.6 miles N 63° E of Eddystone Rock	115	105	2019-03-15	5484	present	Pantopoda	Arthropoda		Ammothea tetrapora	Gordon, 1932	urn:lsid:marinespecies.org:taxname:172944	tetrapora		8fcbeac5-3667-48bc-9dae-c7b3b9cffa36	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	110.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea tetrapora		2	1065	1274	1302	1358	379601	379608	1562	134569	172944	172944	Ammothea tetrapora	[]	138	13480	7.23	34.06	1000	Discovery Expedition Biological Reports	4	1926-05-04	45	Stn 51	LINESTRING (-58.8915 -51.125, -58.8728 -51.1237)	WGS84	4	en	5	Large otter trawl, large dredge, and net with 4mm mesh attached to back of trawl. From kelp root.	Large otter trawl, large dredge, and net with 4mm mesh attached to back of trawl	124	Atlantic Ocean	1926	-1377907200000.0	-1377907200000.0	-1377907200000.0	1926.0
HumanObservation		34695	Pycnogonida	SOMBASE Pycnogonids		-51.1888999939	-59.0499992371	Ammotheidae	Ammothea	BAS	Animalia		115	105				Pantopoda	Arthropoda		Ammothea tetrapora		urn:lsid:marinespecies.org:taxname:172944			ac08ac8a-74dd-49db-869f-8bd563b8b83e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	110.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea tetrapora		2	1065	1274	1302	1358	379601	379608	1562	134569	172944	172944	Ammothea tetrapora	['DEPTH_EXCEEDS_BATH']	30	218	7.19	34.06																				
HumanObservation		37791	Pycnogonida	SOMBASE Pycnogonids		-55.1650009155	-34.6300010681	Ammotheidae	Ammothea	BAS	Animalia		200	125				Pantopoda	Arthropoda		Ammothea tetrapora		urn:lsid:marinespecies.org:taxname:172944			dac279e2-f532-4a35-90da-5bfe0da6572e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	162.5	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea tetrapora		2	1065	1274	1302	1358	379601	379608	1562	134569	172944	172944	Ammothea tetrapora	[]	152	16805	1.3	33.79																				
