basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	scientificName	scientificNameID	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	country	fieldNumber	individualCount	month	occurrenceID	occurrenceRemarks	waterBody	year
HumanObservation	37237	SOMBASE Pycnogonids	-35.4500007629	23.4899997711	BAS	Hannonia typica	urn:lsid:marinespecies.org:taxname:240420	346de075-3ce8-4b1e-b992-7ea18ef6331c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Hannonia	Hannonia typica	2	1065	1274	1302	1358	379601	379608	379616	134582	240420	240420	Hannonia typica	['NO_DEPTH']	1798	149036	21.47	35.43									
HumanObservation	DBMN Base 2005 1055	benthic macrofauna	-27.229683	15.229633	DBMN	Hannonia typica	urn:lsid:marinespecies.org:taxname:240420	753e27b6-1c04-4dd1-946c-72f28ca660dd	2c30e8ee-3068-437c-bf94-499e06cdd4e4	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ascorhynchoidea incertae sedis	Hannonia	Hannonia typica	2	1065	1274	1302	1358	379601	379608	379616	134582	240420	240420	Hannonia typica	['NO_DEPTH']	81	3482	14.64	34.97	Africa	Namibia	Pomona Dredge 1.8	1	11	DBMN Base 2005 1055	sampleSizeInGPer0.2m^2=0.0588	Namaqua	2005
