basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	eventDate	eventID	habitat	identificationRemarks	identificationVerificationStatus	identifiedBy	occurrenceRemarks	verbatimIdentification	date_start	date_mid	date_end	date_year	bibliographicCitation	country
PreservedSpecimen	2008-20606	Pycnogonida	IU	NC	-24.91415	168.366577	Ammotheidae	BIOCAL/DW66	POINT  (168.366577 -24.91415)	Cilunculus	WGS84	1	MNHN	Animalia	CC_BY_4_0	Mont sous-marin Éponge	2015-06-19T21:23Z	462403498	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20606	Cilunculus frontosus	Loman, 1908	urn:lsid:marinespecies.org:taxname:240230	frontosus	SPECIES	Pacific Ocean	4e281c8f-3a11-4f15-b86a-e2387643e402	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus frontosus	2	1065	1274	1302	1358	379601	379608	1562	134572	240230	240230	Cilunculus frontosus Loman, J.C.C., 1908	['NO_DEPTH']	537	252613	23.73	35.45																					
Occurrence		Pycnogonida	NewCaledonia		-24.9200000762939	168.360000610352	Ammotheidae			Cilunculus			IRD-MNHN	Animalia		Norfolk, Mt. Eponge (Biocal, DW66)	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0xA51A900001000C00	Pantopoda	Arthropoda			Cilunculus frontosus		urn:lsid:marinespecies.org:taxname:240230				88e24f0f-4bf5-4fd9-ae02-d5f2b84533b4	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus frontosus	2	1065	1274	1302	1358	379601	379608	1562	134572	240230	240230	Cilunculus frontosus	[]	495	253016	23.7	35.46	https://marineinfo.org/id/dataset/3128	515.0	505.0	present	510.0	Biota	1.0														
PreservedSpecimen	17445	Pycnogonida	SeamountsOnline		-24.92	168.36	Ammotheidae	Station DW 66		Cilunculus			SCSD	Animalia		Sponge Seamount		SeamountsOnline_urn:lsid:marinespecies.org:taxname:240230_17445	Pantopoda	Arthropoda		Richer de Forges, B. 2001 Electronic Database of ORSTOM Sampling on the Norfolk Ridge NA	Cilunculus frontosus	Loman, 1908	urn:lsid:marinespecies.org:taxname:240230				9b2c764a-0b23-406d-a4ed-2a6c539850be	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus frontosus	2	1065	1274	1302	1358	379601	379608	1562	134572	240230	240230	Cilunculus frontosus	[]	495	253016	23.7	35.46		515.0	505.0	present	510.0	Biota	1.0	1985-09-03	SCSD_SeamountsOnline_Sponge_Seamount_534290	benthic/near bottom	WoRMS Match Type: exact	Validated	NA	NA | NA	Cilunculus frontosus	494553600000.0	494553600000.0	494553600000.0	1985.0		
Occurrence	150	Pycnogonida	NewCaledonia		-24.9200000762939	168.360000610352	Ammotheidae			Cilunculus			IRD-MNHN	Animalia		Biocal, DW66	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:150:0x017E170001000500	Pantopoda	Arthropoda			Cilunculus frontosus		urn:lsid:marinespecies.org:taxname:240230				b24de5eb-cb42-479a-b967-8ac003fcdc24	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus frontosus	2	1065	1274	1302	1358	379601	379608	1562	134572	240230	240230	Cilunculus frontosus	[]	495	253016	23.7	35.46	https://marineinfo.org/id/dataset/3128	515.0	505.0	present	510.0	Biota	1.0													Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie
