basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Austrodecus sinuatum</i> Stock, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239828	sm_id_836	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	3	-50.85	166.07	1914-12-03	Austrodecidae	Austrodecus	WoRMS Editorial Board	Animalia	Pacific Ocean	2007-06-20 15:52:33	12	WoRMS Editorial Board:WoRMS type localities:sm_id_836	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=836	Austrodecus sinuatum	Stock, 1957	urn:lsid:marinespecies.org:taxname:239828	sinuatum	holotype	1914	58940bca-5d24-4629-b0d2-6f5a6f579dcb	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-1738195200000.0	-1738195200000.0	-1738195200000.0	1914.0	False	False	True	False	Biota	Chelicerata	Stiripasterida	Austrodecus sinuatum	1.0	2	1065	1274	1302	1358	379600	22616	134579	239828	239828	Austrodecus sinuatum	['NO_DEPTH']	-85	38	9.14	34.43
HumanObservation		34196	Pycnogonida	SOMBASE Pycnogonids			-51.0	166.0		Austrodecidae	Austrodecus	BAS	Animalia						Pantopoda	Arthropoda		Austrodecus sinuatum		urn:lsid:marinespecies.org:taxname:239828				7720aa8c-ebe7-49ed-ac19-851007e81a61	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Chelicerata	Stiripasterida	Austrodecus sinuatum		2	1065	1274	1302	1358	379600	22616	134579	239828	239828	Austrodecus sinuatum	['NO_DEPTH']	211	9377	9.08	34.43
