basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	identifiedBy	institutionCode	kingdom	lifeStage	modified	month	occurrenceID	occurrenceStatus	order	otherCatalogNumbers	phylum	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	locality	locationID	eventID	footprintWKT	geodeticDatum	individualCount	language	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	samplingProtocol	startDayOfYear	waterBody	depth
PreservedSpecimen	INV.69128	Pycnogonida	urn:catalog:RBINS:Pycnogonida	1000.0	Angola	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	10	-13.083333	12.766667	1949-05-10	Nymphonidae	16808/st193	Nymphon	Stock Jan Hendrik	RBINS-Scientific Heritage	Animalia	unknown	2015-09-24 14:25:29	5	http://collections.naturalsciences.be/specimen/393168	present	Pantopoda	urn:catalog:RBINS:IG:16808	Arthropoda	container type: vial; preservation method: alcohol	Nymphon angolense	Gordon, 1932	urn:lsid:marinespecies.org:taxname:239962	unknown	angolense	specimen	1949	259f309d-d736-4245-b368-19d559ccb173	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-651542400000	-651542400000	-651542400000	1949	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon angolense	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239962	239962	Nymphon angolense Gordon, 1932	['NO_DEPTH']	82	8300	23.95	35.49														
PreservedSpecimen	INV.69127	Pycnogonida	urn:catalog:RBINS:Pycnogonida	1000.0	Angola	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	27	-16.6	11.45	1949-01-27	Nymphonidae	16808/st110	Nymphon	Stock Jan Hendrik	RBINS-Scientific Heritage	Animalia	unknown	2015-09-24 14:25:57	1	http://collections.naturalsciences.be/specimen/458864	present	Pantopoda	urn:catalog:RBINS:IG:16808	Arthropoda	container type: vial; preservation method: alcohol	Nymphon angolense	Gordon, 1932	urn:lsid:marinespecies.org:taxname:239962	unknown	angolense	specimen	1949	54f8185a-ab35-4979-a561-af4d72684ac9	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-660441600000	-660441600000	-660441600000	1949	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon angolense	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	239962	239962	Nymphon angolense Gordon, 1932	['NO_DEPTH']	105	23847	19.29	35.84	Baía dos Tigres	http://www.geonames.org/3345811												
HumanObservation	Stn 272 Nymphon angolense	Pycnogonida	Discovery Reports	500	Angola		Discovery Expedition Biological Reports	30	-13.1729	-12.7563	1927-07-30	Nymphonidae	Stn 272	Nymphon		NIWA	Animalia		2019-03-15	7	5416	present	Pantopoda		Arthropoda		Nymphon angolense	Gordon, 1932	urn:lsid:marinespecies.org:taxname:239962		angolense		1927	6af68d96-1950-44fc-aeb7-67cba979e665	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	-1338854400000	-1338854400000	-1338854400000	1927	False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon angolense		2	1065	1274	1302	1358	379601	379609	1566	134591	239962	239962	Nymphon angolense	[]	3110	602491	24.47	36.65	Off Elephant Bay, Angola		159	LINESTRING (-12.7458333333333 -13.1833333333333, -12.7666666666667 -13.1625)	WGS84	30	en	97.0	73.0	Large otter trawl	Large otter trawl	211	Atlantic Ocean	85.0
