basisOfRecord	catalogNumber	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	occurrenceID	occurrenceStatus	ownerInstitutionCode	references	scientificName	scientificNameID	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	typeStatus	superdomain	superdomainid	bibliographicCitation	collectionCode	datasetID	day	modified	month	scientificNameAuthorship	specificEpithet	year
HumanObservation	123126	-6.8333335	39.283333	1979	CMLRE	Aldabra Atoll	11525	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar	Anoplodactylus ophiurophilus	urn:lsid:marinespecies.org:taxname:214684	318edae9-033b-4d16-98bd-7f77a24f2e2f	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	283996800000.0	299721600000.0	315446400000.0	1979.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ophiurophilus	2	1065	1274	1302	1358	379601	379610	14469	134592	214684	214684	Anoplodactylus ophiurophilus	['NO_DEPTH', 'ON_LAND']	-14	-614														
HumanObservation	123126	-5.0333333	55.75	1979	CMLRE	Seychelles	11527	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar	Anoplodactylus ophiurophilus	urn:lsid:marinespecies.org:taxname:214684	4e5c3935-b727-4063-b091-227ceb8df9a4	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	283996800000.0	299721600000.0	315446400000.0	1979.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ophiurophilus	2	1065	1274	1302	1358	379601	379610	14469	134592	214684	214684	Anoplodactylus ophiurophilus	['NO_DEPTH']	51	34544	28.02	35.23												
HumanObservation	123126	-5.03333330154	55.75			Seychelles					Anoplodactylus ophiurophilus	urn:lsid:marinespecies.org:taxname:214684	4f7e38ac-302f-43af-b2d7-846a9acc7200	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ophiurophilus	2	1065	1274	1302	1358	379601	379610	14469	134592	214684	214684	Anoplodactylus ophiurophilus	['NO_DEPTH']	51	34544	28.02	35.23	Accepted	Biota	1.0									
HumanObservation	123126	-5.03333330154	55.75			Seychelles					Anoplodactylus ophiurophilus	urn:lsid:marinespecies.org:taxname:214684	5b52bf89-3c4c-4ca8-a516-c02327ef7124	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ophiurophilus	2	1065	1274	1302	1358	379601	379610	14469	134592	214684	214684	Anoplodactylus ophiurophilus	['NO_DEPTH']	51	34544	28.02	35.23	Accepted	Biota	1.0									
HumanObservation	123126	-6.83333349228	39.2833328247			Aldabra Atoll					Anoplodactylus ophiurophilus	urn:lsid:marinespecies.org:taxname:214684	73ad372f-d6d9-45e4-bded-7de227e27f05	d0d2a510-ba24-487b-80ca-afc86922cb1c	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ophiurophilus	2	1065	1274	1302	1358	379601	379610	14469	134592	214684	214684	Anoplodactylus ophiurophilus	['NO_DEPTH', 'ON_LAND']	-14	-614			Accepted	Biota	1.0									
PreservedSpecimen	sm_id_1628	-9.4	46.33	1978-02-25	WoRMS Editorial Board	Indian Ocean	WoRMS Editorial Board:WoRMS type localities:sm_id_1628	present		http://www.marinespecies.org/aphia.php?p=specdetails&id=1628	Anoplodactylus ophiurophilus	urn:lsid:marinespecies.org:taxname:214684	b3ea7a47-85f9-46ac-beb7-44be610e6f7b	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	257212800000.0	257212800000.0	257212800000.0	1978.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ophiurophilus	2	1065	1274	1302	1358	379601	379610	14469	134592	214684	214684	Anoplodactylus ophiurophilus	['NO_DEPTH']	1097	1860	27.12	35.08	holotype	Biota	1.0	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus ophiurophilus</i> Stock, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=214684	WoRMS type localities	https://marineinfo.org/id/dataset/5184	25	2007-06-20 15:52:33	2	Stock, 1979	ophiurophilus	1978
HumanObservation	123126	-5.0333333	55.75	1979	CMLRE	Seychelles	11526	present	NIO	This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar	Anoplodactylus ophiurophilus	urn:lsid:marinespecies.org:taxname:214684	f1f75b44-1bfe-4fb4-bd26-d3c965ba068a	248d4349-7c65-4291-b849-57127a20aec8	['1a3b0f1a-4474-4d73-9ee1-d28f92a83996']	283996800000.0	299721600000.0	315446400000.0	1979.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus ophiurophilus	2	1065	1274	1302	1358	379601	379610	14469	134592	214684	214684	Anoplodactylus ophiurophilus	['NO_DEPTH']	51	34544	28.02	35.23												
