basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	countryCode	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	individualCount	license	recordedBy	references	specificEpithet	taxonRank	waterBody	country	maximumDepthInMeters	coordinatePrecision	coordinateUncertaintyInMeters	sex	day	month	verbatimLocality
HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_8999	Deep-sea Fauna of European Seas: Pycnogonida	https://marineinfo.org/id/dataset/5146	39.63	-67.95	1965/1965	P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Chain”, St. 76(HH)	2862.0	2016-03-24 10:26:12	Deepsea_Pycnogonida_8999	present	Bathypallenopsis tydemani	Loman, 1908	urn:lsid:marinespecies.org:taxname:134740	1965	39cda22a-0f49-464f-a95c-ab7bd831ac22	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2862.0	-157766400000.0	-142041600000.0	-126316800000.0	1965.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Pallenopsis (Bathypallenopsis) tydemani	[]	2947	248291	18.52	35.3																				
PreservedSpecimen		2008-20497	IU		-9.668333	160.748337		MNHN	Kaoka Bay		2015-06-19T21:23Z	462401288		Bathypallenopsis tydemani	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:240299		80b9c4b5-4935-45d2-8155-29bb5dee72cc	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']						False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani		2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Bathypallenopsis tydemani (Loman, 1908)	['NO_DEPTH']	619	5729	29.31	34.36	SB	SALOMONBOA 3/CP2858	POINT  (160.748337 -9.668333)	WGS84	Bamber R.	1	CC_BY_4_0	Richer & Boisselier rec.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20497	tydemani	SPECIES	Pacific Ocean								
Occurrence	Stock JH (1994). Beaufortia 44(3): 17-78.	49191	NewCaledonia	https://marineinfo.org/id/dataset/3128	-8.35000038146973	131.710006713867		IRD-MNHN	Karubar, CP54	836.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:49191:0x7EFB8F0001000600	present	Bathypallenopsis tydemani		urn:lsid:marinespecies.org:taxname:134740		84174cf7-5591-4791-a24e-309245c071b9	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	852.5					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Pallenopsis tydemani	[]	864	56822	28.22	34.06													Indonesie	869.0						
Occurrence	Stock JH (1991). Musorstom 8(151): 213-228.	38240	NewCaledonia	https://marineinfo.org/id/dataset/3128	13.7799997329712	123.5		IRD-MNHN	Musorstom 3, CP106	640.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:38240:0x2BFF8F0001000000	present	Bathypallenopsis tydemani		urn:lsid:marinespecies.org:taxname:134740		9ebed628-f9cd-4695-ba7a-f7f64fdd4eea	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	654.0					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Pallenopsis tydemani	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-325	-7666															Philippines	668.0						
PreservedSpecimen		2007-4740	IU		-7.821667	157.686996		MNHN	NW Isabel		2015-06-19T21:23Z	440004768		Bathypallenopsis tydemani	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:240299		a4579044-ce5b-4ca0-b1b4-3fe6e0743bdf	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']						False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani		2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Bathypallenopsis tydemani (Loman, 1908)	['NO_DEPTH']	1121	23765	29.47	34.38	SB	SALOMON 2/CP2217	POINT  (157.686996 -7.821667)	WGS84	Bamber R.	4	CC_BY_4_0	Bouchet, Warén & Samadi-IRD	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4740	tydemani	SPECIES	Pacific Ocean								
PreservedSpecimen		P.43758	co113		-29.45016	160.13766	1989-05-04	AM	Lord Howe Rise		2017-03-02T16:14:54	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43758	present	Bathypallenopsis tydemani		urn:lsid:marinespecies.org:taxname:240299		a61831f0-a947-4ab4-8be7-9ace63443fc6	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		610243200000.0	610243200000.0	610243200000.0	1989.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani		2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Bathypallenopsis tydemani	['NO_DEPTH']	1858	248430	22.05	35.67			POINT (160.13766 -29.45016)							tydemani	species				0.8961	100000	Female			
Occurrence	Stock JH (1997). Musorstom 18(176): 271-335.	43760	NewCaledonia	https://marineinfo.org/id/dataset/3128	-8.72999954223633	131.080001831055		IRD-MNHN	Karubar, CP91	884.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:43760:0x6205900001000600	present	Bathypallenopsis tydemani		urn:lsid:marinespecies.org:taxname:134740		ad79126b-b8a6-40bb-ab7d-57483691f644	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	887.5					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani	1.0	2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Pallenopsis tydemani	[]	895	51954	28.25	34.08													Indonesie	891.0						
PreservedSpecimen		2007-4741	IU		-7.487167	156.278		MNHN			2015-07-30T20:25Z	439995578		Bathypallenopsis tydemani	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:240299		d0fa0ca7-03d5-43cb-aa1f-b7f8f7ac0eaf	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']						False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani		2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Bathypallenopsis tydemani (Loman, 1908)	['NO_DEPTH']	960	29098	29.5	34.44	SB	SALOMON 2/CP2250	POINT  (156.278 -7.487167)	WGS84	Bamber R.	1	CC_BY_4_0	Bouchet, Warén & Samadi-IRD	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4741	tydemani	SPECIES	Pacific Ocean								
PreservedSpecimen		2008-20496	IU		-10.350166	161.918671		MNHN	N San Cristobal		2015-06-19T21:23Z	462402994		Bathypallenopsis tydemani	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:240299		e690fd32-501d-4655-a285-200fc75a8e62	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']						False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani		2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Bathypallenopsis tydemani (Loman, 1908)	['NO_DEPTH']	737	10071	29.16	34.39	SB	SALOMONBOA 3/CP2822	POINT  (161.918671 -10.350166)	WGS84	Bamber R.	1	CC_BY_4_0	Richer & Boisselier rec.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20496	tydemani	SPECIES	Pacific Ocean								
PreservedSpecimen		2008-20551	IU		-15.981	166.630341	1994-10-10T01:00Z	MNHN	SE Santo		2015-06-19T21:23Z	462403514		Bathypallenopsis tydemani	(Loman, 1908)	urn:lsid:marinespecies.org:taxname:240299	1994	eb8969ee-1915-4562-9d29-4a4e7a8f4df6	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		781747200000.0	781747200000.0	781747200000.0	1994.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Bathypallenopsis	Bathypallenopsis tydemani		2	1065	1274	1302	1358	379601	379609	236317	236477	240299	240299	Bathypallenopsis tydemani (Loman, 1908)	['NO_DEPTH']	1062	39762	28.07	34.58	VU	MUSORSTOM 8/CP1127	POINT  (166.630341 -15.981)	WGS84		1	CC_BY_4_0	Bouchet & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20551	tydemani	SPECIES	Pacific Ocean						10	10	Guyot Bougainvillé
