basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	decimalLatitude	decimalLongitude	family	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	order	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	dynamicProperties	sex	day	eventDate	fieldNumber	month	recordedBy	year	bibliographicCitation	eventID	individualCount	locality	occurrenceRemarks	waterBody	date_start	date_mid	date_end	date_year	superdomain	superdomainid	datasetID	references
PreservedSpecimen	104	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	1976	-43.6217	172.7533	Rhynchothoracidae	POINT (172.7533 -43.6217)	Rhynchothorax	WGS84	Clark, W.C.	NIWA Invertebrate Collection	Animalia	en	Z2687	0.0	0.0	8/04/2022	5e513a9c-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 2	Shore collection	Rhynchothorax percivali	Clark, 1976	urn:lsid:marinespecies.org:taxname:239679	percivali	PARATYPE	48cb8e7c-374e-48da-8b63-5929ef25c6aa	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.0	False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	[]	-5	82	12.63	34.39																						
HumanObservation	23972	Pycnogonida	SOMBASE Pycnogonids						-43.3666000366	175.333297729	Rhynchothoracidae		Rhynchothorax			BAS	Animalia			95.0	95.0				Pantopoda	Arthropoda			Rhynchothorax percivali		urn:lsid:marinespecies.org:taxname:239679			51bfe815-5988-40b7-b66e-5a65617463bc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	95.0	False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	[]	89	168110	13.27	34.73																						
HumanObservation	23971	Pycnogonida	SOMBASE Pycnogonids						-37.5332984924	178.699996948	Rhynchothoracidae		Rhynchothorax			BAS	Animalia			101.0	101.0				Pantopoda	Arthropoda			Rhynchothorax percivali		urn:lsid:marinespecies.org:taxname:239679			5cb389aa-b55d-4fef-b199-9b6fbda4fc51	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	101.0	False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	[]	361	20384	17.33	35.52																						
PreservedSpecimen	4174	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection	1976	-43.6217	172.7533	Rhynchothoracidae	POINT (172.7533 -43.6217)	Rhynchothorax	WGS84	Clark, W.C.	NIWA Invertebrate Collection	Animalia	en	Z2687	0.0	0.0	8/04/2022	5cecbac8-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Unknown = 1	Shore collection	Rhynchothorax percivali	Clark, 1976	urn:lsid:marinespecies.org:taxname:239679	percivali	PARATYPE	81072b38-d5b4-4ac9-bd23-ed9f18cf0136	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.0	False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	[]	-5	82	12.63	34.39	0	female																				
PreservedSpecimen	8083	Pycnogonida	NIWA	Oceania	500	New Zealand	NIWA Invertebrate Collection		-35.98333	174.605	Rhynchothoracidae	POINT (174.605 -35.98333)	Rhynchothorax	WGS84		NIWA Invertebrate Collection	Animalia	en	Z8823	37.0	37.0	8/04/2022	603e7252-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	Dredge, rock	Rhynchothorax percivali	Clark, 1976	urn:lsid:marinespecies.org:taxname:239679	percivali		8b3e334c-c0ac-4277-b332-b28d5c6d0997	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	37.0	False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	[]	31	6878	17.55	35.52		female	24	24/02/1997	BG9701/09	2	NIWA	1997														
HumanObservation	34184	Pycnogonida	SOMBASE Pycnogonids						-35.9832992554	174.604995728	Rhynchothoracidae		Rhynchothorax			BAS	Animalia			37.0	37.0				Pantopoda	Arthropoda			Rhynchothorax percivali		urn:lsid:marinespecies.org:taxname:239679			a18f33bd-b2ba-40f5-88f7-8a674ea8a51c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	37.0	False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	[]	31	6882	17.55	35.52																						
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:6613  Rhynchothorax percivali	Pycnogonida			100	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand		-43.62017	172.75752	Rhynchothoracidae	POINT (172.75752 -43.62017)	Rhynchothorax	WGS84		USNM	Animalia	en		0.0	0.0	2015-10-15	urn:catalog:SWPRON:MBIS:6613	present	Pantopoda	Arthropoda			Rhynchothorax percivali	Clark, 1976	urn:lsid:marinespecies.org:taxname:239679	percivali		a7d5e063-7483-4b06-a75e-de45b59ea892	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.0	False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	[]	-5	47	12.63	34.39				1957-10-26/1975-05-11					W.C. Clark (1976) The genus Rhynchothorax costa (Pycnogonida) in New Zealand waters, Journal of the Royal Society of New Zealand, 6:3, 287-296, DOI: 10.1080/03036758.1976.10421476	1940	13	the Brachiopod Pool, Lyttelton Harbour near Ripapa Island	from the undersides of volcanic boulders in a rock pool about mid-tide level	Pacific Ocean	-384480000000.0	-107740800000.0	168998400000.0	1966.0	Biota	1.0		
PreservedSpecimen	sm_id_2265	Pycnogonida	WoRMS type localities						-43.62	172.73	Rhynchothoracidae		Rhynchothorax			WoRMS Editorial Board	Animalia					2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2265	present	Pantopoda	Arthropoda			Rhynchothorax percivali	Clark, 1976	urn:lsid:marinespecies.org:taxname:239679	percivali	holotype	cd37e132-8b93-44e0-a2b9-3d0def826042	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	['NO_DEPTH']	3	604	12.63	34.4			26	1957-10-26		10		1957	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Rhynchothorax percivali</i> Clark, 1976. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239679			Pacific Ocean			-384480000000.0	-384480000000.0	-384480000000.0	1957.0	Biota	1.0	https://marineinfo.org/id/dataset/5184	http://www.marinespecies.org/aphia.php?p=specdetails&id=2265
HumanObservation	23970	Pycnogonida	SOMBASE Pycnogonids						-45.6166000366	170.966598511	Rhynchothoracidae		Rhynchothorax			BAS	Animalia			51.0	51.0				Pantopoda	Arthropoda			Rhynchothorax percivali		urn:lsid:marinespecies.org:taxname:239679			fa0616a1-a497-421f-9664-e62e60b7119a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	51.0	False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	[]	49	18210	11.51	34.43																						
HumanObservation	MBIS-urn:catalog:SWPRON:MBIS:6612 Munida Station 75/74 Rhynchothorax percivali	Pycnogonida			100	New Zealand	MBIS Marine Fauna and Flora observations around New Zealand		-45.8233	170.8833	Rhynchothoracidae	POINT (170.8833 -45.8233)	Rhynchothorax	WGS84		USNM	Animalia	en		75.0	75.0	2015-10-15	urn:catalog:SWPRON:MBIS:6612	present	Pantopoda	Arthropoda			Rhynchothorax percivali	Clark, 1976	urn:lsid:marinespecies.org:taxname:239679	percivali		fc755a47-0430-4f59-8eb8-51d5bf36ed3b	b339f72f-eb69-40c5-b60c-1a37aaffdfb7	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	75.0	False	False	True	False	Chelicerata	Eupantopodida	Rhynchothoracoidea	Rhynchothorax percivali	2	1065	1274	1302	1358	379601	379612	22618	134596	239679	239679	Rhynchothorax percivali	[]	70	10486	11.31	34.44		f			Munida Station 75/74				W.C. Clark (1976) The genus Rhynchothorax costa (Pycnogonida) in New Zealand waters, Journal of the Royal Society of New Zealand, 6:3, 287-296, DOI: 10.1080/03036758.1976.10421476	1939	1			Pacific Ocean					Biota	1.0		
