associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetID	datasetName	eventID	eventTime	fieldNumber	footprintSRS	language	modified	occurrenceID	occurrenceStatus	recordedBy	samplingProtocol	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	8200.274280	Invertebrate Zoology: Crustacea	United States	20	39.5830001831	-71.3125	observedindividualcount=2;	1884-08-20T12:00:00Z	Smith, S. I.	2.0	USNM	S Of Block Island	1962.0	1962	8	Alcohol (Ethanol)	Colossendeis clavata	Meinert	urn:lsid:marinespecies.org:taxname:134662	Rhode Island	North Atlantic Ocean	1884	030a9b78-23b4-44a9-b09c-c7ff8552bf08	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1962	-2693865600000.0	-2693865600000.0	-2693865600000.0	1884.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	[]	2206.0	168642	17.06	34.79																
	HumanObservation		34997	bio_dba		1	55.0	-15.0		1969-08-01T00:00:00+00:00	STOCK Jan			Atlantique nord	2215.0	2215	8		Colossendeis clavata		urn:lsid:marinespecies.org:taxname:134662			1969	0831449c-cfb5-4444-9baf-d00420f0db26	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2215	-13219200000.0	-13219200000.0	-13219200000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	[]	2334.0	318948	12.29	35.43	50.0	https://marineinfo.org/id/dataset/490	Bigood	Blake trawl_196981_CV/B/Y/W-1_NA	00:00:00+00:00	CV/B/Y/W-1	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_34997	present	LE PICHON Xavier	Blake trawl	clavata	Biota	1.0
	HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9045	Deep-sea Fauna of European Seas: Pycnogonida			49.48	-13.4		1979/1999			P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	“Challenger”, St. 50518		2078			Colossendeis clavata	Meinert, 1898	urn:lsid:marinespecies.org:taxname:134662				0907a619-42fc-43f9-b3d5-67c4d26ee997	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2078	283996800000.0	615254400000.0	946598400000.0	1989.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	[]	2097.0	320976	13.91	35.59		https://marineinfo.org/id/dataset/5146							2016-03-24 10:26:12	Deepsea_Pycnogonida_9045	present				Biota	1.0
	HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9033	Deep-sea Fauna of European Seas: Pycnogonida			55.11	-15.18		1969/1969			P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	NORATLANTE, St.6		2215			Colossendeis clavata	Meinert, 1898	urn:lsid:marinespecies.org:taxname:134662			1969	1259e846-4433-453c-a8b4-80159a0841ee	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2215	-31536000000.0	-15811200000.0	-86400000.0	1969.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	[]	2220.2	333591	12.21	35.43		https://marineinfo.org/id/dataset/5146							2016-03-24 10:26:12	Deepsea_Pycnogonida_9033	present				Biota	1.0
	HumanObservation		37397	bio_dba		1	47.0	-8.0		1974-10-01T00:00:00+00:00	STOCK Jan			Golfe de Gascogne	2177.0	2177	10		Colossendeis clavata		urn:lsid:marinespecies.org:taxname:134662			1974	16a646d6-aabe-49ec-8da9-1840696d202e	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2177	149817600000.0	149817600000.0	149817600000.0	1974.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	[]	4442.0	261836	14.83	35.65		https://marineinfo.org/id/dataset/490	Bigood	Beam trawl_1974101_CP / CPH-8_NA	00:00:00+00:00	CP / CPH-8	EPSG:4326	en	2022-01-18 09:29:51	Ifremer_bio_dba_37397	present	LAUBIER Lucien	Beam trawl	clavata	Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	154652.118067	Invertebrate Zoology: Crustacea	United States	28	38.8829994202	-72.6774978638	observedindividualcount=1;	1975-07-28T12:00:00Z	Child, C. Allan	1.0	USNM	Off Maryland	1475.0	1375	7	Alcohol (Ethanol)	Colossendeis clavata	Meinert	urn:lsid:marinespecies.org:taxname:134662		North Atlantic Ocean	1975	18b7fc8f-76fa-4038-962e-2122b56388d9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1425	175737600000.0	175737600000.0	175737600000.0	1975.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	[]	1415.0	153942	17.09	34.48																
	HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9044	Deep-sea Fauna of European Seas: Pycnogonida			38.1	-24.81					P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	CANCAP, V St.5004	3100.0	2400			Colossendeis clavata	Meinert, 1898	urn:lsid:marinespecies.org:taxname:134662				1aca85ef-e7c4-45ac-8667-3c8d415bfa2b	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2750					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	['DEPTH_EXCEEDS_BATH']	2725.0	40657	18.91	36.21		https://marineinfo.org/id/dataset/5146							2016-03-24 10:26:12	Deepsea_Pycnogonida_9044	present				Biota	1.0
	HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9042	Deep-sea Fauna of European Seas: Pycnogonida			44.16	-4.26		1974/1974			P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	BIOGAS V, St. CP 07		2170			Colossendeis clavata	Meinert, 1898	urn:lsid:marinespecies.org:taxname:134662			1974	2087fd7e-db94-49d6-b592-ca28f0de56f1	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2170	126230400000.0	141955200000.0	157680000000.0	1974.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	[]	2136.0	80650	16.47	35.58		https://marineinfo.org/id/dataset/5146							2016-03-24 10:26:12	Deepsea_Pycnogonida_9042	present				Biota	1.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	155232.118630	Invertebrate Zoology: Crustacea		19	38.6450004578	-74.3830032349	observedindividualcount=1;	1975-09-19T12:00:00Z	Child, C. Allan	1.0	USNM	Norfolk Canyon	1760.0	1730	9	Alcohol (Ethanol)	Colossendeis clavata	Meinert	urn:lsid:marinespecies.org:taxname:134662		North Atlantic Ocean	1975	226cb8d9-5d66-44d5-a441-059587b08236	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1745	180316800000.0	180316800000.0	180316800000.0	1975.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	['DEPTH_EXCEEDS_BATH']	36.0	52538	15.28	33.09																
	HumanObservation	Turpaeva, E.P.; Raiskiy, A.K. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Pycnogonida. Inv. Zool. 11(1): 240-247	Deepsea_Pycnogonida_9040	Deep-sea Fauna of European Seas: Pycnogonida			47.61	-8.56		1973/1973			P.P.Shirshov Institute of Oceanology, Russian Academy of Sciences	BIOGAS II, St. CV 20		2282			Colossendeis clavata	Meinert, 1898	urn:lsid:marinespecies.org:taxname:134662			1973	2a689c1a-e3b0-4594-aef2-0e5bf80f258f	7f4428a6-f463-45d7-b603-43982b0b089a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2282	94694400000.0	110419200000.0	126144000000.0	1973.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis clavata	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	134662	134662	Colossendeis clavata	[]	2230.0	269968	14.49	35.62		https://marineinfo.org/id/dataset/5146							2016-03-24 10:26:12	Deepsea_Pycnogonida_9040	present				Biota	1.0
