basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	datasetID	datasetName	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	identifiedBy	institutionCode	kingdom	lifeStage	locality	locationID	modified	occurrenceID	occurrenceStatus	order	otherCatalogNumbers	phylum	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	associatedReferences	bibliographicCitation	day	dynamicProperties	individualCount	maximumDepthInMeters	minimumDepthInMeters	month	recordedBy	waterBody	depth	sst	sss
PreservedSpecimen	INV.69222	Pycnogonida	urn:catalog:RBINS:Pycnogonida	999999.0	France	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	4.0	-53.0	1900	Pycnogonidae	12147	Pentapycnon	Bouvier E.L.	RBINS-Scientific Heritage	Animalia	unknown	French Guiana	http://www.geonames.org/3381670	2020-05-05 12:37:31	http://collections.naturalsciences.be/specimen/492944	present	Pantopoda	urn:catalog:RBINS:IG:12147	Arthropoda	container type: vial; preservation method: alcohol	Pentapycnon geayi	Bouvier, 1911	urn:lsid:marinespecies.org:taxname:239616	unknown	geayi	cotype	1900	099ed9a6-5794-47a2-a23a-3f1c5246d8cc	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-2208988800000	-2193264000000	-2177539200000	1900	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon geayi	1.0	2	1065	1274	1302	1358	379601	379611	1567	173566	239616	239616	Pentapycnon geayi Bouvier, 1911	['NO_DEPTH', 'ON_LAND']	-200	-120972													
PreservedSpecimen	80953.273677	Pycnogonida	Invertebrate Zoology: Crustacea		Puerto Rico			18.5170001984	-66.1708297729	1933-02-03T12:00:00Z	Pycnogonidae		Pentapycnon	Hedgpeth, J. W.	USNM	Animalia		N Of Puerto Rico					Pantopoda		Arthropoda	Alcohol (Ethanol)	Pentapycnon geayi	Bouvier	urn:lsid:marinespecies.org:taxname:239616				1933	16602e0e-d121-4a6d-8da2-151dd9a35d6c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1164758400000	-1164758400000	-1164758400000	1933	False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pentapycnon geayi		2	1065	1274	1302	1358	379601	379611	1567	173566	239616	239616	Pentapycnon geayi	[]	475	4687	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	3	observedindividualcount=1;	1.0	69.0	69.0	2	I. Johnson	North Atlantic Ocean	69.0	27.67	35.12
