basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	eventDate	sex	date_start	date_mid	date_end	date_year
PreservedSpecimen	P.4157.001	Pycnogonida	co113	0.009	1000	Australia	-33.86	151.25666	Phoxichilidiidae	POINT (151.25666 -33.86000)	Anoplodactylus	AM	Animalia	Port Jackson, Shark Island	2017-03-02T15:54:05	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.4157.001	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	26cb9c72-04c6-4e8c-a321-d8b1e4a81e77	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54						
PreservedSpecimen	P.4156.001	Pycnogonida	co113	0.009	1000	Australia	-33.86	151.25666	Phoxichilidiidae	POINT (151.25666 -33.86000)	Anoplodactylus	AM	Animalia	Port Jackson, Shark Island	2017-03-02T15:54:04	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.4156.001	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	30473f1c-1901-42d1-a5d8-3c504a5a1d0b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54						
PreservedSpecimen	P.4162.001	Pycnogonida	co113	0.009	1000	Australia	-33.86	151.25666	Phoxichilidiidae	POINT (151.25666 -33.86000)	Anoplodactylus	AM	Animalia	Port Jackson, Shark Island	2017-03-02T15:54:17	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.4162.001	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	62409a06-0ea5-4279-af30-0d03d660d12b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54						
PreservedSpecimen	P.42863	Pycnogonida	co113	0.009	1000	Australia	-41.216	148.29166	Phoxichilidiidae	POINT (148.29166 -41.21600)	Anoplodactylus	AM	Animalia	Bay of Fires, Sloop Reef	2017-03-02T15:57:53	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42863	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	68e75fd1-ee5c-4a4b-86e8-f3b8953b135f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH']	14	581	15.27	35.42	1991-04-15	Female	671673600000.0	671673600000.0	671673600000.0	1991.0
PreservedSpecimen	P.43135	Pycnogonida	co113	0.009	1000	Australia	-21.983	113.916	Phoxichilidiidae	POINT (113.91600 -21.98300)	Anoplodactylus	AM	Animalia	Cape Range National Park, inshore limestone reef off Neds Camp	2017-03-02T16:19:16	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43135	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	6da48ca7-694c-421c-8b68-2b0da6b6cc8c	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH']	32	1697	25.64	34.81	1984-01-02	Female	441849600000.0	441849600000.0	441849600000.0	1984.0
PreservedSpecimen	P.4161.001	Pycnogonida	co113	0.009	1000	Australia	-33.86	151.25666	Phoxichilidiidae	POINT (151.25666 -33.86000)	Anoplodactylus	AM	Animalia	Port Jackson, Shark Island	2017-03-02T15:54:15	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.4161.001	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	71eef9d7-eefa-4ae7-a5e2-1db7d235f38b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54						
PreservedSpecimen	P.10506	Pycnogonida	co113	0.0896	10000	Australia	-34.183	151.05	Phoxichilidiidae	POINT (151.05000 -34.18300)	Anoplodactylus	AM	Animalia	Burning Palms Beach, south of Port Hacking	2017-03-02T11:34:16	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.10506	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	78c15fde-b267-4634-8eae-f56219737e1b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH', 'ON_LAND']	-23	-229	20.23	35.53		Female				
PreservedSpecimen	P.4159.001	Pycnogonida	co113	0.009	1000	Australia	-33.86	151.25666	Phoxichilidiidae	POINT (151.25666 -33.86000)	Anoplodactylus	AM	Animalia	Port Jackson, Shark Island	2017-03-02T15:54:11	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.4159.001	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	95008fd1-1ea3-4e1a-a161-c1a8157b71a8	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54						
PreservedSpecimen	P.4160.001	Pycnogonida	co113	0.009	1000	Australia	-33.86	151.25666	Phoxichilidiidae	POINT (151.25666 -33.86000)	Anoplodactylus	AM	Animalia	Port Jackson, Shark Island	2017-03-02T15:54:13	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.4160.001	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	b2428461-65e2-4d6e-ba24-201384d3bb78	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH', 'ON_LAND']	-4	-2432	20.41	35.54						
PreservedSpecimen	P.43793	Pycnogonida	co113		10000	Australia	-35.616	137.2	Phoxichilidiidae	POINT (137.20000 -35.61600)	Anoplodactylus	AM	Animalia	Stokes Bay, north coast of Kangaroo Island	2017-03-02T16:15:00	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43793	present	Arthropoda	Anoplodactylus haswelli	urn:lsid:marinespecies.org:taxname:239540	haswelli	species	bc2eef39-f9b3-4f07-b7fb-4de231b59016	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Phoxichilidoidea	Anoplodactylus haswelli	2	1065	1274	1302	1358	379601	379610	14469	134592	239540	239540	Anoplodactylus haswelli	['NO_DEPTH']	22	892	17.16	35.95	1978-03-04		257817600000.0	257817600000.0	257817600000.0	1978.0
