associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetID	footprintWKT	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149235.112751	Invertebrate Zoology: Crustacea	1	4.91699981689	-5.57499980927	observedindividualcount=1;	1964-06-01T12:00:00Z	Stock, Jan H.	1.0	USNM	Off Ivory Coast	82	79	6	Alcohol (Ethanol)	Nymphon caementarum	Stock	urn:lsid:marinespecies.org:taxname:239416	male	Holotype	North Atlantic Ocean	1964	140efaf6-5973-4d33-ad8f-61759f3a72af	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	80.5	-176256000000	-176256000000	-176256000000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon caementarum	2	1065	1274	1302	1358	379601	379609	1566	134591	239416	239416	Nymphon caementarum	[]	77	17867	26.79	34.28										
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon caementarum</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239416	sm_id_1036	WoRMS type localities	1	4.91	-5.6		1964-06-01			WoRMS Editorial Board	Atlantic Ocean	82	79	6		Nymphon caementarum	Stock, 1975	urn:lsid:marinespecies.org:taxname:239416		holotype		1964	38dd8149-abfa-4b49-94c0-9cbd26de9a48	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	80.5	-176256000000	-176256000000	-176256000000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon caementarum	2	1065	1274	1302	1358	379601	379609	1566	134591	239416	239416	Nymphon caementarum	[]	75	17952	26.77	34.27	2477.71	https://marineinfo.org/id/dataset/5184	POLYGON ((-5.58 4.92, -5.58 4.9, -5.62 4.9, -5.62 4.92, -5.58 4.92))	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1036	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1036	caementarum	Biota	1.0
