basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	typeStatus	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	day	eventDate	month	year	date_start	date_mid	date_end	date_year
PreservedSpecimen	2007-4585	Pycnogonida	IU	NC	-23.148333	167.188263	Ascorhynchidae	BIOCAL/DW36	POINT  (167.188263 -23.148333)	Heterofragilia	WGS84	Stock	1	MNHN	Animalia	CC_BY_4_0	S Ile des Pins	2015-06-19T21:23Z	440007204	Pantopoda	Arthropoda	Bouchet, Métivier & Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4585	Heterofragilia brevicauda	Stock, 1991	urn:lsid:marinespecies.org:taxname:240180	brevicauda	SPECIES	HOLOTYPE	Pacific Ocean	2b525657-1748-450f-9a1b-75f8eb5fcd89	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Heterofragilia brevicauda	2	1065	1274	1302	1358	379601	379608	379788	236270	240180	240180	Heterofragilia brevicauda Stock, J.H., 1991	['NO_DEPTH']	660	39483	24.36	35.32																	
Occurrence	21598	Pycnogonida	NewCaledonia		-23.1299991607666	167.179992675781	Ascorhynchidae			Heterofragilia				IRD-MNHN	Animalia		Biocal, DW36	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21598:0xDB25900001000000	Pantopoda	Arthropoda			Heterofragilia brevicauda		urn:lsid:marinespecies.org:taxname:240180					48e00d6d-00c0-4709-9f6b-4810f9be5079	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Heterofragilia brevicauda	2	1065	1274	1302	1358	379601	379608	379788	236270	240180	240180	Heterofragilia brevicauda	['DEPTH_EXCEEDS_BATH']	560	37400	24.36	35.32	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	680.0	650.0	present	665.0	Biota	1.0								
PreservedSpecimen	sm_id_1920	Pycnogonida	WoRMS type localities		-23.14	167.18	Ascorhynchidae			Heterofragilia				WoRMS Editorial Board	Animalia		Pacific Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1920	Pantopoda	Arthropoda		http://www.marinespecies.org/aphia.php?p=specdetails&id=1920	Heterofragilia brevicauda	Stock, 1991	urn:lsid:marinespecies.org:taxname:240180	brevicauda		holotype		7611547e-b990-4ad1-bf2e-f195523e9e36	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Heterofragilia brevicauda	2	1065	1274	1302	1358	379601	379608	379788	236270	240180	240180	Heterofragilia brevicauda	[]	574	38229	24.36	35.32	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Heterofragilia brevicauda</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240180		https://marineinfo.org/id/dataset/5184	680.0	650.0	present	665.0	Biota	1.0	29	1985-08-29	8	1985	494121600000.0	494121600000.0	494121600000.0	1985.0
