basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	recordedBy	scientificNameAuthorship	sex	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	22280	SOMBASE Pycnogonids	-54.8465995789	-64.4866027832	BAS	0.0	0.0	Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	0234276c-d37f-47ec-993d-1392309360e2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	[]	-1	113	6.72	33.96																				
HumanObservation	22274	SOMBASE Pycnogonids	-54.6500015259	-63.8333015442	BAS	137.0	135.0	Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	079daf5a-ac16-490a-b687-c863faef29b2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	136.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	[]	116	7629	6.71	33.98																				
HumanObservation	22236	SOMBASE Pycnogonids	-52.3666000366	-65.75	BAS	116.0	116.0	Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	09e17ca0-e6d1-4dcb-8838-88f9cd7cf43a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	116.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	[]	128	176777	7.24	33.99																				
HumanObservation	22253	SOMBASE Pycnogonids	-55.7832984924	-66.2750015259	BAS	115.0	115.0	Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	0b3c7d23-a05b-4808-aea6-abeb9c58b81d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	115.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	[]	180	32198	6.59	33.99																				
HumanObservation	22276	SOMBASE Pycnogonids	-54.8333015442	-63.9883003235	BAS	208.0	205.0	Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	1b644c13-b5c7-4d72-ace1-567ea1319d39	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	206.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	[]	178	3138	6.67	33.98																				
HumanObservation	22260	SOMBASE Pycnogonids	-53.5332984924	-64.9499969482	BAS	124.0	119.0	Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	1bf26d5e-1f93-4a0d-a9ab-f41a2d445f0f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	121.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	[]	129	122140	6.98	33.97																				
HumanObservation	22282	SOMBASE Pycnogonids	-54.8333015442	-64.4466018677	BAS	0.0	0.0	Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	217d7a10-5de9-40ac-a045-a0c27af9e138	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	0.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-177	-368	6.84	33.96																				
PreservedSpecimen	136568.100516	Invertebrate Zoology: Crustacea	-51.75	-57.9330596924	USNM			Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	267fe538-e4c0-4834-b116-92c9c35cabbb	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	['NO_DEPTH']	16	444	6.93	34.04	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Falkland Islands	16	observedindividualcount=1;	1927-03-16T12:00:00Z	Child, C. Allan	1.0	East Falkland Island, Port Stanley, South Of Municipal Jetty	3	Alcohol (Ethanol)	W. Schmitt	Stock	male	South Atlantic Ocean	1927	-1350604800000.0	-1350604800000.0	-1350604800000.0	1927.0
HumanObservation	22269	SOMBASE Pycnogonids	-54.9099998474	-64.9466018677	BAS	122.0	122.0	Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	2f7dbee7-dee8-4c85-a711-82f785e9045a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	122.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	[]	141	13536	6.9	33.95																				
HumanObservation	22249	SOMBASE Pycnogonids	-53.7832984924	-70.3000030518	BAS	267.0	267.0	Austrodecus curtipes	urn:lsid:marinespecies.org:taxname:173012	2fa6c775-0399-4ebf-9c76-48332b5ee43b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	267.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Austrodecus	Austrodecus curtipes	2	1065	1274	1302	1358	379600	22616	134579	173012	173012	Austrodecus curtipes	[]	283	7612	6.99	33.8																				
