basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	phylum	recordNumber	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	taxonRank	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	order	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	individualCount	locality	sex	specificEpithet
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04796	Pycnogonida	MIIC	200	-34.3414	129.942	2015-11-17 00:00	Colossendeidae	IN2015_C01-079	POINT (129.94200 -34.34140)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	2080.4	2080.4	2023-07-11T05:57:34	urn:csiro:MIIC:MIIC-04796	present	1	individuals	Arthropoda	IN2015_C01_079_101	Karen Gowlett-Holmes	Colossendeis tasmanica	Staples, 2007	urn:lsid:marinespecies.org:taxname:345605	species	013e7e24-b2aa-41c1-8f3d-7ba514e5a96e	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2080.4	1447718400000	1447718400000	1447718400000	2015	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica Staples, 2007	[]	2178	301771	17.54	35.59				
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04816	Pycnogonida	MIIC	200	-45.3694	144.603	2009-01-11 00:00	Colossendeidae	TT200801-J2-391-017	POINT (144.60300 -45.36940)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	2814.0	2814.0	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04816	present	1	individuals	Arthropoda	TT200801-J2-391-017-001	Karen Gowlett-Holmes	Colossendeis tasmanica	Staples, 2007	urn:lsid:marinespecies.org:taxname:345605	species	0271fae9-509d-4e96-9a77-eea3243b98f8	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2814.0	1231632000000	1231632000000	1231632000000	2009	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica Staples, 2007	[]	2822	228989	12.1	34.9				
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04803	Pycnogonida	MIIC	200	-44.3259	147.363	2015-04-12 00:00	Colossendeidae	IN2015_E02-022	POINT (147.36300 -44.32590)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	2010.0	2010.0	2023-07-11T05:57:34	urn:csiro:MIIC:MIIC-04803	present	1	individuals	Arthropoda	IN2015_E02_022_001	Karen Gowlett-Holmes	Colossendeis tasmanica	Staples, 2007	urn:lsid:marinespecies.org:taxname:345605	species	0344acee-b72b-410c-b8e5-1bb527743897	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2010.0	1428796800000	1428796800000	1428796800000	2015	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica Staples, 2007	[]	1997	59665	13.81	35.19				
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04815	Pycnogonida	MIIC	200	-45.3694	144.603	2009-01-11 00:00	Colossendeidae	TT200801-J2-391-017	POINT (144.60300 -45.36940)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	2814.0	2814.0	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04815	present	1	individuals	Arthropoda	TT200801-J2-391-017-001	Karen Gowlett-Holmes	Colossendeis tasmanica	Staples, 2007	urn:lsid:marinespecies.org:taxname:345605	species	0740cf84-78b4-4c86-b6fe-ef4ef8ff5cd9	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	2814.0	1231632000000	1231632000000	1231632000000	2009	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica Staples, 2007	[]	2822	228989	12.1	34.9				
PreservedSpecimen	CSIRO Marine Invertebrate Image Collection (MIIC)	MIIC-04814	Pycnogonida	MIIC	200	-45.3742	144.594	2009-01-10 00:00	Colossendeidae	TT200801-J2-391-013	POINT (144.59400 -45.37420)	Colossendeis	EPSG:4326	Karen Gowlett-Holmes	CSIRO	Animalia	3231.0	3231.0	2023-07-11T05:57:35	urn:csiro:MIIC:MIIC-04814	present	1	individuals	Arthropoda	TT200801-J2-391-013-001	Karen Gowlett-Holmes	Colossendeis tasmanica	Staples, 2007	urn:lsid:marinespecies.org:taxname:345605	species	0f0a37ad-5cba-4dab-b2d7-499c8089372e	2b5f9b56-27bf-4000-8f95-3e6e703c6a85	['2a57cd59-6799-4579-955e-27c9af97aea4']	3231.0	1231545600000	1231545600000	1231545600000	2009	False	False	True	False	Biota	Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica Staples, 2007	[]	3146	229844	12.1	34.9				
PreservedSpecimen		J54503	Pycnogonida	co119	1000	-34.6995	151.374	1988-10-22	Colossendeidae		POINT (151.37400 -34.69950)	Colossendeis			NMV	Animalia	1896.0	1642.0	2017-02-09T13:32:14	J54503	present	7	individuals	Arthropoda			Colossendeis tasmanica		urn:lsid:marinespecies.org:taxname:345605	species	114779b6-90ad-4339-9728-b422cac76a2c	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	1769.0	593481600000	593481600000	593481600000	1988	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica	[]	1733	44448	20.66	35.59	7	67 km ENE of Nowra	Unknown	tasmanica
PreservedSpecimen		J61983	Pycnogonida	co119	1000	-45.3694	144.603	2009-01-09	Colossendeidae		POINT (144.60300 -45.36940)	Colossendeis			NMV	Animalia	2814.0	2814.0	2017-02-09T10:28:41	J61983	present	1	individuals	Arthropoda			Colossendeis tasmanica		urn:lsid:marinespecies.org:taxname:345605	species	14a461df-2422-4e78-b2b5-ce632676cb71	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	2814.0	1231459200000	1231459200000	1231459200000	2009	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica	[]	2822	228989	12.1	34.9	1	Tasman Fracture Zone	Unknown	tasmanica
PreservedSpecimen		J55741	Pycnogonida	co119	1000	-39.8075	149.101	2000-04-29	Colossendeidae		POINT (149.10100 -39.80750)	Colossendeis			NMV	Animalia	1962.0	1923.0	2017-02-09T12:13:32	J55741	present	1	individuals	Arthropoda			Colossendeis tasmanica		urn:lsid:marinespecies.org:taxname:345605	species	1fd9daff-b139-4236-bef5-6e22dd66ace4	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	1942.5	956966400000	956966400000	956966400000	2000	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica	[]	1968	64838	16.93	35.56	1			tasmanica
PreservedSpecimen		J61978	Pycnogonida	co119	1000	-45.3742	144.594	2009-01-09	Colossendeidae		POINT (144.59400 -45.37420)	Colossendeis			NMV	Animalia			2017-02-09T10:28:41	J61978	present	1	individuals	Arthropoda			Colossendeis tasmanica		urn:lsid:marinespecies.org:taxname:345605	species	22de28bc-700e-4c89-843d-049ed060c283	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']		1231459200000	1231459200000	1231459200000	2009	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica	['NO_DEPTH']	3146	229844	12.1	34.9	1	Tasman Fracture Zone	Unknown	tasmanica
PreservedSpecimen		J55742	Pycnogonida	co119	1000	-39.8075	149.101	2000-04-29	Colossendeidae		POINT (149.10100 -39.80750)	Colossendeis			NMV	Animalia	1962.0	1923.0	2017-02-09T12:13:32	J55742	present	4	individuals	Arthropoda			Colossendeis tasmanica		urn:lsid:marinespecies.org:taxname:345605	species	26194e23-45bb-45b3-aee9-266b20a81be3	d104db68-63cf-4f34-b92a-54bd55a07394	['2a57cd59-6799-4579-955e-27c9af97aea4']	1942.5	956966400000	956966400000	956966400000	2000	False	False	True	False		Chelicerata	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis tasmanica		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	345605	345605	Colossendeis tasmanica	[]	1968	64838	16.93	35.56	4		Unknown	tasmanica
