basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	individualCount	language	locality	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	scientificNameAuthorship	specificEpithet	startDayOfYear	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	23205	SOMBASE Pycnogonids	-53.6966018677	-37.9533004761	BAS	150	144	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	042654b0-d038-4d62-b02f-7272361d3d40	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	147.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	[]	112	32910	1.75	33.76																										
HumanObservation	37675	SOMBASE Pycnogonids	-47.5250015259	-61.0	BAS	275	243	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	0dcb718b-1331-4858-b402-4e5d7d810388	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	259.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	[]	237	354938	8.47	34.08																										
HumanObservation	Stn 140 Nymphon paucidens	Discovery Reports	-54.134	-36.5737	NIWA	136	122	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	0fd311a2-648f-4c30-a1b2-e9716734ab11	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	129.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	[]	141	3408	1.82	33.77	1000	Discovery Expedition Biological Reports	23	1926-12-23	104	Stn 140	LINESTRING (-36.6333333333333 -54.0333333333333, -36.4833333333333 -54.1916666666667)	WGS84	4	en	Stromness Harbour to Larsen Point, South Georgia	2019-03-15	12	5343	Large otter trawl	present	Large otter trawl	Gordon, 1932	paucidens	357	Atlantic Ocean	1926	-1357776000000.0	-1357776000000.0	-1357776000000.0	1926.0
HumanObservation	39825	SOMBASE Pycnogonids	-63.0570983887	-60.6572990417	BAS	248	248	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	14f982c3-0fed-49d3-9358-71c3345c1c1e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	248.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	[]	244	4460	-0.5	33.9																										
HumanObservation	23203	SOMBASE Pycnogonids	-77.8663024902	166.720504761	BAS	290	278	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	32cb86fc-be38-44d8-b411-9acf6f7994b4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	284.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	['DEPTH_EXCEEDS_BATH']	25	998	-1.7	34.3																										
HumanObservation	Stn MS 74 Nymphon paucidens	Discovery Reports	-54.2803	-36.4749	NIWA	40	22	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	3c1ddb05-aa67-4ebf-b18f-26d74b2313a5	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	31.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	[]	19	225	1.82	33.76	1000	Discovery Expedition Biological Reports	17	1927-03-17	346	Stn MS 74	LINESTRING (-36.4852 -54.2844, -36.4645 -54.2761)	WGS84	1	en	East Cumberland Bay, South Georgia. From 1 cable SE x E of Hope Point to 3.1 miles SW of Merton Rock	2019-03-15	3	5345	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	present	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	Gordon, 1932	paucidens	76	Atlantic Ocean	1927	-1350518400000.0	-1350518400000.0	-1350518400000.0	1927.0
HumanObservation	37831	SOMBASE Pycnogonids	-53.8800010681	-37.5050010681	BAS	130	117	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	4d1c94ee-edc1-43dc-b9b3-4b4e7d3bd0bb	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	123.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	[]	173	9859	1.77	33.75																										
HumanObservation	37886	SOMBASE Pycnogonids	-45.7949981689	49.7332992554	BAS	334	320	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	6a9c7e2b-462d-407c-9c33-94421c19009d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	327.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	['DEPTH_EXCEEDS_BATH']	216	46255	5.85	33.71																										
HumanObservation	34580	SOMBASE Pycnogonids	-54.2332992554	-36.4000015259	BAS	235	179	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	7bb318d2-13fd-4a98-a51e-2caab1b812c6	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	207.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	['DEPTH_EXCEEDS_BATH']	151	1288	1.81	33.77																										
HumanObservation	34577	SOMBASE Pycnogonids	-54.0332984924	-36.6333007812	BAS	136	122	Nymphon paucidens	urn:lsid:marinespecies.org:taxname:173480	80c0e2e8-c843-4dd2-a010-e59d65a55a53	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	129.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon paucidens	2	1065	1274	1302	1358	379601	379609	1566	134591	173480	173480	Nymphon paucidens	[]	171	9266	1.81	33.78																										
