basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	geodeticDatum	georeferenceSources	identifiedBy	institutionCode	kingdom	language	locationID	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	preparations	recordedBy	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	locality	sex
PreservedSpecimen	70222	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	12	-72.315333	170.361	12/02/2004	Pallenopsidae	LINESTRING (170.361 -72.315333, 170.361 -72.315333)	Pallenopsis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/47	130	130.0	8/04/2022	2	6057f0b0-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Grab,  van Veen	Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	2004	10bf4983-a3f0-4dc3-a537-e428dc289e3b	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	130.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	131	3059	-1.72	33.54		
PreservedSpecimen	70274	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	12	-72.316667	170.362333	12/02/2004	Pallenopsidae	LINESTRING (170.362333 -72.316667, 170.365667 -72.3215)	Pallenopsis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/48	132	130.0	8/04/2022	2	60584588-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Sled, epibenthic	Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	2004	122661fb-04fc-4d99-89a3-966066018c9d	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	131.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	124	3088	-1.72	33.54	Hallett Peninsula	
PreservedSpecimen	70225	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	26	-72.014	170.775833	26/02/2004	Pallenopsidae	LINESTRING (170.775833 -72.014, 170.775833 -72.014)	Pallenopsis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/139	236	236.0	8/04/2022	2	6057f6a0-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - orig formalin = 3	NIWA; MFish	Grab,  van Veen	Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	2004	15914525-13d6-4db0-a5fb-9d3fdf77ddef	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	236.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	239	5831	-1.69	33.7	Moubray Bay	
PreservedSpecimen	70281	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	17	-71.53	170.111	17/02/2004	Pallenopsidae	LINESTRING (170.111 -71.53, 170.113167 -71.5235)	Pallenopsis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/94	220	191.0	8/04/2022	2	6058508c-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Trawl, Beam	Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	2004	1c6b51ca-96d5-4aad-bbe7-93ba2a1a4c05	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	205.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	167	5176	-1.69	33.89		
PreservedSpecimen	70282	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	5	-71.727833	171.735333	5/02/2004	Pallenopsidae	LINESTRING (171.735333 -71.727833, 171.7445 -71.730833)	Pallenopsis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/15	467	466.0	8/04/2022	2	60585280-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 3	NIWA; MFish	Sled, epibenthic	Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	2004	21dbefe2-9e98-44d1-931c-e934e1d066dd	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	466.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	499	24759	-1.63	34.08		
PreservedSpecimen	70290	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	27	-71.488667	171.943	27/02/2004	Pallenopsidae	LINESTRING (171.943 -71.488667, 171.937833 -71.486833)	Pallenopsis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/185	600	596.0	8/04/2022	2	605862ca-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 1	NIWA; MFish	Trawl, Beam	Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	2004	24009604-91de-4f71-89b8-93f733f57580	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	598.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	612	46754	-1.63	34.15		
PreservedSpecimen	70219	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	12	-72.332667	170.389	12/02/2004	Pallenopsidae	LINESTRING (170.389 -72.332667, 170.389 -72.332667)	Pallenopsis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/51	152	152.0	8/04/2022	2	6057dbc0-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - orig formalin = 1	NIWA; MFish	Grab,  van Veen	Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	2004	241168df-1ea7-4c71-9215-71fb156498a8	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	152.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	149	4034	-1.72	33.54		
PreservedSpecimen	9599	Pycnogonida	NIWA	Antarctica	500	Ross Dependency	NIWA Invertebrate Collection		26	-71.37	169.6667	26/01/1965	Pallenopsidae	POINT (169.6667 -71.37)	Pallenopsis	WGS84			NIWA Invertebrate Collection	Animalia	en	E196	320		8/04/2022	1	5d793192-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), None = 1	NZOI		Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	1965	26a7d55b-3ecf-422b-9491-1de15f934021	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	320.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	287	11124	-1.69	33.92		male
PreservedSpecimen	70284	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	9	-71.798667	170.932833	9/02/2004	Pallenopsidae	LINESTRING (170.932833 -71.798667, 170.949167 -71.796333)	Pallenopsis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/25	140	127.0	8/04/2022	2	605856e0-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 5	NIWA; MFish	Sled, epibenthic	Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	2004	28b2c463-c9da-4502-b64b-864de7c1074d	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	133.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	94	1943	-1.66	33.81		
PreservedSpecimen	70280	Pycnogonida	NIWA	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	2006	26	-71.9795	171.968167	26/02/2004	Pallenopsidae	LINESTRING (171.968167 -71.9795, 171.9735 -71.981833)	Pallenopsis	WGS84	GPS	Nielsen, Johanna	NIWA Invertebrate Collection	Animalia	en	TAN0402/150	480	461.0	8/04/2022	2	60584e84-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Specimen(s), Ethanol - no formalin = 3	NIWA; MFish	Sled, epibenthic	Pallenopsis vanhöffeni	Hodgson, 1915	urn:lsid:marinespecies.org:taxname:266427	vanhoffeni	2004	2d9be0d7-073b-40cc-b703-e9c1ef0b3ffe	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	470.5	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Pallenopsis vanhöffeni	2	1065	1274	1302	1358	379601	379609	236317	134593	266427	266427	Pallenopsis vanhoffeni	[]	466	27941	-1.64	34.1		
