associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228549.180710	Invertebrate Zoology: Crustacea	Philippines	26	9.3277797699	123.31388855	observedindividualcount=8;	1978-06-26T12:00:00Z	Child, C. Allan	8.0	USNM	;; juvenile	Negros Island, Bantayan, Silliman University Lab Beach	2.0	2.0	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Anoplodactylus paradigitatus	Child	urn:lsid:marinespecies.org:taxname:239511	male; female;;	Negros Oriental	Paratype	North Pacific Ocean	1978	2c526ffc-12ec-4196-9c40-9e3f82b773b5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.0	267667200000	267667200000	267667200000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus paradigitatus	2	1065	1274	1302	1358	379601	379610	14469	134592	239511	239511	Anoplodactylus paradigitatus	[]	-2	336	28.45	32.75								
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228787.180952	Invertebrate Zoology: Crustacea	Philippines	30	20.4333305359	121.967002869	observedindividualcount=2;	1985-05-30T12:00:00Z	Child, C. Allan	2.0	USNM	; juvenile	Batan Islands, Batan Island, Chanaryan Village, Just S Of Basco	1.5		5	Alcohol (Ethanol)	C. Child	Anoplodactylus paradigitatus	Child	urn:lsid:marinespecies.org:taxname:239511	male;;	Batanes		North Pacific Ocean	1985	71f7282b-4fac-4fef-b83c-bd64eb06fa46	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1.5	486259200000	486259200000	486259200000	1985	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus paradigitatus	2	1065	1274	1302	1358	379601	379610	14469	134592	239511	239511	Anoplodactylus paradigitatus	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-117	-684	27.72	34.38								
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	228548.180709	Invertebrate Zoology: Crustacea	Philippines	26	9.3277797699	123.31388855	observedindividualcount=1;	1978-06-26T12:00:00Z	Child, C. Allan	1.0	USNM		Negros Island, Bantayan, Silliman University Lab Beach	2.0	2.0	6	Alcohol (Ethanol)	Smithsonian Oceanographic Sorting Center	Anoplodactylus paradigitatus	Child	urn:lsid:marinespecies.org:taxname:239511	male	Negros Oriental	Holotype	North Pacific Ocean	1978	8165cf81-96db-447d-a01f-a37b0864d18d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2.0	267667200000	267667200000	267667200000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus paradigitatus	2	1065	1274	1302	1358	379601	379610	14469	134592	239511	239511	Anoplodactylus paradigitatus	[]	-2	336	28.45	32.75								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus paradigitatus</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239511	sm_id_1630	WoRMS type localities		26	9.33	123.31		1978-06-26			WoRMS Editorial Board		Bohol Sea		2.0	6			Anoplodactylus paradigitatus	Child, 1988	urn:lsid:marinespecies.org:taxname:239511			holotype		1978	a2f97459-9e4d-4aeb-868b-1dabc8c131ca	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	2.0	267667200000	267667200000	267667200000	1978	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus paradigitatus	2	1065	1274	1302	1358	379601	379610	14469	134592	239511	239511	Anoplodactylus paradigitatus	['ON_LAND']	-2	-19	28.45	32.75	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1630	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1630	paradigitatus	Biota	1.0
