associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	typeStatus	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234692.186416	Invertebrate Zoology: Crustacea	7	-54.8250007629	-129.783004761	observedindividualcount=7;	1964-11-07T12:00:00Z	Child, C. Allan	7.0	USNM	Southeast Pacific Basin, NW Of Amundsen Sea	11	Alcohol (Ethanol)	University of Southern California	Colossendeis brevirostris	Child	urn:lsid:marinespecies.org:taxname:173165	Paratype	South Pacific Ocean	1964	2aaaa952-9960-4c62-9c59-5a4e2d2b5e7c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-162518400000.0	-162518400000.0	-162518400000.0	1964.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis brevirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173165	173165	Colossendeis brevirostris	['NO_DEPTH']	718	2046007	5.63	34.05			
	HumanObservation		23453	SOMBASE Pycnogonids		-54.8333015442	-129.833297729					BAS					Colossendeis brevirostris		urn:lsid:marinespecies.org:taxname:173165				9575bd3d-c9cd-42de-9220-04993bdca2be	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis brevirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173165	173165	Colossendeis brevirostris	[]	1687	2045227	5.63	34.05	604.0	567.0	585.5
	HumanObservation		23454	SOMBASE Pycnogonids		-54.8166007996	-129.800003052					BAS					Colossendeis brevirostris		urn:lsid:marinespecies.org:taxname:173165				ab072404-1f88-4d16-9448-f83b12420d6a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis brevirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173165	173165	Colossendeis brevirostris	[]	806	2046988	5.63	34.05	549.0	549.0	549.0
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234693.186417	Invertebrate Zoology: Crustacea	7	-54.8330001831	-129.817001343	observedindividualcount=1;	1964-11-07T12:00:00Z	Child, C. Allan	1.0	USNM	Southeast Pacific Basin, North Of Mundsen Sea	11	Alcohol (Ethanol)	University of Southern California	Colossendeis brevirostris	Child	urn:lsid:marinespecies.org:taxname:173165	Paratype	South Pacific Ocean	1964	fb007d57-a801-4322-98ac-496c2ab5047d	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-162518400000.0	-162518400000.0	-162518400000.0	1964.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis brevirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173165	173165	Colossendeis brevirostris	['NO_DEPTH']	1441	2045214	5.63	34.05			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234691.186415	Invertebrate Zoology: Crustacea	7	-54.8250007629	-129.783004761	observedindividualcount=1;	1964-11-07T12:00:00Z	Child, C. Allan	1.0	USNM	Southeast Pacific Basin, NW Of Amundsen Sea	11	Alcohol (Ethanol)	University of Southern California	Colossendeis brevirostris	Child	urn:lsid:marinespecies.org:taxname:173165	Holotype	South Pacific Ocean	1964	fcf612ee-6d57-4996-a7f8-3b44ae61d64e	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-162518400000.0	-162518400000.0	-162518400000.0	1964.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis brevirostris	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	173165	173165	Colossendeis brevirostris	['NO_DEPTH']	718	2046007	5.63	34.05			
