associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	stateProvince	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234655.186396	Invertebrate Zoology: Crustacea	United States	28	51.71667099	177.321670532	observedindividualcount=1;	1983-07-28T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Aleutian Islands, Rat Islands, Kiska Island, S Of Island	567	567	7	Alcohol (Ethanol)	Colossendeis dalli	Child	urn:lsid:marinespecies.org:taxname:239459	Alaska	Paratype	North Pacific Ocean	1983	b9c03133-686a-4cae-91cf-2086b9f29d2b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	567	428198400000	428198400000	428198400000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis dalli	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239459	239459	Colossendeis dalli	[]	515	10126	5.36	32.76
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	234654.186395	Invertebrate Zoology: Crustacea	United States	28	51.5433311462	177.321670532	observedindividualcount=1;	1983-07-28T12:00:00Z	Bowman, Thomas E.	1.0	USNM	Aleutian Islands, Rat Islands, Kiska Island	377	377	7	Alcohol (Ethanol)	Colossendeis dalli	Child	urn:lsid:marinespecies.org:taxname:239459	Alaska	Holotype	North Pacific Ocean	1983	c7ac6347-a57a-4956-ab34-ddd3a7c387ff	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	377	428198400000	428198400000	428198400000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis dalli	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239459	239459	Colossendeis dalli	[]	2068	29368	5.46	32.72
