basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	associatedReferences	dynamicProperties	identifiedBy	individualCount	preparations	sex	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus antipodus</i> Child, 1987. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239984	sm_id_1680	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	15	-49.35	-172.27	1966-11-15	Ascorhynchidae	Ascorhynchus	WoRMS Editorial Board	Animalia	South West Pacific Basin	5340	2007-06-20 15:52:33	11	WoRMS Editorial Board:WoRMS type localities:sm_id_1680	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1680	Ascorhynchus antipodus	Child, 1987	urn:lsid:marinespecies.org:taxname:239984	antipodus	holotype	1966	987253f9-50d5-4483-8d77-3376d987d826	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	5340	-98755200000.0	-98755200000.0	-98755200000.0	1966.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus antipodus	1.0	2	1065	1274	1302	1358	379601	379608	379788	134571	239984	239984	Ascorhynchus antipodus	[]	5448	620294	10.74	34.52								
HumanObservation		39641	Pycnogonida	SOMBASE Pycnogonids			-49.3499984741	-172.266601562		Ascorhynchidae	Ascorhynchus	BAS	Animalia		5340					Pantopoda	Arthropoda		Ascorhynchus antipodus		urn:lsid:marinespecies.org:taxname:239984				db44ae06-0f0b-49c4-a435-9eae15a71771	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5340					False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus antipodus		2	1065	1274	1302	1358	379601	379608	379788	134571	239984	239984	Ascorhynchus antipodus	[]	5438	620407	10.74	34.52	5340.0							
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233600.185508	Pycnogonida	Invertebrate Zoology: Crustacea		15	-49.3499984741	-172.266998291	1966-11-15T12:00:00Z	Ascorhynchidae	Ascorhynchus	USNM	Animalia	Southwest Pacific Basin, E Of Antipodes Islands	5340		11			Pantopoda	Arthropoda		Ascorhynchus antipodus	Child	urn:lsid:marinespecies.org:taxname:239984		Holotype	1966	f95d0dbd-4238-4afc-b38c-f8e561158b29	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5340	-98755200000.0	-98755200000.0	-98755200000.0	1966.0	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ascorhynchus antipodus		2	1065	1274	1302	1358	379601	379608	379788	134571	239984	239984	Ascorhynchus antipodus	[]	5443	620394	10.74	34.52	5340.0	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;	Child, C. Allan	1.0	Alcohol (Ethanol)	female	South Pacific Ocean
