basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	coordinateUncertaintyInMeters	eventDate	footprintWKT	sex	specificEpithet	taxonRank	date_start	date_mid	date_end	date_year	datasetName	day	eventID	eventTime	fieldNumber	footprintSRS	identifiedBy	language	month	recordedBy	samplingProtocol	year	countryCode	geodeticDatum	individualCount	license	references	scientificNameAuthorship	verbatimLocality	waterBody
Occurrence	Stock JH (1997). Musorstom 18(176): 271-335.	43744	NewCaledonia	Vanuatu	https://marineinfo.org/id/dataset/3128	-18.8700008392334	168.910003662109	IRD-MNHN	Musorstom 8, CP992	775.0	748.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:43744:0x0930900001000100	present	Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	0d4ce70a-fd64-4a81-9874-5ff6ff45b9e6	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	761.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus	['DEPTH_EXCEEDS_BATH']	613.0	8432	26.78	34.87																															
PreservedSpecimen		P.42788	co113			-18.12932	147.50116	AM	east of Palm Passage			2017-03-02T15:57:39	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.42788	present	Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	1192895b-0d7c-40bb-b201-6fa63da2c0b7	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus	['NO_DEPTH']	952.36	109191	26.49	34.98	0.0896	10000	1988-08-26	POINT (147.50116 -18.12932)	Male	leptorhynchus	species	588556800000.0	588556800000.0	588556800000.0	1988.0																				
HumanObservation		17729	bio_dba		https://marineinfo.org/id/dataset/490	-32.0	13.0		Ride Walvis	3675.0	3675.0	2022-01-18 09:29:51	Ifremer_bio_dba_17729	present	Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	1516c7b8-44cf-458f-9d6c-d3af0938f1b0	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	3675.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus	[]	3673.0	446598	18.32	35.53			1978-12-01T00:00:00+00:00			leptorhynchus		281318400000.0	281318400000.0	281318400000.0	1978.0	Bigood	1	Beam trawl_1978121_CP / CPH-14_NA	00:00:00+00:00	CP / CPH-14	EPSG:4326	STOCK Jan	en	12	SIBUET Myriam	Beam trawl	1978								
PreservedSpecimen		2008-20650	IU			-23.805834	169.818329	MNHN	Ride des Loyauté			2015-06-19T21:23Z	462401538		Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	39dd8b6e-6dde-4be5-9b1b-f80771c23eb5	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus Hoek, P.P.C., 1881	['NO_DEPTH']	669.0	160021	24.27	35.33			1993-11-26T01:00Z	POINT  (169.818329 -23.805834)		leptorhynchus	SPECIES	754272000000.0	754272000000.0	754272000000.0	1993.0		26			BATHUS 3/DW794				11	Bouchet, Richer de Forges-IRD & Warén coll.		1993	NC	WGS84	1	CC_BY_4_0	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20650	Hoek, 1881	Mont J	Pacific Ocean
PreservedSpecimen		2008-20651	IU			-18.872334	168.919327	MNHN	W Erromango			2015-06-19T21:23Z	473961419		Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	41047215-e1c8-43a6-a37f-0fa79b88b7ef	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus Hoek, P.P.C., 1881	['NO_DEPTH']	536.0	7461	26.74	34.88			1994-09-24T02:00Z	POINT  (168.919327 -18.872334)		leptorhynchus	SPECIES	780364800000.0	780364800000.0	780364800000.0	1994.0		24			MUSORSTOM 8/CP992				9	Bouchet & Richer de Forges-IRD coll.		1994	VU	WGS84	1	CC_BY_4_0	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20651	Hoek, 1881		Pacific Ocean
PreservedSpecimen		2012-493	IU			-9.2835	152.286667	MNHN	Au large de Woodlark Islands			2015-08-25T14:39Z	694181315		Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	80010599-47cb-4caa-9e0e-9743d2edc4b1	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus Hoek, P.P.C., 1881	['NO_DEPTH']	867.0	18586	28.68	34.4				POINT  (152.286667 -9.2835)		leptorhynchus	SPECIES									BIOPAPUA/CP3744		Bamber R.			Samadi & Corbari			PG	WGS84	1	CC_BY_4_0	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2012-493	Hoek, 1881		Pacific Ocean
HumanObservation		34353	SOMBASE Pycnogonids			-48.0009994507	-10.0013999939	BAS		3185.0	3185.0				Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	9ecdede8-b79b-4177-845d-0912a6864f40	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	3185.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus	['DEPTH_EXCEEDS_BATH']	2790.0	848419	4.21	33.75																															
Occurrence	Stock JH (1997). Musorstom 18(176): 389-409.	21586	NewCaledonia	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	-23.7999992370605	169.809997558594	IRD-MNHN	Bathus 3, DW794	755.0	751.0	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21586:0x937D170001000500	present	Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	a0261690-cf6b-43d1-a9e3-0cce7b855e08	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	753.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus	[]	649.0	159009	24.27	35.33																															
PreservedSpecimen		2008-20498	IU			-8.536667	160.673828	MNHN	NW Malaita			2015-08-25T14:39Z	462401289		Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	a45f45f4-12c5-4d77-a817-e93e9f74782b	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus Hoek, P.P.C., 1881	['NO_DEPTH']	248.0	3545	29.46	34.42				POINT  (160.673828 -8.536667)		leptorhynchus	SPECIES									SALOMONBOA 3/CP2785		Bamber R.			Richer & Boisselier rec.			SB	WGS84	1	CC_BY_4_0	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20498	Hoek, 1881		Pacific Ocean
PreservedSpecimen		2011-906	IU			-4.6635	151.559326	MNHN	Open Bay			2015-08-25T14:39Z	462401967		Colossendeis leptorhynchus	urn:lsid:marinespecies.org:taxname:239677	d4914fff-e9db-4058-b6aa-8f94e9bb621a	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']		False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Colossendeidoidea	Colossendeidae	Colossendeinae	Colossendeis	Colossendeis leptorhynchus		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239677	239677	Colossendeis leptorhynchus Hoek, P.P.C., 1881	['NO_DEPTH']	433.0	11306	29.81	34.08				POINT  (151.559326 -4.6635)		leptorhynchus	SPECIES									BIOPAPUA/CP3667		Bamber R.			Samadi & Corbari			PG	WGS84	1	CC_BY_4_0	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2011-906	Hoek, 1881		Pacific Ocean
