basisOfRecord	catalogNumber	class	collectionCode	countryCode	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	month	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	occurrenceStatus	startDayOfYear	depth	superdomain	superdomainid	datasetName	eventID	eventTime	footprintSRS	identifiedBy	language	samplingProtocol	bibliographicCitation	country	associatedReferences	dynamicProperties	lifeStage	preparations	sex	stateProvince	coordinatePrecision	verbatimDepth
PreservedSpecimen	2008-20586	Pycnogonida	IU	NC	21	-21.011499	160.953003	1988-07-21T02:00Z	Pallenopsidae	CORAIL 2/DE14	POINT  (160.953003 -21.011499)	Bathypallenopsis	WGS84	1	MNHN	Animalia	CC_BY_4_0	Ride de Lansdowne-Fairway	2015-06-19T21:23Z	7	462403515	Pantopoda	Arthropoda	B. Richer de Forges-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20586	Bathypallenopsis scoparia	(Fage, 1956)	urn:lsid:marinespecies.org:taxname:240259	scoparia	SPECIES	Pacific Ocean	1988	05b76bf3-4fb2-440b-a37d-63621cc7f3f8	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	585446400000.0	585446400000.0	585446400000.0	1988.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Bathypallenopsis scoparia (Fage, 1956)	['NO_DEPTH']	749	152666	25.19	35.28																											
PreservedSpecimen	Gal-II-262	Pycnogonida	Galathea II		15	-4.0	41.450001	1951-03-15	Pallenopsidae			Bathypallenopsis			ZMUC	Animalia		Off Kenya	2007-10-29 18:31:08	3	urn:catalog:ZMUC:Galathea II:Gal-II-262	Pantopoda	Arthropoda	Galathea II Danish Deep Sea Expedition 1950-52		Bathypallenopsis scoparia	Fage	urn:lsid:marinespecies.org:taxname:134738	scoparia			1951	0cc5d464-cdf2-49de-a22e-6370b7fc36c9	3ac81162-1804-43c4-b766-aabe2abcc572	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	-593308800000.0	-593308800000.0	-593308800000.0	1951.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Pallenopsis scoparia	[]	2512	167268	27.65	35.18	1750.0	https://marineinfo.org/id/dataset/2037	1520.0	1520.0	L'animal a perdu les trois paires de pattes post+¬rieures. Record published in http://www.zmuc.dk/InverWeb/Galathea/Pdf_filer/Volume_02/galathea-vol.02-pp_167-182.pdf	present	74	1520.0	Biota	1.0																	
HumanObservation	25218	Pycnogonida	bio_dba		1	35.0	-5.0	1984-06-01T00:00:00+00:00	Pallenopsidae	DR/D-153		Bathypallenopsis				Animalia		Detroit de Gibraltar	2022-01-18 09:29:51	6	Ifremer_bio_dba_25218	Pantopoda	Arthropoda	BOUCHET Philippe		Bathypallenopsis scoparia		urn:lsid:marinespecies.org:taxname:134738	scoparia			1984	26e37f8a-d6e6-4f5d-8d5a-af7c47c7179e	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	454896000000.0	454896000000.0	454896000000.0	1984.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Pallenopsis scoparia	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-1042	-33051			50.0	https://marineinfo.org/id/dataset/490	568.0	568.0		present		568.0	Biota	1.0	Bigood	Rock sledge_198461_DR/D-153_NA	00:00:00+00:00	EPSG:4326	STOCK Jan	en	Rock sledge										
Occurrence	45363	Pycnogonida	NewCaledonia			-16.1700000762939	179.399993896484		Pallenopsidae			Bathypallenopsis			IRD-MNHN	Animalia		Bordau 1, CP1413	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:45363:0xEB92170001000000	Pantopoda	Arthropoda			Bathypallenopsis scoparia		urn:lsid:marinespecies.org:taxname:134738					3ca6f543-16b2-4761-aacb-a03c1785c0f8	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Pallenopsis scoparia	['DEPTH_EXCEEDS_BATH']	370	11760	28.08	34.74		https://marineinfo.org/id/dataset/3128	676.0	669.0		present		672.5	Biota	1.0								Bamber RN (2004). Tropical Deep Sea Benthos 23(191): 73-83.	Fidji								
PreservedSpecimen	216715.170638	Pycnogonida	Invertebrate Zoology: Crustacea		27	25.3680591583	-77.8502807617	1984-10-27T12:00:00Z	Pallenopsidae			Bathypallenopsis		3.0	USNM	Animalia		Northeast Providence Channel, S Of Abaco Island		10		Pantopoda	Arthropoda			Bathypallenopsis scoparia	Fage	urn:lsid:marinespecies.org:taxname:134738			North Atlantic Ocean	1984	3e5c1997-44da-42ab-97fb-c71b0178b990	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	467683200000.0	467683200000.0	467683200000.0	1984.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Pallenopsis (bathypallenopsis) scoparia	[]	793	2972	26.79	36.52			660.0	660.0				660.0							Child, C. Allan			Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Bahamas	National Museum of Natural History, Smithsonian Institution	observedindividualcount=3;	; juvenile	Alcohol (Ethanol)	female;;			
PreservedSpecimen	2007-4739	Pycnogonida	IU	SB		-7.487167	156.278		Pallenopsidae	SALOMON 2/CP2250	POINT  (156.278 -7.487167)	Bathypallenopsis	WGS84	1	MNHN	Animalia	CC_BY_4_0		2015-07-30T20:25Z		440013753	Pantopoda	Arthropoda	Bouchet, Warén & Samadi-IRD	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4739	Bathypallenopsis scoparia	(Fage, 1956)	urn:lsid:marinespecies.org:taxname:240259	scoparia	SPECIES	Pacific Ocean		56df5c85-b787-4425-9262-29b3867e429b	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Bathypallenopsis scoparia (Fage, 1956)	['NO_DEPTH']	960	29098	29.5	34.44															Bamber R.												
PreservedSpecimen	213711.168475	Pycnogonida	Invertebrate Zoology: Crustacea		15	26.2999992371	-96.1330032349	1968-11-15T12:00:00Z	Pallenopsidae			Bathypallenopsis		1.0	USNM	Animalia				11		Pantopoda	Arthropoda			Bathypallenopsis scoparia	Fage	urn:lsid:marinespecies.org:taxname:134738			North Atlantic Ocean	1968	58ace4f0-fd04-4a97-8015-64ff2a12e1f0	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-35596800000.0	-35596800000.0	-35596800000.0	1968.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Pallenopsis (bathypallenopsis) scoparia	[]	753	104664	25.75	35.91			732.0	732.0				732.0							Child, C. Allan			Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;		Alcohol (Ethanol)	female	Texas		
HumanObservation	Spp-43-034_G4	Pycnogonida	B89PII			26.9641723633	-96.0822906494		Pallenopsidae			Bathypallenopsis			HRI	Animalia		WNW  Gulf of Mexico				Pantopoda	Arthropoda			Bathypallenopsis scoparia	Fage,	urn:lsid:marinespecies.org:taxname:134738			Gulf of Mexico		5a168250-4c1c-4dd7-9471-487ca1c1aa6d	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Pallenopsis (bathypallenopsis) scoparia	[]	742	126106	25.67	35.9			732.0	732.0	Database description and disclaimer at: http://gulfbase.org/			732.0	Biota	1.0					Child, C. A.			Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/		Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.						290830.0	732-732
Occurrence	21612	Pycnogonida	NewCaledonia			-21.0100002288818	160.949996948242		Pallenopsidae			Bathypallenopsis			IRD-MNHN	Animalia		Corail 2, DE14	2013-06-11 14:46:43		urn:catalog:IRD-MNHN:NewCaledonia:21612:0x0281170001000100	Pantopoda	Arthropoda			Bathypallenopsis scoparia		urn:lsid:marinespecies.org:taxname:134738					792c5d95-5802-46a9-b8c8-002124fb6221	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Pallenopsis scoparia	[]	737	152426	25.19	35.28		https://marineinfo.org/id/dataset/3128	660.0	650.0		present		655.0	Biota	1.0								Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie								
PreservedSpecimen	1011378.797645	Pycnogonida	Invertebrate Zoology		15	27.517780304	-89.8155593872	1984-11-15T12:00:00Z	Pallenopsidae	MMS-NGOMCS/3367		Bathypallenopsis		1.0	USNM	Animalia		off Louisiana		11		Pantopoda	Arthropoda	LGL Ecological Research Associates For BLM/ MMS		Bathypallenopsis scoparia	Fage	urn:lsid:marinespecies.org:taxname:134738			North Atlantic Ocean	1984	ae828093-9170-408a-8735-8288ec3fc6c2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	469324800000.0	469324800000.0	469324800000.0	1984.0	False	False	True	False	Chelicerata	Eupantopodida	Nymphonoidea	Bathypallenopsis scoparia	2	1065	1274	1302	1358	379601	379609	236317	236477	240259	240259	Pallenopsis (bathypallenopsis) scoparia	[]	1101	161640	25.95	35.65			1064.0	1064.0				1064.0							Child, C. Allan			Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	United States	National Museum of Natural History, Smithsonian Institution	observedindividualcount=1;		Alcohol (Ethanol)	Female	Louisiana		
