basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	locality	modified	occurrenceID	occurrenceStatus	superdomain	superdomainid	continent	coordinateUncertaintyInMeters	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	month	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	year
HumanObservation	34182	SOMBASE Pycnogonids	-43.5532989502	175.973297119	BAS	355	355.0	Pycnosomia asterophila	urn:lsid:marinespecies.org:taxname:240272	65d450b6-b603-45dc-a0b6-c23fbd6de207	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	355.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Pycnosomia	Pycnosomia asterophila	2	1065	1274	1302	1358	379601	379610	14469	236278	240272	240272	Pycnosomia asterophila	[]	352	222237	13.05	34.68																										
Occurrence	35470	NewCaledonia	13.9099998474121	120.470001220703	IRD-MNHN	407	379.0	Pycnosomia asterophila	urn:lsid:marinespecies.org:taxname:240272	91271e68-e8c1-4136-b7a5-cf543ec3739c	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	393.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Pycnosomia	Pycnosomia asterophila	2	1065	1274	1302	1358	379601	379610	14469	236278	240272	240272	Pycnosomia asterophila	[]	377	14239	28.43	32.23	Stock JH (1981). Musorstom 1(1): 309-312.	Philippines	https://marineinfo.org/id/dataset/3128	Musorstom 1, CP42	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:35470:0x9080170001000800	present	Biota	1.0																	
PreservedSpecimen	8055	NIWA	-43.55	175.98	NIWA Invertebrate Collection	766	365.0	Pycnosomia asterophila	urn:lsid:marinespecies.org:taxname:240272	bad4247f-c405-45c2-bb94-04f117e5a093	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	565.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Pycnosomia	Pycnosomia asterophila	2	1065	1274	1302	1358	379601	379610	14469	236278	240272	240272	Pycnosomia asterophila	['DEPTH_EXCEEDS_BATH']	356	222484	13.05	34.68		New Zealand			8/04/2022	5da94c1a-fa36-11e2-96b3-aa6f927c92a3	present			Oceania	500	NIWA Invertebrate Collection	20	20/10/1979	POINT (175.98 -43.55)	WGS84	en	S120	10	Specimen(s), None = 6	NZOI	Trawl, Agassiz medium	Stock, 1981	mixed	asterophila	1979
HumanObservation	34183	SOMBASE Pycnogonids	-43.5499992371	175.979995728	BAS	365	365.0	Pycnosomia asterophila	urn:lsid:marinespecies.org:taxname:240272	d51774f9-3253-4ed6-8684-c35a1fe8c059	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	365.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Pycnosomia	Pycnosomia asterophila	2	1065	1274	1302	1358	379601	379610	14469	236278	240272	240272	Pycnosomia asterophila	[]	355	222484	13.05	34.68																										
PreservedSpecimen	8056	NIWA	-43.5533	175.9733	NIWA Invertebrate Collection	355		Pycnosomia asterophila	urn:lsid:marinespecies.org:taxname:240272	f29303a3-8e86-4b6e-9ed2-aaf473d32939	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	355.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Pycnosomia	Pycnosomia asterophila	2	1065	1274	1302	1358	379601	379610	14469	236278	240272	240272	Pycnosomia asterophila	[]	352	222237	13.05	34.68		New Zealand			8/04/2022	5f67d3c8-fa36-11e2-96b3-aa6f927c92a3	present			Oceania	500	NIWA Invertebrate Collection	21	21/10/1979	POINT (175.9733 -43.5533)	WGS84	en	S129	10	Specimen(s), None = 1			Stock, 1981	juvenile	asterophila	1979
