associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	eventID	fieldNumber	footprintWKT	geodeticDatum	language	modified	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingProtocol	specificEpithet	startDayOfYear	datasetID	dateIdentified	lifeStage	locationID	otherCatalogNumbers	typeStatus	superdomain	superdomainid	taxonRank	continent	recordedBy	taxonRemarks
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233959.286874	Invertebrate Zoology: Crustacea	Antarctica	23	-71.9169998169	-15.5830001831	observedindividualcount=1;	1959-01-23T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	W Of Cape Norvegia	1281.0	1281.0	1	Alcohol (Ethanol)	Austropallene cornigera	(Mobius)	urn:lsid:marinespecies.org:taxname:173040	female	Antarctic Ocean	1959	007c7654-8cd7-4241-8b9f-32f9bfa9b3a5	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1281.0	-345254400000.0	-345254400000.0	-345254400000.0	1959.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera	['DEPTH_EXCEEDS_BATH']	351	27036	-1.7	33.85																										
	HumanObservation	Austropallene cornigera (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:654)	TN Stn. 314 Austropallene cornigera	MBIS Terra Nova Expedition		23	-77.5902	166.2607	SurfaceTemperatureInC=0.5	1911-01-23		6	TN	5 miles N. of Inaccessible Island, McMurdo Sound	441.0	406.0	1		Austropallene cornigera	(Möbius, 1902)	urn:lsid:marinespecies.org:taxname:173040	f	Southern Ocean	1911	00f98688-bab2-45f9-b83f-865a9d8c2dac	159421b6-a764-4af1-9cc3-bc652dbeb12e	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	423.5	-1860019200000.0	-1860019200000.0	-1860019200000.0	1911.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera	['DEPTH_EXCEEDS_BATH']	5	987	-1.68	34.3	500	British Antarctic (Terra Nova) Expedition Zoology	314	Stn. 314	POINT (166.2607 -77.5902)	WGS84	en	2014-08-10	urn:NIWA:TerraNovaExp:654	SurfaceTemperatureInC=0.5. GearType=Agassiz trawl	present	GearType=Agassiz trawl	cornigera	23												
	HumanObservation	Neilsen et al. 2009. Polar Biology 32(8): 1147-1155	25	CAML - Neilsen	Antarctica		-71.65722222	170.39166					BAS	Ross Sea		169.0			Austropallene cornigera		urn:lsid:marinespecies.org:taxname:173040				01d05392-f68c-4113-a45a-45f381ad612b	a332dcf7-d54f-475b-b6e4-43d1aa05fe9c	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	169.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-1266	-3882	-1.69	33.87								2010-01-21T00:00	urn:catalog:BAS:CAML - Neilsen:25	GenBankID: FJ969324			cornigera		IMIS:dasid:1967											
	PreservedSpecimen		INV.69072	urn:catalog:RBINS:Pycnogonida		24	-70.334861	24.217778		1961-01-24	Stock Jan Hendrik		RBINS-Scientific Heritage	Antarctica			1	container type: vial; preservation method: alcohol	Austropallene cornigera	(Möbius, 1902)	urn:lsid:marinespecies.org:taxname:173040	unknown		1961	029aa217-fbde-4b49-be6a-b455f46b6452	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		-282009600000.0	-282009600000.0	-282009600000.0	1961.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera (Möbius, 1902)	['NO_DEPTH', 'ON_LAND']	-29	-3653	-1.75	33.32	108.44237476110523	Royal Belgian Institute of Natural Sciences marine Chelicerata collection		22311/st155				2017-10-09 16:13:41	http://collections.naturalsciences.be/specimen/351779		present		cornigera		be_rbins_invertebrates_cheliceratamarine	1963-01	unknown	http://www.geonames.org/6255152	urn:catalog:RBINS:IG:22311	specimen	Biota	1.0				
	PreservedSpecimen		P.11145	co113			-66.14166	94.35		1914-01-27			AM	Davis Sea, Antarctica					Austropallene cornigera		urn:lsid:marinespecies.org:taxname:173040				02a388e0-08f0-4b5c-ba35-e8a3f7f98dc4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		-1764979200000.0	-1764979200000.0	-1764979200000.0	1914.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera	['NO_DEPTH']	202	23560	-1.54	33.69	10000				POINT ( 94.35000 -66.14166)			2017-03-02T11:18:53	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.11145		present		cornigera										species			
	PreservedSpecimen		8906	NIWA	Ross Dependency	11	-76.6998333	179.7331667		11/01/1959			NIWA Invertebrate Collection		464.0	370.0	1	Specimen(s), None = 1	Austropallene cornigera	(Möbius, 1902)	urn:lsid:marinespecies.org:taxname:173040			1959	0356ccd8-1e17-4148-af2b-b9ea73659d31	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	417.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera	[]	482	115842	-1.59	34.14	500	NIWA Invertebrate Collection			LINESTRING (179.7331667 -76.6998333, 179.8831667 -76.5998333)	WGS84	en	8/04/2022	5ff2620e-fa36-11e2-96b3-aa6f927c92a3		present	Trawl, Agassiz small	cornigera					A450_Trawl						Antarctica	NZOI	
	HumanObservation		39440	SOMBASE Pycnogonids			-71.1333007812	-11.5165996552					BAS		123.0	118.0			Austropallene cornigera		urn:lsid:marinespecies.org:taxname:173040				036fa010-5a94-4991-bd9b-b50abb6da1c4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	120.5					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera	[]	120	2229	-1.72	33.76																										
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233971.286886	Invertebrate Zoology: Crustacea	Antarctica		-66.25	110.25	observedindividualcount=1;	1962-01-16T12:00:00Z	Hedgpeth, J. W.	1.0	USNM	Wilkes Land, Vincennes Bay, Wilkes Station			1	Alcohol (Ethanol)	Austropallene cornigera	(Mobius)	urn:lsid:marinespecies.org:taxname:173040	male	Antarctic Ocean	1962	042638b0-a690-4d4d-8122-46e665e09e88	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-251164800000.0	-251164800000.0	-251164800000.0	1962.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera	['NO_DEPTH']	271	3255	-1.65	33.51																									Virginia Institute of Marine Sciences	
	HumanObservation	Austropallene cornigera (MBIS BioRoss 2048)	TAN0402/151 Austropallene cornigera	MBIS BioRoss		26	-71.997167	172.124		2004-02-26T11:58+12	Johanna Nielsen	1	NIWA	Ross 1	512.0	512.0	2		Austropallene cornigera	(Möbius, 1902)	urn:lsid:marinespecies.org:taxname:173040		Southern Ocean	2004	0488d64f-6e10-4d81-a787-95d93909c522	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	512.0	1077753600000.0	1077753600000.0	1077753600000.0	2004.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera	[]	513	33602	-1.64	34.12	30			TAN0402/151	POINT (172.124 -71.997167)	WGS84	en	2013-11-03	2048	GearType= Van Veen Grab	present	Van Veen grab	cornigera	57		2005-06-20										Austropallene cornigera
	HumanObservation		24162	SOMBASE Pycnogonids			-73.8165969849	-178.216598511					BAS		503.0	495.0			Austropallene cornigera		urn:lsid:marinespecies.org:taxname:173040				0500d861-d76b-48f4-b8ef-aea382593e11	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	499.0					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Austropallene	Austropallene cornigera	2	1065	1274	1302	1358	379601	379609	1564	173034	173040	173040	Austropallene cornigera	[]	509	370316	-1.65	34.04																										
