basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	datasetName	eventID	eventTime	fieldNumber	footprintSRS	identifiedBy	language	recordedBy	samplingProtocol	habitat	identificationRemarks	identificationVerificationStatus	individualCount	occurrenceRemarks	verbatimIdentification
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Cilunculus europaeus</i> Stock, 1978. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134628	sm_id_1836	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	16	44.11	-4.49	1971-10-16	Ammotheidae	Cilunculus	WoRMS Editorial Board	Animalia	Bay of Biscay	910	860	2007-06-20 15:52:33	10	WoRMS Editorial Board:WoRMS type localities:sm_id_1836	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1836	Cilunculus europaeus	Stock, 1978	urn:lsid:marinespecies.org:taxname:134628	europaeus	holotype	1971	14fd59b9-9293-4f88-a835-aa32760be8ce	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	885.0	56419200000	56419200000	56419200000	1971	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	[]	1136.4	78540	16.44	35.59																
HumanObservation		31469	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	47.0	-8.0	1973-10-01T00:00:00+00:00	Ammotheidae	Cilunculus		Animalia	Golfe de Gascogne	1055	1055	2022-01-18 09:29:51	10	Ifremer_bio_dba_31469	present	Pantopoda	Arthropoda		Cilunculus europaeus		urn:lsid:marinespecies.org:taxname:134628	europaeus		1973	2a8bc9b0-91e8-41d4-9ef5-dbfd85f2319c	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1055.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	[]	4442.0	261836	14.83	35.65	50.0	Bigood	Boillot sledge small_1973101_DR-BOILp-406_NA	00:00:00+00:00	DR-BOILp-406	EPSG:4326	STOCK Jan	en	CABIOCH Louis	Boillot sledge small						
PreservedSpecimen		24236	Pycnogonida	SeamountsOnline			42.87	-11.84	1987-10-20	Ammotheidae	Cilunculus	SCSD	Animalia	Galicia Bank	1000	985			SeamountsOnline_urn:lsid:marinespecies.org:taxname:134628_24236	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Cilunculus europaeus	Stock, 1978	urn:lsid:marinespecies.org:taxname:134628				2ce73308-8939-4e57-8757-0159badd59ce	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	992.5	561686400000	561686400000	561686400000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	[]	1089.2	207091	16.03	35.83			SCSD_SeamountsOnline_Galicia_Bank_537856		Station DW116		Jan H. Stock				benthic/near bottom	WoRMS Match Type: exact	Validated	4	NA | NA	Cilunculus europaeus Stock, 1978
PreservedSpecimen		24235	Pycnogonida	SeamountsOnline			42.84	-11.88	1987-10-19	Ammotheidae	Cilunculus	SCSD	Animalia	Galicia Bank	1125	1110			SeamountsOnline_urn:lsid:marinespecies.org:taxname:134628_24235	present	Pantopoda	Arthropoda	[Anon.] 2006 Electronic Dataset of Stations Sampled on the Seamount 1 Expedition Provided by Serge Gofas 3/2006	Cilunculus europaeus	Stock, 1978	urn:lsid:marinespecies.org:taxname:134628				4d33d194-5e87-4988-9a2e-55abfd785091	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	1117.5	561600000000	561600000000	561600000000	1987	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	[]	1152.4	210517	16.03	35.83			SCSD_SeamountsOnline_Galicia_Bank_537852		Station DW108		Jan H. Stock				benthic/near bottom	WoRMS Match Type: exact	Validated	2	NA | NA	Cilunculus europaeus Stock, 1978
HumanObservation		30954	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Ammotheidae	Cilunculus		Animalia	Golfe de Gascogne	865	865	2022-01-18 09:29:51	10	Ifremer_bio_dba_30954	present	Pantopoda	Arthropoda		Cilunculus europaeus		urn:lsid:marinespecies.org:taxname:134628	europaeus		1973	683184c5-2c98-42f0-a7cb-cd4e8f63ec32	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	865.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	[]	2662.4	279564	14.24	35.61	50.0	Bigood	Boillot sledge small_1973101_DR-BOILp-417_NA	00:00:00+00:00	DR-BOILp-417	EPSG:4326	STOCK Jan	en	CABIOCH Louis	Boillot sledge small						
HumanObservation		30808	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Ammotheidae	Cilunculus		Animalia	Golfe de Gascogne	1175	1175	2022-01-18 09:29:51	10	Ifremer_bio_dba_30808	present	Pantopoda	Arthropoda		Cilunculus europaeus		urn:lsid:marinespecies.org:taxname:134628	europaeus		1973	a2211665-02c6-481e-bd2e-c89cc656aa5c	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1175.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	[]	2662.4	279564	14.24	35.61	50.0	Bigood	Boillot sledge small_1973101_DR-BOILp-422_NA	00:00:00+00:00	DR-BOILp-422	EPSG:4326	STOCK Jan	en	CABIOCH Louis	Boillot sledge small						
HumanObservation		30138	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Ammotheidae	Cilunculus		Animalia	Golfe de Gascogne	1050	1050	2022-01-18 09:29:51	10	Ifremer_bio_dba_30138	present	Pantopoda	Arthropoda		Cilunculus europaeus		urn:lsid:marinespecies.org:taxname:134628	europaeus		1973	ac08cdab-966a-4fcd-bf98-50e50d7a35a2	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1050.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	[]	2662.4	279564	14.24	35.61	50.0	Bigood	Boillot sledge small_1973101_DR-BOILp-435_NA	00:00:00+00:00	DR-BOILp-435	EPSG:4326	STOCK Jan	en	CABIOCH Louis	Boillot sledge small						
HumanObservation		30305	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	48.0	-9.0	1973-10-01T00:00:00+00:00	Ammotheidae	Cilunculus		Animalia	Golfe de Gascogne	800	800	2022-01-18 09:29:51	10	Ifremer_bio_dba_30305	present	Pantopoda	Arthropoda		Cilunculus europaeus		urn:lsid:marinespecies.org:taxname:134628	europaeus		1973	b30ab817-f002-4190-8885-7a9e5e55fc79	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	800.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	[]	2662.4	279564	14.24	35.61	50.0	Bigood	Boillot sledge small_1973101_DR-BOILp-431_NA	00:00:00+00:00	DR-BOILp-431	EPSG:4326	STOCK Jan	en	CABIOCH Louis	Boillot sledge small						
HumanObservation		29617	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	48.0	-11.0	1973-10-01T00:00:00+00:00	Ammotheidae	Cilunculus		Animalia	Golfe de Gascogne	660	660	2022-01-18 09:29:51	10	Ifremer_bio_dba_29617	present	Pantopoda	Arthropoda		Cilunculus europaeus		urn:lsid:marinespecies.org:taxname:134628	europaeus		1973	dabc99ad-9ab8-4e04-ab97-f8b94b394efd	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	660.0	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	[]	3844.0	389959	14.45	35.64	50.0	Bigood	Boillot sledge small_1973101_DR-BOILp-443_NA	00:00:00+00:00	DR-BOILp-443	EPSG:4326	STOCK Jan	en	CABIOCH Louis	Boillot sledge small						
HumanObservation		25759	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	1	36.0	-7.0	1984-06-01T00:00:00+00:00	Ammotheidae	Cilunculus		Animalia	Detroit de Gibraltar	1182	1182	2022-01-18 09:29:51	6	Ifremer_bio_dba_25759	present	Pantopoda	Arthropoda		Cilunculus europaeus		urn:lsid:marinespecies.org:taxname:134628	europaeus		1984	dde4c538-d323-4820-9a0c-ee66c7429455	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1182.0	454896000000	454896000000	454896000000	1984	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Cilunculus europaeus	1	2	1065	1274	1302	1358	379601	379608	1562	134572	134628	134628	Cilunculus europaeus	['DEPTH_EXCEEDS_BATH']	812.4	81646	19.55	36.16		Bigood	Beam trawl_198461_CP / CPH-109_NA	00:00:00+00:00	CP / CPH-109	EPSG:4326	STOCK Jan	en	BOUCHET Philippe	Beam trawl						
