basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon stocki</i> Utinomi, 1955. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173513	sm_id_2077	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	18	32.17	128.78	1929-07-18	Nymphonidae	Nymphon	WoRMS Editorial Board	Animalia	East China Sea	324	2007-06-20 15:52:33	7	WoRMS Editorial Board:WoRMS type localities:sm_id_2077	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=2077	Nymphon stocki	Utinomi, 1955	urn:lsid:marinespecies.org:taxname:173513	stocki	holotype	1929	ab2a4f54-c635-46bf-b5a4-369ede534d19	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	324	-1276732800000.0	-1276732800000.0	-1276732800000.0	1929.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon stocki	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173513	173513	Nymphon stocki	[]	335	36105	22.08	34.05	
HumanObservation		37124	Pycnogonida	SOMBASE Pycnogonids			-53.2832984924	-54.9000015259		Nymphonidae	Nymphon	BAS	Animalia		2960					Pantopoda	Arthropoda		Nymphon stocki		urn:lsid:marinespecies.org:taxname:173513				b3c827a6-b071-48c1-8899-2b84d4b57a2c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	2970					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon stocki		2	1065	1274	1302	1358	379601	379609	1566	134591	173513	173513	Nymphon stocki	[]	3052	259841	5.16	34.01	2980.0
