basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	country	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	eventRemarks	family	fieldNumber	genus	habitat	higherClassification	higherGeography	identifiedBy	institutionCode	institutionID	kingdom	language	license	locality	locationID	minimumDepthInMeters	modified	month	nomenclaturalCode	occurrenceID	occurrenceRemarks	order	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	specificEpithet	startDayOfYear	stateProvince	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	occurrenceStatus	references	scientificNameID	typeStatus	coordinateUncertaintyInMeters	footprintWKT	subspecies	subspeciesid
PreservedSpecimen	10248	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	Mexico	1979-11	26	31.341667	-113.658333	1966-12-26	Coll. at 1400 hrs. Data transcribed from catalogue card by Notes from Nature volunteers via Zooniverse.	Ammotheidae	160822	Tanystylum	gorgonians	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, Mexico, Gulf of California	C.A. Child	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	off Cholla	4711d45b-637e-4f7e-abca-3f416b85a9ab	16.76	2024-03-08 17:12:26	12	ICZN	urn:catalog:CAS:IZ:10248	female	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	"T.A. Burch, ""Janthina V"""	Tanystylum isthmiacum	Stock, 1955	isthmiacum	360	Sonora	species	Physical Object	26 Dec 1966	31° 20.5' N	113° 39.5' W	1966	13f2aca9-97e6-414c-9a56-25b05423018f	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	16.76	-95212800000.0	-95212800000.0	-95212800000.0	1966.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum isthmiacum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	240273	240273	Tanystylum isthmiacum	[]	4	1385	23.68	35.56										
PreservedSpecimen	sm_id_1428	Pycnogonida	WoRMS type localities					27	8.8	-79.52	1915-11-27		Ammotheidae		Tanystylum					WoRMS Editorial Board		Animalia			Pacific Ocean		5.0	2007-06-20 15:52:33	11		WoRMS Editorial Board:WoRMS type localities:sm_id_1428		Pantopoda	Arthropoda			Tanystylum isthmiacum	Stock, 1955	isthmiacum								1915	16624145-6395-4bf1-bf41-cf74315ce13c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	5.0	-1707177600000.0	-1707177600000.0	-1707177600000.0	1915.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum isthmiacum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	240273	240273	Tanystylum isthmiacum	[]	27	185	27.58	31.04	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Tanystylum isthmiacum</i> Stock, 1955. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240273	https://marineinfo.org/id/dataset/5184	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1428	urn:lsid:marinespecies.org:taxname:240273	holotype				
PreservedSpecimen	10251	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	Mexico	1979-11	1	31.325	-113.7566666667	1968-06-01		Ammotheidae	053703	Tanystylum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, Mexico, Gulf of California	C.A. Child	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	off Choya Bay	064b6dc4-2598-11ed-aace-005056be1b7a	17.37		6	ICZN	urn:catalog:CAS:IZ:10251	3 ovigerous males + 2 males + 4 females, + 1 juvenile. see also CASIZ 019637	Pantopoda	Arthropoda	Fluid-75% EtOH(10)	"Thomas A. Burch aboard R/V ""Janthina V"""	Tanystylum isthmiacum	Stock, 1955	isthmiacum	153	Sonora	species	Physical Object	01 Jun 1968	31° 19.5' N	113° 45.4' W	1968	26f18c0b-bde8-4f4b-8e6c-17d0f4fcd5ad	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	17.37	-50025600000.0	-50025600000.0	-50025600000.0	1968.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum isthmiacum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	240273	240273	Tanystylum isthmiacum	[]	12	10903	23.57	35.55										
Occurrence	CNP-MARINEINVER-3014	Pycnogonida	CNP-MARINEINVER			Uruguay			-34.349998	-55.939999			Ammotheidae		Tanystylum					CENPAT-CONICET		Animalia			Costa uruguaya			2015-09-01T09:17:00			urn:catalog:CENPAT-CONICET:CNP-MARINEINVER:CNP-MARINEINVER-3014		Pantopoda	Arthropoda			Tanystylum isthmiacum difficile	Stock, 1966										4ef09a60-74b4-44d0-a797-2bc3a4165cd9	b1f8bc4c-5427-40c8-8728-aad4d463b944	['464a96d8-c17e-4bbb-b6b8-778e1fb687c4']						False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum isthmiacum		2	1065	1274	1302	1358	379601	379608	1562	134577	240273	379581	Tanystylum isthmiacum difficile	['NO_DEPTH', 'ON_LAND']	-41	-111366			Scarabino, F., 2006. Faunistica y taxonomia de invertebrados bentonicos marinos y estuarinos de la costa uruguaya. In Bases para la conservacion y el manejo de la costa uruguaya, (eds. R. Menafra, L. Rodriguez-Gallego, F. Scarabino and D. Conde), pp. 143-156. Montevideo: Vida Silvestre Uruguay.						235454	POLYGON ((-58.400002 -33.75, -53.48 -33.75, -53.48 -34.950001, -58.400002 -34.950001, -58.400002 -33.75))	Tanystylum isthmiacum difficile	379581.0
PreservedSpecimen	10250	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	Mexico	1979-11	23	31.335	-113.635	1967-02-23	Data transcribed from catalogue card by Notes from Nature volunteers via Zooniverse.	Ammotheidae	160823	Tanystylum		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, Mexico, Gulf of California	C.A. Child	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	Pelican Point	62c152a5-624e-417b-b60a-4345d0e2dc4d		2024-03-08 17:12:26	2	ICZN	urn:catalog:CAS:IZ:10250	ovigerous female. See also IZ Cat# 019638	Pantopoda	Arthropoda	Fluid-75% EtOH(1)	Thomas A. Burch	Tanystylum isthmiacum	Stock, 1955	isthmiacum	54	Sonora	species	Physical Object	23 Feb 1967	"31° 20' 6"" N"	"113° 38' 6"" W"	1967	738149ea-7326-4988-9435-66e12af1e7b1	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']		-90115200000.0	-90115200000.0	-90115200000.0	1967.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum isthmiacum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	240273	240273	Tanystylum isthmiacum	['NO_DEPTH']	-5	82	23.68	35.56										
PreservedSpecimen	10249	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	Mexico	1979-11	5	31.3566666667	-113.69	1967-02-05	Air = 20, water = 16 degrees C.	Ammotheidae	023856	Tanystylum	sand,gorgonians	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, Mexico, Gulf of California	C.A. Child	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	Adair Bay	05d2617e-2598-11ed-aace-005056be1b7a	15.24		2	ICZN	urn:catalog:CAS:IZ:10249	three males + 1 female + 1 juvenile	Pantopoda	Arthropoda	Fluid-75% EtOH(5)	Thomas A. Burch	Tanystylum isthmiacum	Stock, 1955	isthmiacum	36	Sonora	species	Physical Object	5 Feb 1967	31° 21.4' N	113° 41.4' W	1967	8dffe1c0-ad1a-48e9-add7-83c16dd3fc84	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	15.24	-91670400000.0	-91670400000.0	-91670400000.0	1967.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum isthmiacum	1.0	2	1065	1274	1302	1358	379601	379608	1562	134577	240273	240273	Tanystylum isthmiacum	[]	4	4630	23.63	35.52										
