basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	scientificNameAuthorship	sex	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year
HumanObservation	39639	SOMBASE Pycnogonids	-49.6665992737	178.883300781	BAS	540	476	Anoplodactylus laciniosus	urn:lsid:marinespecies.org:taxname:239409	0610793c-8775-425c-b4b6-c03adb12c559	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	508	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus laciniosus	2	1065	1274	1302	1358	379601	379610	14469	134592	239409	239409	Anoplodactylus laciniosus	['DEPTH_EXCEEDS_BATH']	157	4806	7.79	34.2																				
PreservedSpecimen	234627.186372	Invertebrate Zoology: Crustacea	-49.6669998169	178.882995605	USNM	540	476	Anoplodactylus laciniosus	urn:lsid:marinespecies.org:taxname:239409	36fed0eb-369b-4125-b952-82c83591444c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	508	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus laciniosus	2	1065	1274	1302	1358	379601	379610	14469	134592	239409	239409	Anoplodactylus laciniosus	['DEPTH_EXCEEDS_BATH']	112	4803	7.77	34.19	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	New Zealand	3	observedindividualcount=1;	1967-01-03T12:00:00Z	Bowman, Thomas E.	1.0	New Zealand Plateau, Off Antipodes Islands	1	Alcohol (Ethanol)	Child	male	Holotype	South Pacific Ocean	1967	-94521600000.0	-94521600000.0	-94521600000.0	1967.0
