basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	day	dynamicProperties	eventDate	identifiedBy	individualCount	locality	month	preparations	scientificNameAuthorship	sex	typeStatus	waterBody	year	date_start	date_mid	date_end	date_year	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid	fieldNumber	recordedBy	lifeStage
HumanObservation	21978	SOMBASE Pycnogonids	-60.948299408	-44.6032981873	BAS	234	225	Ammothea gordonae	urn:lsid:marinespecies.org:taxname:172919	3c5093e4-a334-4f31-99a5-750ca2d89a41	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	229.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gordonae	2	1065	1274	1302	1358	379601	379608	1562	134569	172919	172919	Ammothea gordonae	[]	234	18513	-1.02	33.77																															
PreservedSpecimen	234622.286914	Invertebrate Zoology: Crustacea	-72.1669998169	171.367004395	USNM	454	448	Ammothea gordonae	urn:lsid:marinespecies.org:taxname:172919	42971ae2-5d8c-4131-93d7-55d107ba79ca	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	451.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gordonae	2	1065	1274	1302	1358	379601	379608	1562	134569	172919	172919	Ammothea gordonae	[]	430	21387	-1.68	33.83	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	14	observedindividualcount=1;	1967-01-14T12:00:00Z	Child, C. Allan	1.0	Off Cape Adare	1	Alcohol (Ethanol)	Child	female	Paratype	Antarctic Ocean	1967	-93571200000.0	-93571200000.0	-93571200000.0	1967.0											
HumanObservation	21977	SOMBASE Pycnogonids	-72.0832977295	172.133300781	BAS	352	348	Ammothea gordonae	urn:lsid:marinespecies.org:taxname:172919	45e3675b-d785-4145-8259-be29d312a106	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	350.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gordonae	2	1065	1274	1302	1358	379601	379608	1562	134569	172919	172919	Ammothea gordonae	[]	358	35513	-1.65	34.12																															
HumanObservation	21976	SOMBASE Pycnogonids	-75.1666030884	-176.216598511	BAS	732	728	Ammothea gordonae	urn:lsid:marinespecies.org:taxname:172919	526365fc-c4bc-4cfe-850b-fe75fd997241	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	730.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gordonae	2	1065	1274	1302	1358	379601	379608	1562	134569	172919	172919	Ammothea gordonae	[]	824	295109	-1.68	34.08																															
PreservedSpecimen	sm_id_1503	WoRMS type localities	-72.17	171.37	WoRMS Editorial Board	454	448	Ammothea gordonae	urn:lsid:marinespecies.org:taxname:172919	657f7c6b-4375-4f68-9148-05151e13c73c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	451.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gordonae	2	1065	1274	1302	1358	379601	379608	1562	134569	172919	172919	Ammothea gordonae	[]	430	21735	-1.68	33.83		Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothea gordonae</i> Child, 1994. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=172919		14		1967-01-14			Ross Sea	1		Child, 1994		holotype		1967	-93571200000.0	-93571200000.0	-93571200000.0	1967.0	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_1503	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=1503	gordonae	Biota	1.0			
PreservedSpecimen	1123307.943420	Invertebrate Zoology	-72.0830001831	172.141998291	USNM	352	348	Ammothea gordonae	urn:lsid:marinespecies.org:taxname:172919	76decad8-d5bc-4eab-98c5-04b31d6ab235	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	350.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gordonae	2	1065	1274	1302	1358	379601	379608	1562	134569	172919	172919	Ammothea gordonae	[]	358	35787	-1.65	34.12	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	10	observedindividualcount=1;	1968-01-10T12:00:00Z	Child, C. Allan	1.0	Victoria Land	1	Alcohol (Ethanol)	Child			Antarctic Ocean	1968	-62380800000.0	-62380800000.0	-62380800000.0	1968.0									USARP/EL/32/1996/USC	University of Southern California	
PreservedSpecimen	234623.286915	Invertebrate Zoology: Crustacea	-75.1669998169	-176.216995239	USNM	732	728	Ammothea gordonae	urn:lsid:marinespecies.org:taxname:172919	c3172f10-c7e6-44a9-bb34-43837118b837	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	730.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gordonae	2	1065	1274	1302	1358	379601	379608	1562	134569	172919	172919	Ammothea gordonae	[]	747	295063	-1.68	34.08	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	27	observedindividualcount=3;	1967-01-27T12:00:00Z	Child, C. Allan	3.0	Victoria Land, Moubray Pennell Bank	1	Alcohol (Ethanol)	Child	male; female;;	Paratype	Antarctic Ocean	1967	-92448000000.0	-92448000000.0	-92448000000.0	1967.0											;; juvenile
HumanObservation	21975	SOMBASE Pycnogonids	-72.1666030884	171.366592407	BAS	454	448	Ammothea gordonae	urn:lsid:marinespecies.org:taxname:172919	c545f8e2-688e-405d-845c-14400310105a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	451.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gordonae	2	1065	1274	1302	1358	379601	379608	1562	134569	172919	172919	Ammothea gordonae	[]	434	21341	-1.67	33.86																															
PreservedSpecimen	234621.286913	Invertebrate Zoology: Crustacea	-72.1669998169	171.367004395	USNM	452	448	Ammothea gordonae	urn:lsid:marinespecies.org:taxname:172919	c7cf3bd0-af41-4a59-bba4-e9ae965d59c9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	450.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Ammothea	Ammothea gordonae	2	1065	1274	1302	1358	379601	379608	1562	134569	172919	172919	Ammothea gordonae	[]	430	21387	-1.68	33.83	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Antarctica	14	observedindividualcount=1;	1967-01-14T12:00:00Z	Child, C. Allan	1.0	Off Cape Adare	1	Alcohol (Ethanol)	Child	male	Holotype	Antarctic Ocean	1967	-93571200000.0	-93571200000.0	-93571200000.0	1967.0											
