basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetName	day	eventID	eventTime	fieldNumber	footprintSRS	identifiedBy	language	maximumDepthInMeters	occurrenceRemarks	recordedBy	samplingProtocol
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon tubiferum</i> Stock, 1978. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=134713	sm_id_1160	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	40.55	-9.4	1972-09	Nymphonidae	Nymphon	WoRMS Editorial Board	Animalia	Atlantic Ocean	740	2007-06-20 15:52:33	9	WoRMS Editorial Board:WoRMS type localities:sm_id_1160	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=1160	Nymphon tubiferum	Stock, 1978	urn:lsid:marinespecies.org:taxname:134713	tubiferum	holotype	1972	3fef1639-88f2-4309-9c84-87c518165a60	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	740	84153600000	85363200000	86659200000	1972	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tubiferum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134713	134713	Nymphon tubiferum	[]	871.6	51315	16.62	35.39												
HumanObservation		101281	Pycnogonida	bio_dba	https://marineinfo.org/id/dataset/490	47.0	-8.0	1973-10-01T00:00:00+00:00	Nymphonidae	Nymphon		Animalia	Golfe de Gascogne	1085	2022-01-18 09:29:51	10	Ifremer_bio_dba_101281	present	Pantopoda	Arthropoda		Nymphon tubiferum		urn:lsid:marinespecies.org:taxname:134713	tubiferum		1973	7b66d5ac-cbb0-4656-9b98-5c84a264030c	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1085	118281600000	118281600000	118281600000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon tubiferum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134713	134713	Nymphon tubiferum	[]	4442.0	261836	14.83	35.65	Bigood	1	Beam trawl_1973101_CP / CPH-407_NA	00:00:00+00:00	CP / CPH-407	EPSG:4326	STOCK Jan	en	1085.0	holotype	CABIOCH Louis	Beam trawl
