basisOfRecord	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	identifiedByID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	catalogNumber	collectionCode	continent	country	datasetName	georeferenceSources	institutionCode	locationID	modified	recordedBy	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	locality	waterBody	institutionID	sex	startDayOfYear
PreservedSpecimen	Pycnogonida	269	AQ	10	-60.3566	-46.6859	2016-03-10	JR15005	Pycnogonidae	JR15005_63	LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	Pycnogonum	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	Animalia	en	545	442	3	JR15005_1220_04	specimen consumed	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Pycnogonum diceros	Marcus, 1940	urn:lsid:marinespecies.org:taxname:173580	diceros	species	PhysicalObject	10/3/2016	2016	04d88b9b-48c1-45af-9b97-2963076135a4	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	493.5	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	635	22210	-0.87	33.81																			
PreservedSpecimen	Pycnogonida	100		27	-71.512	171.425167	27/02/2004		Pycnogonidae		LINESTRING (171.425167 -71.512, 171.417833 -71.5165)	Pycnogonum	WGS84	Nielsen, Johanna		Animalia	en	390	389	2	3dc4b8d9-529c-4ac6-836e-7bbd5d66da5a		present	Pantopoda			Arthropoda	Specimen(s), Ethanol - no formalin = 1,  BB General Wet Collection	Trawl, Beam	Pycnogonum diceros	Marcus, 1940	urn:lsid:marinespecies.org:taxname:173580	diceros				2004	06766f97-0f04-44c3-8fa7-c530dbaf89e1	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	389.5					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros		2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	400	29340	-1.63	34.07	2508	NIWA	Antarctica	Ross Dependency	NIWA Invertebrate Collection	GPS	NIWA Invertebrate Collection	TAN0402/186	8/04/2022	NIWA; MFish									
HumanObservation	Pycnogonida				-71.3833007812	171.199996948			Pycnogonidae			Pycnogonum				Animalia		357	351					Pantopoda			Arthropoda			Pycnogonum diceros		urn:lsid:marinespecies.org:taxname:173580						0ffa34fd-7e8d-40af-969c-a05e36351d80	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	354.0					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros		2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	436	26523	-1.64	34.07	23986	SOMBASE Pycnogonids					BAS												
PreservedSpecimen	Pycnogonida			14	-71.391998291	171.199996948	1967-01-14T12:00:00Z		Pycnogonidae	USARP/EL/27/1871/USC		Pycnogonum		Child, C. Allan		Animalia		357	351	1				Pantopoda			Arthropoda	Alcohol (Ethanol)		Pycnogonum diceros	Marcus	urn:lsid:marinespecies.org:taxname:173580					1967	112b2a3e-bdb9-48f7-9216-9e0222926598	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	354.0	-93571200000.0	-93571200000.0	-93571200000.0	1967.0	False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros		2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	412	26282	-1.64	34.07	1123306.943419	Invertebrate Zoology		Antarctica			USNM			University of Southern California	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=4;	4.0	Victoria Land, Cape Adare, south of cape	Antarctic Ocean			
HumanObservation	Pycnogonida				-71.5199966431	171.558303833			Pycnogonidae			Pycnogonum				Animalia		389	389					Pantopoda			Arthropoda			Pycnogonum diceros		urn:lsid:marinespecies.org:taxname:173580						11fd2a1e-1fd4-4947-ba44-9e631f993f40	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	389.0					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros		2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	440	32999	-1.63	34.08	39205	SOMBASE Pycnogonids					BAS												
PreservedSpecimen	Pycnogonida	257	AQ	9	-60.3567	-46.6863	2016-03-09	JR15005	Pycnogonidae	JR15005_61	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	Pycnogonum	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	Animalia	en	540	465	3	JR15005_1092_01		Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Pycnogonum diceros	Marcus, 1940	urn:lsid:marinespecies.org:taxname:173580	diceros	species	PhysicalObject	9/3/2016	2016	21c35d3c-bb0a-40d4-b8e3-f72be642ccef	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	502.5	1457481600000.0	1457481600000.0	1457481600000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	635	22199	-0.87	33.81	JR15005_1092_01						BAS										https://ror.org/01rhff309		
PreservedSpecimen	Pycnogonida			5	-62.4500007629	-57.966999054	1963-01-05T12:00:00Z		Pycnogonidae			Pycnogonum		Fry, W. G., Hedgpeth, J. W.		Animalia		1116	809	1				Pantopoda			Arthropoda	Alcohol (Ethanol)		Pycnogonum diceros	Marcus	urn:lsid:marinespecies.org:taxname:173580					1963	227ab00c-1966-4a37-9bca-cde05e748213	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	962.5	-220579200000.0	-220579200000.0	-220579200000.0	1963.0	False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros		2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	1863	32183	-0.68	33.99	122335.284874	Invertebrate Zoology: Crustacea		Antarctica			USNM				National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0		Antarctic Ocean		male	
HumanObservation	Pycnogonida	10		17	-76.60233333	176.802	2008-02-17T07:40		Pycnogonidae	TAN0802/84	LINESTRING (176.802 -76.6023333333, 176.7941666667 -76.6021666667)	Pycnogonum	WGS84			Animalia		360	360	2	4329	GearType=Beam trawl	present	Pantopoda			Arthropoda		GearType=Beam trawl	Pycnogonum diceros	Marcus, 1940	urn:lsid:marinespecies.org:taxname:173580	diceros				2008	24145de7-61de-43c4-9f5a-bf180cf30c43	49d1b62c-124a-4854-b878-b83de130eb23	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	360.0	1203206400000.0	1203206400000.0	1203206400000.0	2008.0	False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros		2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	355	104296	-1.56	34.23	IPY TAN0802/84 Pycnogonum diceros	International Polar Year-CAML New Zealand					National Institute of Water and Atomspheric Reseach (NZ)		2012-08-21					1	Site C5, shelf, western Ross Sea	Southern Ocean			048
PreservedSpecimen	Pycnogonida	500		5	-62.4342	-57.96	5/01/1963		Pycnogonidae		POINT (-57.96 -62.4342)	Pycnogonum	WGS84			Animalia	en	0	0	1	5f04acd0-fa36-11e2-96b3-aa6f927c92a3		present	Pantopoda			Arthropoda	Specimen(s), None = 1,  BB General Wet Collection		Pycnogonum diceros	Marcus, 1940	urn:lsid:marinespecies.org:taxname:173580	diceros				1963	28c25e99-df1d-40fd-8dcf-83cc761bf923	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	0.0					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros		2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	1898	30762	-0.68	33.99	8072	NIWA			NIWA Invertebrate Collection		NIWA Invertebrate Collection	Z4022	8/04/2022										
HumanObservation	Pycnogonida				-61.6133003235	-58.7649993896			Pycnogonidae			Pycnogonum				Animalia		583	583					Pantopoda			Arthropoda			Pycnogonum diceros		urn:lsid:marinespecies.org:taxname:173580						2a6b68b2-0783-4136-8c1d-c188cd179c52	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	583.0					False	False	True	False		Chelicerata	Eupantopodida	Pycnogonoidea	Pycnogonum diceros		2	1065	1274	1302	1358	379601	379611	1567	134595	173580	173580	Pycnogonum diceros	[]	574	38778	-0.35	33.82	37281	SOMBASE Pycnogonids					BAS												
