basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	genus	institutionCode	kingdom	locality	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	country	dynamicProperties	identifiedBy	individualCount	maximumDepthInMeters	preparations	sex	stateProvince	waterBody
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus massiliformis</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239536	sm_id_740	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	14	2.47	-48.23	1967-11-14	Phoxichilidiidae	Anoplodactylus	WoRMS Editorial Board	Animalia	Atlantic Ocean	85	2007-06-20 15:52:33	11	WoRMS Editorial Board:WoRMS type localities:sm_id_740	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=740	Anoplodactylus massiliformis	Stock, 1975	urn:lsid:marinespecies.org:taxname:239536	massiliformis	holotype	1967	488d8a72-6f19-4945-82e8-8053316e99be	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	85.0	-67305600000	-67305600000	-67305600000	1967	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus massiliformis	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	239536	239536	Anoplodactylus massiliformis	[]	78	206834	27.87	34.36										
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	149231.112747	Pycnogonida	Invertebrate Zoology: Crustacea		20	9.51667022705	-79.8499984741	1966-07-20T12:00:00Z	Phoxichilidiidae	Anoplodactylus	USNM	Animalia	N Of Galeta Island	60		7			Pantopoda	Arthropoda		Anoplodactylus massiliformis	Stock	urn:lsid:marinespecies.org:taxname:239536		Allotype	1966	c192ac93-8245-4c81-ba94-e2d802130b74	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	61.5	-108950400000	-108950400000	-108950400000	1966	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus massiliformis		2	1065	1274	1302	1358	379601	379610	14469	134592	239536	239536	Anoplodactylus massiliformis	[]	67	10526	28.22	35.14	National Museum of Natural History, Smithsonian Institution	Panama	observedindividualcount=1;	Stock, Jan H.	1.0	63.0	Alcohol (Ethanol)	female	Canal Zone	North Atlantic Ocean
