basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	datasetID	decimalLatitude	decimalLongitude	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	modified	occurrenceID	occurrenceStatus	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss
Occurrence	Bamber R.N (2004). Zootaxa 458: 1-12.	48289	NewCaledonia	Taiwan	https://marineinfo.org/id/dataset/3128	24.5799999237061	122.089996337891	IRD-MNHN	Taiwan 2000, CP58	221	221	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:48289:0xE866170001000600	present	Nymphon polyglia	urn:lsid:marinespecies.org:taxname:240017	855070fc-7e37-4b41-8b1b-2fb4bda90814	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	221.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon polyglia	1	2	1065	1274	1302	1358	379601	379609	1566	134591	240017	240017	Nymphon polyglia	[]	210	20746	26.28	33.98
Occurrence	Bamber R.N (2004). Zootaxa 458: 1-12.	50686	NewCaledonia	Taiwan	https://marineinfo.org/id/dataset/3128	24.5699996948242	122.089996337891	IRD-MNHN	Taiwan 2003, CP212	260	223	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:50686:0x7DD0E00001000000	present	Nymphon polyglia	urn:lsid:marinespecies.org:taxname:240017	8baebd53-81c1-4c90-99d5-24bbc142e883	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	241.5	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon polyglia	1	2	1065	1274	1302	1358	379601	379609	1566	134591	240017	240017	Nymphon polyglia	[]	274	20894	26.28	33.98
